benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,461.8812,2.171556e-01,2.150927e-01,6.452780e-01,8.624335e-01,4.322482e-01,0.748206,1.995227
MAP_relic,473.4844,2.125913e-01,2.108849e-01,6.326546e-01,8.452458e-01,4.234761e-01,0.748486,1.995970
MAP_relic,485.3791,2.080720e-01,2.064208e-01,6.192623e-01,8.273343e-01,4.144927e-01,0.748503,1.996016
MAP_relic,497.5727,2.039060e-01,2.019927e-01,6.059782e-01,8.098842e-01,4.058987e-01,0.748228,1.995286
MAP_relic,510.0725,1.995097e-01,1.976015e-01,5.928045e-01,7.923142e-01,3.971112e-01,0.748194,1.995195
MAP_relic,522.8864,1.951572e-01,1.932477e-01,5.797430e-01,7.749002e-01,3.884048e-01,0.748152,1.995084
MAP_relic,536.0222,1.908474e-01,1.892607e-01,5.677822e-01,7.586296e-01,3.801081e-01,0.748431,1.995826
MAP_relic,549.4879,1.865794e-01,1.850200e-01,5.550601e-01,7.416395e-01,3.715995e-01,0.748423,1.995804
MAP_relic,563.2920,1.826671e-01,1.808205e-01,5.424615e-01,7.251286e-01,3.634876e-01,0.748090,1.994920
MAP_relic,577.4428,1.785145e-01,1.766625e-01,5.299876e-01,7.085020e-01,3.551770e-01,0.748040,1.994786
MAP_relic,591.9492,1.744035e-01,1.728495e-01,5.185486e-01,6.929521e-01,3.472531e-01,0.748318,1.995525
MAP_relic,606.8199,1.703336e-01,1.688075e-01,5.064225e-01,6.767560e-01,3.391411e-01,0.748309,1.995500
MAP_relic,622.0642,1.665982e-01,1.648095e-01,4.944285e-01,6.610267e-01,3.314077e-01,0.747971,1.994603
MAP_relic,637.6915,1.626391e-01,1.611153e-01,4.833459e-01,6.459850e-01,3.237544e-01,0.748231,1.995293
MAP_relic,653.7114,1.587215e-01,1.572328e-01,4.716983e-01,6.304198e-01,3.159542e-01,0.748229,1.995288
MAP_relic,670.1337,1.551001e-01,1.533960e-01,4.601881e-01,6.152882e-01,3.084961e-01,0.747923,1.994476
MAP_relic,686.9686,1.512902e-01,1.496051e-01,4.488154e-01,6.001056e-01,3.008954e-01,0.747894,1.994400
MAP_relic,704.2264,1.475226e-01,1.461115e-01,4.383344e-01,5.858569e-01,2.936340e-01,0.748194,1.995194
MAP_relic,721.9178,1.437970e-01,1.424363e-01,4.273090e-01,5.711060e-01,2.862333e-01,0.748213,1.995246
MAP_relic,740.0535,1.403623e-01,1.388080e-01,4.164240e-01,5.567863e-01,2.791703e-01,0.747906,1.994433
MAP_relic,758.6449,1.367440e-01,1.352263e-01,4.056790e-01,5.424230e-01,2.719703e-01,0.747902,1.994420
MAP_relic,777.7033,1.331690e-01,1.319379e-01,3.958138e-01,5.289827e-01,2.651069e-01,0.748255,1.995356
MAP_relic,797.2405,1.298623e-01,1.284711e-01,3.854133e-01,5.152757e-01,2.583334e-01,0.747975,1.994615
MAP_relic,817.2686,1.263943e-01,1.250514e-01,3.751541e-01,5.015484e-01,2.514457e-01,0.747992,1.994659
MAP_relic,837.7997,1.229708e-01,1.219034e-01,3.657101e-01,4.886808e-01,2.448741e-01,0.748362,1.995641
MAP_relic,858.8466,1.197990e-01,1.185964e-01,3.557893e-01,4.755883e-01,2.383955e-01,0.748104,1.994955
MAP_relic,880.4223,1.164830e-01,1.153367e-01,3.460100e-01,4.624930e-01,2.318197e-01,0.748141,1.995055
MAP_relic,902.5400,1.132128e-01,1.123318e-01,3.369955e-01,4.502083e-01,2.255447e-01,0.748532,1.996094
MAP_relic,925.2133,1.101819e-01,1.091828e-01,3.275484e-01,4.377303e-01,2.193647e-01,0.748288,1.995445
MAP_relic,948.4562,1.070202e-01,1.060809e-01,3.182426e-01,4.252627e-01,2.131010e-01,0.748343,1.995592
MAP_relic,972.2830,1.039056e-01,1.032205e-01,3.096615e-01,4.135671e-01,2.071261e-01,0.748757,1.996692
MAP_relic,996.7084,1.010207e-01,1.002273e-01,3.006818e-01,4.017025e-01,2.012480e-01,0.748519,1.996057
MAP_relic,1021.7473,9.801560e-02,9.745185e-02,2.923556e-01,3.903711e-01,1.954674e-01,0.748917,1.997116
MAP_relic,1047.4153,9.505896e-02,9.456557e-02,2.836967e-01,3.787557e-01,1.896245e-01,0.749023,1.997398
MAP_relic,1073.7282,9.232418e-02,9.172629e-02,2.751789e-01,3.675030e-01,1.840505e-01,0.748780,1.996751
MAP_relic,1100.7020,8.947785e-02,8.909727e-02,2.672918e-01,3.567697e-01,1.785751e-01,0.749200,1.997869
MAP_relic,1128.3535,8.683560e-02,8.636347e-02,2.590904e-01,3.459260e-01,1.731991e-01,0.748976,1.997274
MAP_relic,1156.6996,8.409951e-02,8.367661e-02,2.510298e-01,3.351293e-01,1.677761e-01,0.749054,1.997479
MAP_relic,1185.7578,8.141346e-02,8.119378e-02,2.435813e-01,3.249948e-01,1.626072e-01,0.749493,1.998649
MAP_relic,1215.5460,7.892697e-02,7.861128e-02,2.358338e-01,3.147608e-01,1.575382e-01,0.749248,1.997996
MAP_relic,1246.0826,7.635141e-02,7.621806e-02,2.286542e-01,3.050056e-01,1.525695e-01,0.749672,1.999126
MAP_relic,1277.3863,7.396222e-02,7.373896e-02,2.212169e-01,2.951791e-01,1.477012e-01,0.749433,1.998488
MAP_relic,1309.4763,7.149663e-02,7.143693e-02,2.143108e-01,2.858074e-01,1.429336e-01,0.749843,1.999582
MAP_relic,1342.3726,6.920629e-02,6.906045e-02,2.071813e-01,2.763876e-01,1.382667e-01,0.749604,1.998945
MAP_relic,1376.0952,6.684997e-02,6.673117e-02,2.001935e-01,2.670435e-01,1.335811e-01,0.749666,1.999111
MAP_relic,1410.6650,6.454430e-02,6.457624e-02,1.937287e-01,2.582730e-01,1.291205e-01,0.750093,2.000247
MAP_relic,1446.1033,6.241137e-02,6.234897e-02,1.870469e-01,2.494583e-01,1.247603e-01,0.749812,1.999500
MAP_relic,1482.4318,6.021383e-02,6.028657e-02,1.808597e-01,2.410735e-01,1.205004e-01,0.750226,2.000604
MAP_relic,1519.6730,5.817993e-02,5.816060e-02,1.744818e-01,2.326617e-01,1.163405e-01,0.749938,1.999834
MAP_relic,1557.8497,5.608919e-02,5.619129e-02,1.685739e-01,2.246630e-01,1.122805e-01,0.750341,2.000909
MAP_relic,1596.9855,5.415403e-02,5.416586e-02,1.624976e-01,2.166516e-01,1.083199e-01,0.750041,2.000109
