v0_km_s,BP1_sigma_fixed,BP1_sigma_avg,BP1_epsilon,BP1_eta,MAP_sigma_fixed,MAP_sigma_avg,MAP_epsilon,MAP_eta
30.4933,5.15625945e-01,5.05641834e-01,-1.93630880e-02,3.37495180e-02,1.72806134e+00,1.72756800e+00,-2.85489345e-04,4.76947689e-01
31.9403,5.16294523e-01,5.05146921e-01,-2.15915567e-02,2.22776316e-02,1.76447874e+00,1.73286299e+00,-1.79178999e-02,4.21433995e-01
33.4559,5.16692131e-01,5.04357908e-01,-2.38715136e-02,1.10198488e-02,1.79692376e+00,1.73481167e+00,-3.45657925e-02,3.63546061e-01
35.0435,5.16822331e-01,5.03276229e-01,-2.62103656e-02,-1.01997609e-04,1.82497058e+00,1.73338844e+00,-5.01828037e-02,3.03652305e-01
36.7064,5.16687244e-01,5.01903548e-01,-2.86124659e-02,-1.11654049e-02,1.84823530e+00,1.72861741e+00,-6.47200576e-02,2.41953854e-01
38.4482,5.16287555e-01,5.00241958e-01,-3.10787987e-02,-2.22468154e-02,1.86637529e+00,1.72057030e+00,-7.81220131e-02,1.78596813e-01
40.2727,5.15622542e-01,4.98294183e-01,-3.36066733e-02,-3.34210203e-02,1.87909648e+00,1.70936337e+00,-9.03269807e-02,1.13765824e-01
42.1837,5.14690135e-01,4.96063781e-01,-3.61894526e-02,-4.47602710e-02,1.88616704e+00,1.69515334e+00,-1.01270831e-01,4.77512710e-02
44.1854,5.13487018e-01,4.93555328e-01,-3.88163463e-02,-5.63330122e-02,1.88743476e+00,1.67813251e+00,-1.10892446e-01,-1.90143717e-02
46.2821,5.12008771e-01,4.90774588e-01,-4.14723025e-02,-6.82021584e-02,1.88284458e+00,1.65852333e+00,-1.19139547e-01,-8.59515306e-02
48.4783,5.10250070e-01,4.87728635e-01,-4.41380324e-02,-8.04228606e-02,1.87245252e+00,1.63657249e+00,-1.25973840e-01,-1.52355986e-01
50.7787,5.08204956e-01,4.84425940e-01,-4.67902093e-02,-9.30397453e-02,1.85643322e+00,1.61254451e+00,-1.31374888e-01,-2.17441009e-01
53.1882,5.05867182e-01,4.80876395e-01,-4.94018748e-02,-1.06083669e-01,1.83507915e+00,1.58671548e+00,-1.35342211e-01,-2.80388962e-01
55.7121,5.03230634e-01,4.77091283e-01,-5.19430829e-02,-1.19568103e-01,1.80879147e+00,1.55936633e+00,-1.37896016e-01,-3.40401705e-01
58.3558,5.00289839e-01,4.73083177e-01,-5.43818003e-02,-1.33485338e-01,1.77806384e+00,1.53077668e+00,-1.39076646e-01,-3.96740864e-01
61.1249,4.97040551e-01,4.68865771e-01,-5.66850726e-02,-1.47802797e-01,1.74346149e+00,1.50121883e+00,-1.38943512e-01,-4.48752444e-01
64.0254,4.93480382e-01,4.64453647e-01,-5.88204430e-02,-1.62459812e-01,1.70559840e+00,1.47095233e+00,-1.37574048e-01,-4.95874603e-01
67.0636,4.89609478e-01,4.59861983e-01,-6.07575966e-02,-1.77365274e-01,1.66511508e+00,1.44021953e+00,-1.35063066e-01,-5.37632124e-01
70.2459,4.85431178e-01,4.55106205e-01,-6.24701800e-02,-1.92396621e-01,1.62265863e+00,1.40924172e+00,-1.31522992e-01,-5.73623721e-01
73.5792,4.80952627e-01,4.50201611e-01,-6.39377231e-02,-2.07400585e-01,1.57886614e+00,1.37821619e+00,-1.27084844e-01,-6.03510931e-01
77.0707,4.76185279e-01,4.45162964e-01,-6.51475723e-02,-2.22196109e-01,1.53435097e+00,1.34731459e+00,-1.21899344e-01,-6.27016325e-01
80.7279,4.71145239e-01,4.40004082e-01,-6.60967246e-02,-2.36579706e-01,1.48969147e+00,1.31668167e+00,-1.16138013e-01,-6.43935866e-01
84.5586,4.65853396e-01,4.34737446e-01,-6.67934377e-02,-2.50333415e-01,1.44542116e+00,1.28643519e+00,-1.09992836e-01,-6.54166447e-01
88.5711,4.60335287e-01,4.29373836e-01,-6.72584770e-02,-2.63235296e-01,1.40201952e+00,1.25666701e+00,-1.03673667e-01,-6.57747241e-01
92.7740,4.54620679e-01,4.23922023e-01,-6.75258686e-02,-2.75072178e-01,1.35990303e+00,1.22744296e+00,-9.74040543e-02,-6.54903354e-01
97.1764,4.48742843e-01,4.18388518e-01,-6.76430277e-02,-2.85654126e-01,1.31941711e+00,1.19880666e+00,-9.14119212e-02,-6.46084304e-01
101.7876,4.42737528e-01,4.12777414e-01,-6.76701474e-02,-2.94829821e-01,1.28082892e+00,1.17078173e+00,-8.59187247e-02,-6.31988673e-01
106.6176,4.36641684e-01,4.07090307e-01,-6.76787812e-02,-3.02501818e-01,1.24432236e+00,1.14337150e+00,-8.11291804e-02,-6.13561893e-01
111.6769,4.30491970e-01,4.01326315e-01,-6.77495913e-02,-3.08640478e-01,1.20999600e+00,1.11656711e+00,-7.72142152e-02,-5.91959757e-01
116.9762,4.24323141e-01,3.95482194e-01,-6.79693001e-02,-3.13295247e-01,1.17786522e+00,1.09034651e+00,-7.43028195e-02,-5.68504790e-01
122.5270,4.18166404e-01,3.89552549e-01,-6.84269590e-02,-3.16602028e-01,1.14786582e+00,1.06467906e+00,-7.24708073e-02,-5.44588435e-01
128.3412,4.12047840e-01,3.83530120e-01,-6.92097308e-02,-3.18785559e-01,1.11986549e+00,1.03952853e+00,-7.17380456e-02,-5.21570715e-01
134.4312,4.05987008e-01,3.77406156e-01,-7.03984412e-02,-3.20156061e-01,1.09367498e+00,1.01485465e+00,-7.20692408e-02,-5.00690774e-01
140.8103,3.99995819e-01,3.71170834e-01,-7.20632173e-02,-3.21099892e-01,1.06906428e+00,9.90617226e-01,-7.33791719e-02,-4.83010164e-01
147.4921,3.94077772e-01,3.64813731e-01,-7.42595563e-02,-3.22064532e-01,1.04577487e+00,9.66775725e-01,-7.55412556e-02,-4.69321787e-01
154.4909,3.88227603e-01,3.58324319e-01,-7.70251360e-02,-3.23538800e-01,1.02354032e+00,9.43291986e-01,-7.84027066e-02,-4.60108544e-01
161.8218,3.82431389e-01,3.51692456e-01,-8.03776408e-02,-3.26029743e-01,1.00209834e+00,9.20131922e-01,-8.17947820e-02,-4.55551625e-01
169.5006,3.76667107e-01,3.44908879e-01,-8.43137789e-02,-3.30038001e-01,9.81206900e-01,8.97264750e-01,-8.55498971e-02,-4.55622659e-01
177.5438,3.70905617e-01,3.37965656e-01,-8.88095506e-02,-3.36033629e-01,9.60645429e-01,8.74664971e-01,-8.95028022e-02,-4.60018640e-01
185.9687,3.65112028e-01,3.30856597e-01,-9.38217011e-02,-3.44434263e-01,9.40234869e-01,8.52311712e-01,-9.35119080e-02,-4.68261771e-01
194.7933,3.59247351e-01,3.23577611e-01,-9.92901949e-02,-3.55587233e-01,9.19828670e-01,8.30188853e-01,-9.74527322e-02,-4.79795386e-01
204.0367,3.53270352e-01,3.16126991e-01,-1.05141463e-01,-3.69756736e-01,8.99323068e-01,8.08284553e-01,-1.01230046e-01,-4.93913837e-01
213.7187,3.47139506e-01,3.08505622e-01,-1.11292098e-01,-3.87116646e-01,8.78653805e-01,7.86593003e-01,-1.04774829e-01,-5.10026483e-01
223.8601,3.40814922e-01,3.00717125e-01,-1.17652704e-01,-4.07748925e-01,8.57783631e-01,7.65109937e-01,-1.08038543e-01,-5.27494513e-01
234.4828,3.34260164e-01,2.92767899e-01,-1.24131646e-01,-4.31647145e-01,8.36712783e-01,7.43833896e-01,-1.11004503e-01,-5.45758923e-01
245.6095,3.27443850e-01,2.84667115e-01,-1.30638383e-01,-4.58724230e-01,8.15456661e-01,7.22769762e-01,-1.13662570e-01,-5.64381486e-01
257.2642,3.20340984e-01,2.76426606e-01,-1.37086354e-01,-4.88823297e-01,7.94053260e-01,7.01920759e-01,-1.16028113e-01,-5.82867297e-01
269.4720,3.12933947e-01,2.68060726e-01,-1.43395186e-01,-5.21730464e-01,7.72555553e-01,6.81294989e-01,-1.18128158e-01,-6.01046030e-01
282.2590,3.05213138e-01,2.59586115e-01,-1.49492329e-01,-5.57188410e-01,7.51011240e-01,6.60898783e-01,-1.19988160e-01,-6.18676391e-01
295.6529,2.97177251e-01,2.51021451e-01,-1.55314041e-01,-5.94909766e-01,7.29485351e-01,6.40742399e-01,-1.21651452e-01,-6.35662999e-01
