benchmark,v_km_s,sigma_even,sigma_odd_raw,sigma_odd_x3,sigma_maj,sigma_dirac,R_triplet,maj_dir_ratio
MAP_relic,143.9083,2.582552e-01,2.355223e-01,7.065669e-01,9.648221e-01,4.937775e-01,0.732329,1.953961
MAP_relic,147.5235,2.547575e-01,2.318681e-01,6.956043e-01,9.503619e-01,4.866256e-01,0.731936,1.952963
MAP_relic,151.2295,2.509966e-01,2.283074e-01,6.849222e-01,9.359188e-01,4.793040e-01,0.731818,1.952662
MAP_relic,155.0287,2.471847e-01,2.248297e-01,6.744891e-01,9.216738e-01,4.720144e-01,0.731809,1.952639
MAP_relic,158.9233,2.433315e-01,2.214249e-01,6.642746e-01,9.076061e-01,4.647564e-01,0.731897,1.952864
MAP_relic,162.9157,2.394460e-01,2.183121e-01,6.549363e-01,8.943824e-01,4.577582e-01,0.732278,1.953832
MAP_relic,167.0084,2.355368e-01,2.150670e-01,6.452009e-01,8.807377e-01,4.506037e-01,0.732569,1.954573
MAP_relic,171.2039,2.316114e-01,2.118730e-01,6.356191e-01,8.672305e-01,4.434845e-01,0.732930,1.955492
MAP_relic,175.5049,2.276771e-01,2.087227e-01,6.261680e-01,8.538451e-01,4.363998e-01,0.733351,1.956566
MAP_relic,179.9138,2.239664e-01,2.056088e-01,6.168264e-01,8.407928e-01,4.295752e-01,0.733625,1.957266
MAP_relic,184.4336,2.200729e-01,2.025250e-01,6.075751e-01,8.276480e-01,4.225979e-01,0.734098,1.958476
MAP_relic,189.0668,2.161928e-01,1.994656e-01,5.983967e-01,8.145895e-01,4.156583e-01,0.734599,1.959757
MAP_relic,193.8165,2.123307e-01,1.964251e-01,5.892754e-01,8.016061e-01,4.087559e-01,0.735118,1.961088
MAP_relic,198.6855,2.084907e-01,1.936306e-01,5.808918e-01,7.893825e-01,4.021213e-01,0.735881,1.963046
MAP_relic,203.6768,2.046761e-01,1.906540e-01,5.719620e-01,7.766381e-01,3.953301e-01,0.736459,1.964531
MAP_relic,208.7935,2.008895e-01,1.876890e-01,5.630671e-01,7.639567e-01,3.885786e-01,0.737041,1.966029
MAP_relic,214.0388,1.971332e-01,1.847330e-01,5.541990e-01,7.513322e-01,3.818662e-01,0.737622,1.967527
MAP_relic,219.4158,1.936522e-01,1.817835e-01,5.453506e-01,7.390028e-01,3.754357e-01,0.737955,1.968387
MAP_relic,224.9279,1.899994e-01,1.788389e-01,5.365167e-01,7.265161e-01,3.688383e-01,0.738479,1.969741
MAP_relic,230.5784,1.863848e-01,1.758975e-01,5.276926e-01,7.140774e-01,3.622823e-01,0.738985,1.971052
MAP_relic,236.3709,1.828089e-01,1.731840e-01,5.195519e-01,7.023607e-01,3.559928e-01,0.739722,1.972963
MAP_relic,242.3090,1.792717e-01,1.702810e-01,5.108430e-01,6.901148e-01,3.495528e-01,0.740229,1.974279
MAP_relic,248.3962,1.757734e-01,1.673826e-01,5.021479e-01,6.779212e-01,3.431560e-01,0.740717,1.975548
MAP_relic,254.6363,1.725281e-01,1.644886e-01,4.934659e-01,6.659939e-01,3.370167e-01,0.740947,1.976145
MAP_relic,261.0332,1.691380e-01,1.615990e-01,4.847971e-01,6.539352e-01,3.307371e-01,0.741354,1.977206
MAP_relic,267.5908,1.657884e-01,1.587141e-01,4.761422e-01,6.419305e-01,3.245024e-01,0.741735,1.978200
MAP_relic,274.3131,1.624782e-01,1.560426e-01,4.681277e-01,6.306059e-01,3.185208e-01,0.742346,1.979795
MAP_relic,281.2043,1.592067e-01,1.531979e-01,4.595936e-01,6.188004e-01,3.124046e-01,0.742717,1.980766
MAP_relic,288.2686,1.559729e-01,1.503619e-01,4.510857e-01,6.070586e-01,3.063348e-01,0.743068,1.981684
MAP_relic,295.5104,1.529817e-01,1.475353e-01,4.426059e-01,5.955876e-01,3.005170e-01,0.743142,1.981876
MAP_relic,302.9342,1.498484e-01,1.447187e-01,4.341561e-01,5.840044e-01,2.945670e-01,0.743412,1.982586
MAP_relic,310.5444,1.467519e-01,1.419128e-01,4.257383e-01,5.724902e-01,2.886646e-01,0.743660,1.983236
