v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
101.6787,4.56240490e+01,7.72614963e-01,8.94675760e-01,5.90514695e+01,5.09950655e+01,6.06261051e+01,1.20448631e+00,1.20035524e+00,5.03335776e+01,5.05068026e+01
104.2330,4.47208586e+01,7.73257862e-01,8.84540705e-01,5.78343407e+01,5.05582822e+01,5.91438198e+01,1.18481273e+00,1.18472662e+00,4.99182854e+01,4.99219135e+01
106.8516,4.38268529e+01,7.73408821e-01,8.74352979e-01,5.66671231e+01,5.01248968e+01,5.76967908e+01,1.16556802e+00,1.16913712e+00,4.95010071e+01,4.93498922e+01
109.5358,4.29423046e+01,7.73061905e-01,8.64117062e-01,5.55483388e+01,4.96950084e+01,5.62843695e+01,1.14675262e+00,1.15358624e+00,4.90815270e+01,4.87907776e+01
112.2876,4.20674686e+01,7.72213787e-01,8.53837384e-01,5.44764537e+01,4.92687126e+01,5.49058922e+01,1.12836345e+00,1.13807307e+00,4.86597577e+01,4.82446106e+01
115.1084,4.12025827e+01,7.70863656e-01,8.43518263e-01,5.34498966e+01,4.88461063e+01,5.35606834e+01,1.11039427e+00,1.12304866e+00,4.82357348e+01,4.76922197e+01
118.0001,4.03478692e+01,7.69013111e-01,8.33163863e-01,5.24670758e+01,4.84272914e+01,5.22480590e+01,1.09283593e+00,1.10770466e+00,4.78096093e+01,4.71678607e+01
120.9645,3.95035358e+01,7.66666037e-01,8.22778151e-01,5.15263933e+01,4.80123783e+01,5.09673293e+01,1.07567791e+00,1.09240998e+00,4.73815898e+01,4.66558621e+01
124.0033,3.86697770e+01,7.63828473e-01,8.12364866e-01,5.06262576e+01,4.76014887e+01,4.97178015e+01,1.05890455e+00,1.07716399e+00,4.69521087e+01,4.61562046e+01
127.1185,3.78467749e+01,7.60508466e-01,8.02022803e-01,4.97650935e+01,4.71891507e+01,4.84987823e+01,1.04250098e+00,1.06196571e+00,4.65215698e+01,4.56688777e+01
130.3119,3.70346999e+01,7.56715920e-01,7.91589751e-01,4.89413517e+01,4.67852191e+01,4.73095801e+01,1.02645007e+00,1.04726786e+00,4.60904834e+01,4.51742884e+01
133.5856,3.62337117e+01,7.52462438e-01,7.81144307e-01,4.81535155e+01,4.63854263e+01,4.61495075e+01,1.01073355e+00,1.03225412e+00,4.56594198e+01,4.47075060e+01
136.9415,3.54439593e+01,7.47761165e-01,7.70690047e-01,4.74001071e+01,4.59899014e+01,4.50178825e+01,9.95332350e-01,1.01729801e+00,4.52289956e+01,4.42524041e+01
140.3817,3.46655820e+01,7.42626617e-01,7.60230347e-01,4.66796923e+01,4.55987874e+01,4.39140306e+01,9.80226928e-01,1.00239866e+00,4.47998615e+01,4.38089479e+01
143.9083,3.38987094e+01,7.37074527e-01,7.49768383e-01,4.59908845e+01,4.52122418e+01,4.28372863e+01,9.65399672e-01,9.87554934e-01,4.43725925e+01,4.33771173e+01
147.5235,3.31434616e+01,7.31121679e-01,7.39307126e-01,4.53323470e+01,4.48304372e+01,4.17869938e+01,9.50827549e-01,9.73251252e-01,4.39480259e+01,4.29354637e+01
151.2295,3.23999492e+01,7.24785752e-01,7.28849345e-01,4.47027955e+01,4.44535616e+01,4.07625088e+01,9.36492834e-01,9.58607922e-01,4.35267706e+01,4.25226079e+01
155.0287,3.16682733e+01,7.18085167e-01,7.18397610e-01,4.41009991e+01,4.40818189e+01,3.97631987e+01,9.22376863e-01,9.44028778e-01,4.31094928e+01,4.21207485e+01
158.9233,3.09485253e+01,7.11038938e-01,7.07954289e-01,4.35257813e+01,4.37154288e+01,3.87884437e+01,9.08461729e-01,9.29512738e-01,4.26968385e+01,4.17298679e+01
162.9157,3.02407868e+01,7.03666560e-01,6.97645071e-01,4.29760180e+01,4.33469511e+01,3.78376373e+01,8.94732738e-01,9.15516309e-01,4.22893180e+01,4.13292880e+01
167.0084,2.95451291e+01,6.95987783e-01,6.87254092e-01,4.24506432e+01,4.29901101e+01,3.69101862e+01,8.81170195e-01,9.01207468e-01,4.18876926e+01,4.09563697e+01
171.2039,2.88616132e+01,6.88022611e-01,6.76883054e-01,4.19486406e+01,4.26389951e+01,3.60055114e+01,8.67760997e-01,8.86968924e-01,4.14924288e+01,4.05938815e+01
175.5049,2.81902893e+01,6.79791098e-01,6.66534326e-01,4.14690474e+01,4.22938297e+01,3.51230474e+01,8.54491600e-01,8.72799593e-01,4.11040289e+01,4.02418238e+01
179.9138,2.75311963e+01,6.71313273e-01,6.56210144e-01,4.10109518e+01,4.19548471e+01,3.42622431e+01,8.41349716e-01,8.59150383e-01,4.07229509e+01,3.98792153e+01
184.4336,2.68843617e+01,6.62609029e-01,6.45912607e-01,4.05734913e+01,4.16222898e+01,3.34225610e+01,8.28327153e-01,8.45195873e-01,4.03494693e+01,3.95441603e+01
189.0668,2.62498012e+01,6.53698033e-01,6.35643680e-01,4.01558516e+01,4.12964087e+01,3.26034775e+01,8.15409524e-01,8.31316687e-01,3.99841755e+01,3.92190822e+01
193.8165,2.56275183e+01,6.44599639e-01,6.25405190e-01,3.97572644e+01,4.09774634e+01,3.18044824e+01,8.02590454e-01,8.17511713e-01,3.96272872e+01,3.89040083e+01
198.6855,2.50175043e+01,6.35332816e-01,6.15198829e-01,3.93770062e+01,4.06657215e+01,3.10250789e+01,7.89862721e-01,8.04242612e-01,3.92790774e+01,3.85767658e+01
203.6768,2.44197377e+01,6.25916079e-01,6.05185625e-01,3.90143959e+01,4.03508224e+01,3.02647831e+01,7.77220260e-01,7.90660170e-01,3.89397763e+01,3.82778648e+01
