bp,m_chi_GeV,m_phi_MeV,alpha,lambda,sigma_T_30_VPM,sigma_T_30_Born,Born_over_VPM,sv_cm3_s,sv_over_Planck,omega_h2_KT,log10_S_E,V_CW_theta_A4_GeV4
BP1,54.556,12.975,0.002645,11.12143506743738,0.6699123815835337,58.98786664648958,88.05310704521465,2.1549985168638846e-26,0.7183328389546282,0.10668539985653225,120.62053566883685,36542.44655141635
MAP,98.19,9.66,0.003274,33.27888819875776,1.8070333069760878,244.14812873490305,135.10992176644692,1.0193034505170099e-26,0.3397678168390033,0.2200116655203466,120.62053566883685,383439.25986699096
MAP_relic,98.19,9.66,0.003274,33.27888819875776,1.8070333069760878,244.14812873490305,135.10992176644692,1.0193034505170099e-26,0.3397678168390033,0.2200116655203466,120.62053566883685,383439.25986699096
