v_km_s,BP1_sigma_m,BP9_sigma_m,MAP_sigma_m
1.0,0.019171,0.031591,1.570888
3.0,0.105221,0.143593,1.560773
5.0,0.214276,0.227283,1.538361
8.0,0.338987,0.283444,1.485224
10.0,0.392515,0.299243,1.438230
12.0,0.429474,0.307728,1.386464
15.0,0.465065,0.313902,1.338379
20.0,0.495805,0.316833,1.509458
30.0,0.515325,0.313718,2.071270
50.0,0.508919,0.296926,2.315346
100.0,0.445045,0.260599,1.514879
300.0,0.294507,0.210868,0.325866
1000.0,0.072304,0.053455,0.125987
