chi2,m_chi_GeV,m_phi_GeV,alpha,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
2.705766,42.919343,0.0081967290,1.191646e-03,1.535645e+00,1.357441e+00,1.306622e+00,1.310100e+00,1.321335e+00,1.333704e+00,7.382085e-01,6.550343e-01,9.906502e-02,8.335516e-02,7.101675e-02,4.803092e-03
4.820726,24.420531,0.0158740105,3.303137e-03,5.610263e-01,6.117463e-01,6.076058e-01,5.994165e-01,5.943834e-01,5.888804e-01,5.078503e-01,5.046431e-01,2.163196e-01,1.922272e-01,1.716223e-01,1.721523e-02
1163.622083,49.417134,0.0004187291,1.810720e-05,4.080152e+01,8.727003e+00,5.068308e+00,3.293270e+00,2.733083e+00,2.304379e+00,1.280123e-01,1.014262e-01,7.509455e-03,6.195622e-03,5.198894e-03,2.303415e-04
3.042504,49.417134,0.0081967290,1.788311e-03,1.971796e+00,1.743849e+00,1.815797e+00,1.939468e+00,1.991741e+00,2.031702e+00,1.078863e+00,9.678179e-01,1.793293e-01,1.525982e-01,1.312116e-01,9.366103e-03
26.925820,18.420700,0.0027241463,1.969568e-04,6.330732e+00,5.276000e+00,4.717676e+00,4.278453e+00,4.087623e+00,3.909041e+00,8.185569e-01,6.774225e-01,6.233756e-02,5.163493e-02,4.340338e-02,2.693681e-03
30.889841,86.851137,0.0027241463,2.161953e-04,6.741067e+00,4.943874e+00,3.858976e+00,3.059400e+00,2.742981e+00,2.470135e+00,2.459802e-01,1.979849e-01,1.541251e-02,1.264567e-02,1.058169e-02,6.521547e-04
5.268784,42.919343,0.0052756566,5.924502e-04,2.879881e+00,2.478635e+00,2.470158e+00,2.458086e+00,2.434273e+00,2.398436e+00,7.111056e-01,6.030555e-01,6.365168e-02,5.280236e-02,4.452718e-02,2.781999e-03
679.531901,42.919343,0.0002162156,6.751225e-06,3.128937e+01,5.520485e+00,3.127413e+00,2.001897e+00,1.653339e+00,1.383364e+00,7.436411e-02,5.897885e-02,4.464685e-03,3.687251e-03,3.096169e-03,8.930634e-05
35.344852,37.275937,0.0019575253,9.486840e-05,7.207886e+00,4.894100e+00,3.890823e+00,3.083261e+00,2.752411e+00,2.464236e+00,2.170024e-01,1.743129e-01,1.355607e-02,1.115982e-02,9.358361e-03,5.699502e-04
4.912438,32.374575,0.0158740105,3.411354e-03,5.899146e-01,5.921859e-01,5.796726e-01,5.640955e-01,5.557160e-01,5.473074e-01,5.314723e-01,5.180162e-01,1.825602e-01,1.613141e-01,1.433769e-01,1.388863e-02
91.145064,21.209509,0.0024399977,2.295794e-04,1.111454e+01,8.850047e+00,8.080080e+00,7.435184e+00,7.120491e+00,6.806814e+00,1.256472e+00,1.033266e+00,9.184609e-02,7.580098e-02,6.370714e-02,3.912008e-03
3.214201,65.512856,0.0102169815,4.226619e-03,1.640479e+00,1.631001e+00,1.910589e+00,2.101968e+00,2.153538e+00,2.180115e+00,1.066630e+00,9.858880e-01,3.115394e-01,2.772766e-01,2.481181e-01,2.506776e-02
6.437737,75.431201,0.0042324759,2.923118e-04,2.378681e+00,2.277316e+00,2.024321e+00,1.749276e+00,1.621029e+00,1.501901e+00,2.020040e-01,1.646504e-01,1.374555e-02,1.133608e-02,9.480206e-03,5.775287e-04
6.130513,24.420531,0.0042324759,3.250079e-04,3.068246e+00,2.684468e+00,2.457704e+00,2.285168e+00,2.213534e+00,2.147787e+00,6.215668e-01,5.234762e-01,5.255762e-02,4.362922e-02,3.675441e-02,2.310934e-03
18.756288,75.431201,0.0007263372,1.179118e-05,3.857420e+00,8.082211e-01,4.683546e-01,3.041339e-01,2.524190e-01,2.128406e-01,1.184515e-02,9.391696e-03,6.951390e-04,5.732533e-04,4.800493e-04,2.333213e-05
18.159780,56.898660,0.0019575253,6.865616e-05,4.674642e+00,2.630770e+00,1.880316e+00,1.380931e+00,1.196979e+00,1.045134e+00,7.592805e-02,6.059972e-02,4.556447e-03,3.741126e-03,3.134929e-03,1.932843e-04
11.150343,56.898660,0.0033955682,7.353303e-05,9.915867e-01,6.324816e-01,5.013109e-01,3.978644e-01,3.555168e-01,3.185857e-01,2.830171e-02,2.274193e-02,1.783689e-03,1.470563e-03,1.229067e-03,7.485794e-05
7.616166,65.512856,0.0058900304,1.318919e-03,3.200017e+00,3.861062e+00,4.033958e+00,3.921517e+00,3.812460e+00,3.687260e+00,1.182636e+00,1.042972e+00,1.552558e-01,1.303811e-01,1.108800e-01,7.277970e-03
11.890577,86.851137,0.0037909973,8.496583e-05,8.534439e-01,5.496930e-01,4.181470e-01,3.205490e-01,2.824251e-01,2.500228e-01,2.012440e-02,1.612716e-02,1.236391e-03,1.017039e-03,8.466946e-04,5.200906e-05
918.703621,86.851137,0.0006505748,3.938924e-05,3.628589e+01,9.118854e+00,5.440815e+00,3.585298e+00,2.990278e+00,2.528548e+00,1.425260e-01,1.131750e-01,8.399322e-03,6.923120e-03,5.808245e-03,2.342822e-04
580.536253,49.417134,0.0004187291,1.497758e-05,2.894705e+01,6.018931e+00,3.482534e+00,2.258126e+00,1.873729e+00,1.577799e+00,8.716802e-02,6.906794e-02,5.133533e-03,4.235649e-03,3.554426e-03,1.575988e-04
327.626732,42.919343,0.0005827150,1.936294e-05,2.181967e+01,5.553802e+00,3.305336e+00,2.176784e+00,1.815629e+00,1.536563e+00,8.887260e-02,7.051039e-02,5.174110e-03,4.263646e-03,3.570153e-03,2.102261e-04
7.178399,86.851137,0.0073417495,5.176998e-04,8.401050e-01,8.151907e-01,8.122019e-01,7.719186e-01,7.442487e-01,7.143272e-01,1.543765e-01,1.290947e-01,1.249152e-02,1.033671e-02,8.687173e-03,5.335335e-04
45.590669,86.851137,0.0001936627,4.065990e-06,7.647201e+00,1.233988e+00,6.841352e-01,4.335382e-01,3.567217e-01,2.980431e-01,1.611693e-02,1.281565e-02,7.898872e-04,6.149699e-04,4.850822e-04,6.877858e-06
33.576635,42.919343,0.0012599210,3.561291e-05,6.761775e+00,2.918881e+00,1.936936e+00,1.356667e+00,1.155773e+00,9.948512e-01,6.570006e-02,5.226923e-02,3.884263e-03,3.196535e-03,2.676007e-03,1.661480e-04
4.633908,56.898660,0.0158740105,5.320111e-03,6.731025e-01,6.135759e-01,5.875746e-01,5.967556e-01,6.134178e-01,6.348168e-01,6.090350e-01,5.642686e-01,1.906382e-01,1.717883e-01,1.555517e-01,1.861449e-02
3.875274,65.512856,0.0065759507,6.481158e-04,1.494714e+00,1.396392e+00,1.433680e+00,1.413951e+00,1.386459e+00,1.351300e+00,3.588600e-01,3.041674e-01,3.208385e-02,2.663120e-02,2.242670e-02,1.396193e-03
90.055190,56.898660,0.0011285020,4.108528e-05,1.146483e+01,4.190876e+00,2.663084e+00,1.818245e+00,1.535231e+00,1.311979e+00,8.192911e-02,6.503916e-02,4.778486e-03,3.926719e-03,3.283062e-03,2.072905e-04
39.891080,56.898660,0.0015704545,5.990651e-05,7.528856e+00,3.675231e+00,2.505852e+00,1.785490e+00,1.530556e+00,1.324172e+00,9.015971e-02,7.174185e-02,5.332842e-03,4.383781e-03,3.666106e-03,2.283273e-04
8.301609,65.512856,0.0058900304,1.373349e-03,3.279060e+00,4.001316e+00,4.179401e+00,4.059230e+00,3.944653e+00,3.813691e+00,1.236662e+00,1.093247e+00,1.672188e-01,1.406110e-01,1.197088e-01,7.896064e-03
7.686944,42.919343,0.0114067946,4.882417e-03,1.687474e+00,1.529010e+00,1.472203e+00,1.511893e+00,1.560305e+00,1.618169e+00,1.474875e+00,1.363613e+00,4.452432e-01,3.994464e-01,3.601711e-01,4.060658e-02
14.603920,86.851137,0.0014066445,2.673457e-05,2.857821e+00,8.425384e-01,5.134838e-01,3.424577e-01,2.868508e-01,2.435916e-01,1.445958e-02,1.148328e-02,8.420784e-04,6.935837e-04,5.804555e-04,3.676701e-05
2.346310,15.998587,0.0065759507,7.288091e-04,1.648239e+00,1.810319e+00,1.776486e+00,1.721970e+00,1.690813e+00,1.658460e+00,9.395121e-01,8.600639e-01,1.504041e-01,1.269035e-01,1.083868e-01,7.635588e-03
142.514089,37.275937,0.0014066445,7.577604e-05,1.435755e+01,8.608870e+00,6.309502e+00,4.712772e+00,4.111093e+00,3.608833e+00,2.727804e-01,2.181093e-01,1.653549e-02,1.357395e-02,1.138848e-02,6.991885e-04
5.650441,28.117687,0.0042324759,2.055272e-04,1.777139e+00,1.489970e+00,1.335423e+00,1.213962e+00,1.161332e+00,1.112128e+00,2.397844e-01,1.987216e-01,1.841366e-02,1.525570e-02,1.282726e-02,7.979651e-04
2262.477151,86.851137,0.0001936627,1.133093e-05,5.672073e+01,9.593167e+00,5.352491e+00,3.399442e+00,2.798692e+00,2.339787e+00,1.260364e-01,1.001649e-01,6.133925e-03,4.775781e-03,3.767130e-03,5.341322e-05
10.035862,75.431201,0.0033955682,9.619604e-05,1.389256e+00,9.357590e-01,7.243392e-01,5.623294e-01,4.979358e-01,4.427181e-01,3.691922e-02,2.960405e-02,2.286271e-03,1.872750e-03,1.567494e-03,9.601385e-05
16.390181,56.898660,0.0058900304,1.688014e-03,4.020196e+00,4.639198e+00,5.041380e+00,5.065547e+00,4.989144e+00,4.878507e+00,1.757783e+00,1.570935e+00,2.771985e-01,2.348609e-01,2.012392e-01,1.384010e-02
3.720142,15.998587,0.0114067946,1.523624e-03,5.602114e-01,7.399299e-01,7.525080e-01,7.520479e-01,7.492638e-01,7.453348e-01,5.353413e-01,5.158025e-01,1.721933e-01,1.498540e-01,1.312867e-01,1.103535e-02
6.750469,32.374575,0.0220907117,1.165819e-02,5.751541e-01,5.718767e-01,5.635072e-01,5.529770e-01,5.470219e-01,5.407097e-01,6.495132e-01,6.599632e-01,3.551304e-01,3.285045e-01,3.053690e-01,6.467223e-02
6.851141,32.374575,0.0197864869,1.054006e-02,7.232664e-01,7.134909e-01,7.004515e-01,6.843067e-01,6.753631e-01,6.661274e-01,8.289285e-01,8.301722e-01,4.075493e-01,3.761505e-01,3.488920e-01,6.901959e-02
21.329290,75.431201,0.0042324759,7.929740e-04,5.355323e+00,6.442120e+00,5.833167e+00,5.148765e+00,4.834070e+00,4.544712e+00,1.069188e+00,9.126037e-01,9.975013e-02,8.266083e-02,6.962981e-02,4.322702e-03
2.733074,42.919343,0.0081967290,1.176910e-03,1.520395e+00,1.344097e+00,1.292864e+00,1.294974e+00,1.305452e+00,1.317119e+00,7.260243e-01,6.439128e-01,9.680534e-02,8.143163e-02,6.936277e-02,4.685440e-03
9.248697,37.275937,0.0081967290,4.293676e-04,5.614804e-01,5.219846e-01,4.852285e-01,4.533815e-01,4.399808e-01,4.280519e-01,1.621915e-01,1.395172e-01,1.576054e-02,1.312383e-02,1.108888e-02,7.128603e-04
16.245322,86.851137,0.0047253666,1.047247e-03,4.779831e+00,5.743803e+00,5.099489e+00,4.457807e+00,4.177854e+00,3.927023e+00,1.075814e+00,9.357882e-01,1.187321e-01,9.886258e-02,8.356544e-02,5.288976e-03
3.561187,100.000000,0.0065759507,8.308808e-04,1.498290e+00,1.852234e+00,1.760466e+00,1.600453e+00,1.517621e+00,1.437756e+00,3.538613e-01,3.030498e-01,3.415284e-02,2.833864e-02,2.387551e-02,1.490275e-03
7.032017,21.209509,0.0033955682,1.972668e-04,3.194314e+00,2.727144e+00,2.442674e+00,2.213369e+00,2.114598e+00,2.023227e+00,4.487656e-01,3.726584e-01,3.490073e-02,2.890813e-02,2.433883e-02,1.515032e-03
363.719896,100.000000,0.0009053579,5.210202e-05,2.297278e+01,6.617753e+00,4.061225e+00,2.719916e+00,2.281374e+00,1.938560e+00,1.132879e-01,8.952038e-02,6.630419e-03,5.460541e-03,4.578269e-03,2.125998e-04
44.764154,100.000000,0.0037909973,7.862598e-04,8.063098e+00,6.954291e+00,5.753858e+00,4.887467e+00,4.548114e+00,4.254644e+00,1.007266e+00,8.588914e-01,9.175334e-02,7.598427e-02,6.383734e-02,3.959749e-03
5.072814,21.209509,0.0081967290,6.126487e-04,6.994954e-01,7.629202e-01,7.457346e-01,7.197108e-01,7.051539e-01,6.902112e-01,3.632360e-01,3.289496e-01,5.266941e-02,4.430403e-02,3.774767e-02,2.618187e-03
40.145206,18.420700,0.0024399977,1.731506e-04,7.646417e+00,6.153728e+00,5.462114e+00,4.917183e+00,4.675755e+00,4.447572e+00,8.189760e-01,6.736786e-01,6.019754e-02,4.975056e-02,4.184821e-02,2.577559e-03
61.918753,75.431201,0.0019575253,1.201218e-04,9.541995e+00,5.519512e+00,3.987482e+00,2.969643e+00,2.591457e+00,2.276945e+00,1.744707e-01,1.393186e-01,1.043704e-02,8.570679e-03,7.189844e-03,4.463046e-04
30.762096,75.431201,0.0006505748,1.296824e-05,5.985855e+00,1.228423e+00,7.097481e-01,4.599590e-01,3.816071e-01,3.213318e-01,1.777468e-02,1.408804e-02,1.044821e-03,8.618352e-04,7.235929e-04,3.248982e-05
4.918779,86.851137,0.0065759507,5.910355e-04,1.235366e+00,1.320227e+00,1.300141e+00,1.215262e+00,1.163512e+00,1.110179e+00,2.419176e-01,2.032780e-01,2.021446e-02,1.672768e-02,1.405561e-02,8.643645e-04
5.589155,24.420531,0.0037909973,2.119595e-04,2.553299e+00,2.161207e+00,1.940626e+00,1.766431e+00,1.691304e+00,1.621348e+00,3.617408e-01,3.003398e-01,2.807912e-02,2.325056e-02,1.957140e-02,1.218499e-03
13.253408,65.512856,0.0019575253,5.103945e-05,3.096909e+00,1.495386e+00,1.019077e+00,7.255775e-01,6.217641e-01,5.377532e-01,3.651449e-02,2.912402e-02,2.163742e-03,1.781291e-03,1.489391e-03,9.266883e-05
11.049586,75.431201,0.0065759507,2.483249e-03,3.238291e+00,4.661090e+00,4.706649e+00,4.420363e+00,4.235795e+00,4.047043e+00,1.517723e+00,1.382051e+00,3.177917e-01,2.741185e-01,2.382966e-01,1.815201e-02
18.809486,100.000000,0.0001391628,2.125264e-06,3.569270e+00,5.536000e-01,3.064350e-01,1.936974e-01,1.592656e-01,1.332258e-01,7.338946e-03,5.842546e-03,2.554486e-04,1.976171e-04,1.527018e-04,1.727286e-06
6.096532,32.374575,0.0158740105,6.410967e-03,9.436263e-01,9.225381e-01,8.988663e-01,8.709718e-01,8.567335e-01,8.433024e-01,1.003709e+00,9.806107e-01,4.014139e-01,3.643554e-01,3.323429e-01,4.587466e-02
30.979725,28.117687,0.0021854879,1.161453e-04,6.802218e+00,4.849635e+00,4.141625e+00,3.513784e+00,3.231090e+00,2.970564e+00,3.340345e-01,2.700462e-01,2.198983e-02,1.810836e-02,1.515763e-02,9.217440e-04
11.899928,65.512856,0.0027241463,4.966679e-05,1.103141e+00,5.967831e-01,4.299029e-01,3.174999e-01,2.757737e-01,2.411999e-01,1.778854e-02,1.422388e-02,1.082259e-03,8.896207e-04,7.438120e-04,4.561616e-05
8.577856,49.417134,0.0052756566,2.097579e-04,9.916381e-01,7.783434e-01,7.077402e-01,6.454426e-01,6.147489e-01,5.843358e-01,9.848930e-02,8.069422e-02,7.034234e-03,5.813929e-03,4.878645e-03,2.979226e-04
49.950900,100.000000,0.0042324759,1.275043e-03,8.301050e+00,7.479666e+00,6.213069e+00,5.340333e+00,5.012184e+00,4.733926e+00,1.479488e+00,1.302445e+00,1.860679e-01,1.556924e-01,1.319843e-01,8.496983e-03
6.868203,32.374575,0.0142182337,5.601117e-03,1.157950e+00,1.122415e+00,1.087420e+00,1.048636e+00,1.030629e+00,1.015296e+00,1.196085e+00,1.154018e+00,4.350970e-01,3.926307e-01,3.561048e-01,4.469052e-02
934.577632,49.417134,0.0001246471,4.335424e-06,3.662803e+01,5.961061e+00,3.328118e+00,2.107189e+00,1.733858e+00,1.446172e+00,7.802151e-02,6.202703e-02,4.105667e-03,3.208622e-03,2.554673e-03,3.744861e-05
327.198844,86.851137,0.0012599210,8.747156e-05,2.176012e+01,8.576293e+00,5.686827e+00,4.001059e+00,3.416583e+00,2.947129e+00,1.933106e-01,1.537921e-01,1.130377e-02,9.313944e-03,7.798578e-03,4.679805e-04
35.496696,86.851137,0.0001936627,3.750082e-06,6.513056e+00,1.049841e+00,5.819967e-01,3.688006e-01,3.034518e-01,2.535342e-01,1.370977e-02,1.090156e-02,6.719161e-04,5.231221e-04,4.126334e-04,5.850625e-06
27.015616,75.431201,0.0001116454,1.806796e-06,5.312093e+00,8.273344e-01,4.591343e-01,2.903680e-01,2.378341e-01,1.991544e-01,1.093371e-02,8.704829e-03,3.979328e-04,3.067185e-04,2.407151e-04,2.890086e-06
6.264809,28.117687,0.0197864869,8.099157e-03,6.289422e-01,6.394164e-01,6.319580e-01,6.221245e-01,6.164870e-01,6.104471e-01,6.493619e-01,6.620824e-01,3.672602e-01,3.368104e-01,3.101367e-01,5.095446e-02
1224.769877,100.000000,0.0001391628,7.340571e-06,4.186869e+01,6.666257e+00,3.697004e+00,2.337636e+00,1.921932e+00,1.607425e+00,8.797720e-02,7.000794e-02,3.047410e-03,2.357516e-03,1.821689e-03,2.060632e-05
109.675860,86.851137,0.0015704545,9.103155e-05,1.269486e+01,5.582168e+00,3.773971e+00,2.687467e+00,2.305103e+00,1.995779e+00,1.355482e-01,1.076966e-01,7.967442e-03,6.542569e-03,5.479143e-03,3.446883e-04
21.168152,56.898660,0.0019575253,7.490434e-05,5.246647e+00,3.036911e+00,2.187487e+00,1.615231e+00,1.402995e+00,1.227190e+00,9.032595e-02,7.219521e-02,5.432204e-03,4.474467e-03,3.737327e-03,2.305924e-04
8.087955,32.374575,0.0275354219,2.643187e-02,5.224330e-01,5.182638e-01,5.122628e-01,5.046843e-01,5.003433e-01,4.956641e-01,6.294090e-01,6.532033e-01,3.978420e-01,3.736971e-01,3.532651e-01,1.200312e-01
579.502024,42.919343,0.0003750526,1.238527e-05,2.892186e+01,5.925886e+00,3.423477e+00,2.218724e+00,1.840840e+00,1.550216e+00,8.555065e-02,6.782681e-02,5.041382e-03,4.153251e-03,3.488619e-03,1.584115e-04
6.234617,100.000000,0.0091512747,9.684023e-04,7.082416e-01,7.736461e-01,8.082183e-01,7.913974e-01,7.720674e-01,7.489408e-01,2.199561e-01,1.903897e-01,2.363587e-02,1.971095e-02,1.666064e-02,1.057842e-03
99.869653,56.898660,0.0001391628,2.948738e-06,1.189174e+01,1.924770e+00,1.070624e+00,6.791996e-01,5.568393e-01,4.657798e-01,2.514233e-02,1.996730e-02,1.301512e-03,1.013379e-03,8.057482e-04,1.175054e-05
6.796486,10.481131,0.0058900304,8.165512e-04,2.099112e+00,2.657315e+00,2.679059e+00,2.654017e+00,2.631785e+00,2.605148e+00,1.597435e+00,1.494169e+00,3.339081e-01,2.845422e-01,2.449783e-01,1.826981e-02
4.064891,86.851137,0.0127351667,2.884530e-03,6.640665e-01,6.475768e-01,7.410459e-01,8.060975e-01,8.232151e-01,8.314861e-01,3.935467e-01,3.589873e-01,9.093255e-02,7.917086e-02,6.942608e-02,5.721956e-03
53.491457,49.417134,0.0030413853,3.888281e-04,8.375216e+00,8.579895e+00,7.909733e+00,7.028720e+00,6.591649e+00,6.174677e+00,9.963552e-01,8.200335e-01,7.220550e-02,5.947019e-02,4.982056e-02,3.043389e-03
5.497117,86.851137,0.0047253666,4.104211e-04,2.278127e+00,2.404295e+00,2.155999e+00,1.880857e+00,1.752648e+00,1.633588e+00,2.607251e-01,2.147443e-01,1.887605e-02,1.554401e-02,1.303782e-02,7.971524e-04
4.099948,56.898660,0.0142182337,3.876935e-03,7.381127e-01,6.657879e-01,6.433206e-01,6.620016e-01,6.822180e-01,7.055931e-01,6.043707e-01,5.570051e-01,1.638143e-01,1.451057e-01,1.292864e-01,1.263922e-02
5.168098,28.117687,0.0052756566,2.946765e-04,1.376234e+00,1.232350e+00,1.126693e+00,1.039659e+00,1.002813e+00,9.692801e-01,2.821968e-01,2.380462e-01,2.411444e-02,2.001731e-02,1.688100e-02,1.064784e-03
1786.262133,49.417134,0.0001734623,7.226225e-06,5.045877e+01,8.590617e+00,4.833905e+00,3.072446e+00,2.531325e+00,2.117237e+00,1.133045e-01,9.019280e-02,6.895290e-03,5.486998e-03,4.426664e-03,8.980963e-05
334.107224,56.898660,0.0002162156,6.390800e-06,2.200672e+01,3.753915e+00,2.109600e+00,1.341755e+00,1.108939e+00,9.282267e-01,4.957885e-02,3.938417e-02,3.011234e-03,2.480583e-03,2.009824e-03,4.237657e-05
3.885568,65.512856,0.0158740105,8.139072e-03,7.903638e-01,7.006534e-01,7.270020e-01,8.185246e-01,8.681042e-01,9.133599e-01,6.725203e-01,6.244333e-01,2.562630e-01,2.349328e-01,2.163113e-01,3.498413e-02
71.435100,86.851137,0.0024399977,2.326554e-04,1.022992e+01,7.008926e+00,5.424268e+00,4.294736e+00,3.852584e+00,3.472548e+00,3.536465e-01,2.850447e-01,2.220199e-02,1.826034e-02,1.527547e-02,9.424719e-04
4.095711,28.117687,0.0142182337,2.786035e-03,6.878450e-01,7.055334e-01,6.928911e-01,6.761691e-01,6.669021e-01,6.573695e-01,5.887150e-01,5.730652e-01,1.922157e-01,1.685625e-01,1.487688e-01,1.341473e-02
597.833453,42.919343,0.0003359318,1.088826e-05,2.937047e+01,5.779508e+00,3.322320e+00,2.146932e+00,1.778003e+00,1.496808e+00,8.202513e-02,6.489412e-02,4.846491e-03,3.998590e-03,3.350665e-03,1.414287e-04
4.058862,10.481131,0.0102169815,1.343451e-03,4.234768e-01,7.477380e-01,7.979604e-01,8.203040e-01,8.259278e-01,8.291476e-01,6.317909e-01,6.032121e-01,2.280491e-01,2.009510e-01,1.779085e-01,1.616495e-02
21.753769,56.898660,0.0030413853,2.560329e-04,5.629677e+00,5.202742e+00,4.537474e+00,3.863735e+00,3.558093e+00,3.277751e+00,4.060102e-01,3.296881e-01,2.704854e-02,2.223238e-02,1.862694e-02,1.133353e-03
3.671802,56.898660,0.0142182337,5.814904e-03,9.351818e-01,8.359014e-01,8.267345e-01,8.870411e-01,9.300327e-01,9.740530e-01,8.031085e-01,7.414799e-01,2.622489e-01,2.373784e-01,2.158597e-01,2.738278e-02
11.511394,65.512856,0.0033955682,7.165464e-05,9.564641e-01,5.982330e-01,4.622360e-01,3.589470e-01,3.178722e-01,2.826265e-01,2.354128e-02,1.888548e-02,1.466590e-03,1.203354e-03,1.007298e-03,6.146381e-05
11.349556,65.512856,0.0037909973,8.673828e-05,8.897057e-01,5.908454e-01,4.733006e-01,3.780086e-01,3.385626e-01,3.039913e-01,2.741869e-02,2.204196e-02,1.729902e-03,1.421352e-03,1.191306e-03,7.248040e-05
110.802714,65.512856,0.0021854879,2.094516e-04,1.253136e+01,9.512819e+00,7.476022e+00,5.942177e+00,5.330290e+00,4.801145e+00,4.759167e-01,3.833469e-01,2.983957e-02,2.450280e-02,2.052112e-02,1.261636e-03
69.087968,37.275937,0.0017533409,9.563522e-05,1.004798e+01,6.790257e+00,5.296111e+00,4.134584e+00,3.669062e+00,3.268195e+00,2.763726e-01,2.217730e-01,1.716908e-02,1.413726e-02,1.178411e-02,7.204412e-04
4.667575,10.481131,0.0114067946,2.092271e-03,5.202220e-01,9.157183e-01,9.750517e-01,1.001388e+00,1.008185e+00,1.012284e+00,8.142399e-01,7.853596e-01,3.736699e-01,3.351982e-01,3.013800e-01,3.098442e-02
8.110803,65.512856,0.0037909973,2.815194e-04,3.221665e+00,3.034651e+00,2.708681e+00,2.347200e+00,2.176997e+00,2.018197e+00,2.696921e-01,2.196791e-01,1.827868e-02,1.507771e-02,1.261094e-02,7.692848e-04
37.087839,49.417134,0.0014066445,4.611744e-05,7.196682e+00,3.293267e+00,2.211001e+00,1.559600e+00,1.331976e+00,1.148845e+00,7.665407e-02,6.111118e-02,4.534024e-03,3.729238e-03,3.120397e-03,1.939480e-04
32.402107,65.512856,0.0047253666,1.352894e-03,5.714915e+00,7.709630e+00,7.452770e+00,6.836479e+00,6.504984e+00,6.183028e+00,1.901842e+00,1.681078e+00,2.534908e-01,2.127946e-01,1.808615e-01,1.181515e-02
2.362864,12.067926,0.0081967290,9.130771e-04,7.463651e-01,1.052212e+00,1.080257e+00,1.083877e+00,1.080781e+00,1.075484e+00,7.024353e-01,6.628572e-01,1.752743e-01,1.506500e-01,1.306181e-01,1.022836e-02
2.299086,75.431201,0.0091512747,3.277756e-03,1.703384e+00,2.023348e+00,2.289004e+00,2.361608e+00,2.347560e+00,2.311918e+00,9.653313e-01,8.877524e-01,2.441500e-01,2.141016e-01,1.889647e-01,1.641995e-02
12.557966,86.851137,0.0019575253,3.755339e-05,1.939122e+00,7.406740e-01,4.750566e-01,3.260573e-01,2.758028e-01,2.360374e-01,1.490796e-02,1.184906e-02,8.698960e-04,7.168317e-04,6.000177e-04,3.765074e-05
391.185697,42.919343,0.0002413949,6.634884e-06,2.380584e+01,4.262982e+00,2.419465e+00,1.551999e+00,1.282968e+00,1.074923e+00,5.804864e-02,4.595952e-02,3.464685e-03,2.860825e-03,2.398415e-03,7.792268e-05
2.407493,49.417134,0.0081967290,1.360847e-03,1.628575e+00,1.426957e+00,1.440954e+00,1.503303e+00,1.532512e+00,1.555256e+00,7.890582e-01,7.004535e-01,1.105941e-01,9.327154e-02,7.960748e-02,5.417262e-03
3.151094,75.431201,0.0091512747,3.735234e-03,1.818982e+00,2.234895e+00,2.522027e+00,2.587338e+00,2.564415e+00,2.518294e+00,1.066000e+00,9.854225e-01,2.906824e-01,2.568248e-01,2.282279e-01,2.121753e-02
9.999051,65.512856,0.0042324759,4.949856e-04,3.822896e+00,4.146733e+00,3.905347e+00,3.526591e+00,3.330587e+00,3.140570e+00,5.869315e-01,4.881054e-01,4.538446e-02,3.754784e-02,3.146925e-02,1.926947e-03
61.448397,56.898660,0.0027241463,3.072183e-04,9.153339e+00,8.849250e+00,7.615146e+00,6.445243e+00,5.929851e+00,5.462909e+00,7.160248e-01,5.834095e-01,4.832239e-02,3.983559e-02,3.334537e-02,2.035446e-03
21.034708,75.431201,0.0033955682,3.647571e-04,5.533076e+00,5.444665e+00,4.653522e+00,3.936719e+00,3.626765e+00,3.347985e+00,4.769033e-01,3.904153e-01,3.315395e-02,2.723328e-02,2.281787e-02,1.395024e-03
33.850114,75.431201,0.0002695064,4.878345e-06,6.321479e+00,1.064367e+00,5.968837e-01,3.794637e-01,3.121584e-01,2.621757e-01,1.400964e-02,1.112137e-02,8.517732e-04,6.839525e-04,5.524635e-04,1.134675e-05
9.094594,32.374575,0.0073417495,3.441781e-04,5.860420e-01,5.536942e-01,5.142979e-01,4.775487e-01,4.612926e-01,4.464572e-01,1.548783e-01,1.326143e-01,1.457813e-02,1.213235e-02,1.024584e-02,6.597877e-04
2.968884,37.275937,0.0102169815,1.979475e-03,1.292251e+00,1.203162e+00,1.141577e+00,1.102957e+00,1.095294e+00,1.094497e+00,8.959473e-01,8.229329e-01,1.760595e-01,1.509149e-01,1.306031e-01,9.928375e-03
7.667174,32.374575,0.0246632736,1.874836e-02,5.731110e-01,5.680950e-01,5.605336e-01,5.510175e-01,5.455968e-01,5.397950e-01,6.825618e-01,7.005177e-01,4.004623e-01,3.740673e-01,3.513876e-01,1.005828e-01
1543.333168,86.851137,0.0004187291,2.503857e-05,4.691641e+01,9.648477e+00,5.563264e+00,3.595621e+00,2.978050e+00,2.503226e+00,1.360173e-01,1.077196e-01,8.114499e-03,6.707581e-03,5.631084e-03,1.554332e-04
4.233289,21.209509,0.0091512747,8.398801e-04,7.164236e-01,7.901904e-01,7.774705e-01,7.559201e-01,7.434049e-01,7.302956e-01,4.375276e-01,4.040507e-01,7.627480e-02,6.454234e-02,5.525301e-02,3.954705e-03
