chi2,m_chi_GeV,m_phi_GeV,alpha,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
3.562735,56.898660,0.0127351667,5.542697e-03,1.198673e+00,1.062504e+00,1.101811e+00,1.224848e+00,1.290368e+00,1.349752e+00,9.621792e-01,8.878482e-01,3.117263e-01,2.814895e-01,2.553843e-01,3.122128e-02
4.808011,49.417134,0.0073417495,1.667880e-03,2.497530e+00,2.254926e+00,2.420154e+00,2.588279e+00,2.643289e+00,2.676661e+00,1.264356e+00,1.129420e+00,1.990324e-01,1.688352e-01,1.447776e-01,1.011632e-02
6.335732,100.000000,0.0058900304,4.267018e-04,1.230944e+00,1.306675e+00,1.196532e+00,1.058721e+00,9.917775e-01,9.285106e-01,1.551290e-01,1.280594e-01,1.143743e-02,9.429755e-03,7.890219e-03,4.827614e-04
9.084379,100.000000,0.0052756566,1.175335e-03,3.782367e+00,4.414964e+00,3.861093e+00,3.352506e+00,3.138429e+00,2.949851e+00,8.611351e-01,7.547706e-01,1.028559e-01,8.586542e-02,7.271797e-02,4.645524e-03
2.971119,42.919343,0.0102169815,1.735315e-03,1.126752e+00,1.026500e+00,9.748895e-01,9.575749e-01,9.604595e-01,9.683008e-01,7.068609e-01,6.417226e-01,1.235360e-01,1.052463e-01,9.061547e-02,6.601001e-03
20.171219,15.998587,0.0037909973,4.060205e-04,5.183791e+00,4.933388e+00,4.607975e+00,4.301426e+00,4.166032e+00,4.043098e+00,1.544266e+00,1.332299e+00,1.530184e-01,1.274500e-01,1.077608e-01,6.983836e-03
5.240675,37.275937,0.0158740105,6.169947e-03,8.767092e-01,8.452013e-01,8.164080e-01,7.858174e-01,7.726290e-01,7.624192e-01,9.249333e-01,8.883496e-01,3.368842e-01,3.053486e-01,2.781345e-01,3.724830e-02
133.389354,75.431201,0.0001391628,3.647483e-06,1.382909e+01,2.197347e+00,1.220584e+00,7.702568e-01,6.320460e-01,5.302083e-01,2.884177e-02,2.292108e-02,1.246757e-03,9.650677e-04,7.508910e-04,1.048792e-05
4.913083,86.851137,0.0058900304,1.261451e-03,2.785601e+00,3.720817e+00,3.527173e+00,3.197004e+00,3.029847e+00,2.871080e+00,8.560699e-01,7.535353e-01,1.082124e-01,9.072343e-02,7.695728e-02,4.978355e-03
55.561255,65.512856,0.0027241463,2.938346e-04,8.836008e+00,8.064768e+00,6.723051e+00,5.578894e+00,5.096024e+00,4.666677e+00,5.769156e-01,4.688538e-01,3.834861e-02,3.156123e-02,2.641039e-02,1.612843e-03
4.328061,65.512856,0.0114067946,1.906655e-03,7.792575e-01,6.873616e-01,7.077586e-01,7.549270e-01,7.768306e-01,7.947041e-01,4.465929e-01,4.018761e-01,7.772714e-02,6.631697e-02,5.716504e-02,4.154928e-03
7.677685,37.275937,0.0197864869,1.398873e-02,8.046508e-01,7.810208e-01,7.595851e-01,7.343847e-01,7.217722e-01,7.104022e-01,9.933044e-01,9.676746e-01,4.375636e-01,4.082985e-01,3.826304e-01,9.246351e-02
5.243610,13.894955,0.0127351667,1.773013e-03,3.732519e-01,5.824706e-01,6.077930e-01,6.169866e-01,6.185101e-01,6.187192e-01,4.701576e-01,4.533498e-01,1.868223e-01,1.652095e-01,1.467158e-01,1.364768e-02
2.991007,86.851137,0.0091512747,1.493732e-03,1.007099e+00,1.108262e+00,1.206128e+00,1.220003e+00,1.205572e+00,1.182397e+00,4.207453e-01,3.735296e-01,6.060953e-02,5.114135e-02,4.363148e-02,2.935973e-03
18.343729,12.067926,0.0047253666,6.564808e-04,3.977095e+00,4.330430e+00,4.235437e+00,4.091488e+00,4.010873e+00,3.928068e+00,2.126091e+00,1.932110e+00,3.179006e-01,2.676558e-01,2.282125e-01,1.590932e-02
27.754699,42.919343,0.0052756566,1.300761e-03,5.225143e+00,4.984091e+00,5.413330e+00,5.642695e+00,5.667425e+00,5.644123e+00,2.172041e+00,1.914744e+00,2.861748e-01,2.405019e-01,2.048022e-01,1.357885e-02
9.222119,56.898660,0.0073417495,2.435310e-03,2.924297e+00,3.050244e+00,3.468786e+00,3.672304e+00,3.699187e+00,3.689027e+00,1.574738e+00,1.429197e+00,3.249070e-01,2.801956e-01,2.436669e-01,1.867836e-02
8.579567,100.000000,0.0047253666,7.062666e-04,3.607186e+00,3.889718e+00,3.369257e+00,2.903404e+00,2.705220e+00,2.528545e+00,5.515897e-01,4.670883e-01,4.800994e-02,3.965707e-02,3.334730e-02,2.058977e-03
