galaxy,category,f_gas,upsilon,chi2_dof,r_1_kpc
DDO_154,dwarf,0.95,3.0000,1.574,2.1556
IC_2574,dwarf,0.82,0.0100,1.645,3.7296
NGC_2366,dwarf,0.88,3.0000,0.922,2.7966
NGC_2403,spiral,0.25,1.3111,25.846,8.3057
NGC_2976,spiral,0.15,0.7820,0.940,6.6731
NGC_3198,spiral,0.3,1.4343,19.253,10.0794
UGC_128,dwarf,0.75,0.0100,12.173,3.0316
