run_id,timestamp_start,script,stage,params_json,data_source,output_files,n_viable,status,duration_sec,git_hash,notes
1,2026-03-29 12:36:22,core/v22_raw_scan_fast.py,0 - VPM Scan (grain),"{""n_chi"":50,""n_phi"":70,""n_res"":4,""n_alpha"":200,""n_workers"":14,""sigma_m_30_lo"":0.5,""sigma_m_30_hi"":10.0,""sigma_m_1000_hi"":0.47,""grain_mode"":true}",grid scan from scratch,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_raw_v8_2026_03_29_r001.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_representative_v8_2026_03_29_r001.csv,153353,OK,31233.65,c4eae97,"raw=153353, rep=1067, BBN-safe=818, grain_mode=True"
2,2026-03-29 21:19:45,relic_density/smart_scan.py,1 - Relic Density,"{""n_chi"":20,""n_phi"":30,""target_omega"":0.12,""sigma_m_30_lo"":0.5,""sigma_m_30_hi"":10.0,""sigma_m_1000_hi"":0.47}",,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_true_viable_points_2026_03_29_r002.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_all_relic_points_2026_03_29_r002.csv,122,OK,253.48,c4eae97,
3,2026-03-29 21:26:08,relic_density/boltzmann_correction.py,1 - Relic Density verify,"{""m_chi_GeV"":18.421,""m_phi_MeV"":8.2,""alpha_KT"":0.000819}",,,,PARTIAL,4.08,28ea525,KT→Boltzmann delta_alpha=15.95%
4,2026-03-29 21:36:32,observations/observational_comparison.py,3 - Observational Comparison,"{""n_benchmarks"":3,""n_obs"":13}",,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\observations\v33_observational_comparison.png,,OK,43.4,28ea525,
5,2026-03-29 22:59:17,observations/chi2_fit.py,3 - Chi2 Fit,"{""n_obs"":13,""n_workers"":12}",C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\all_viable_raw_v8_2026_03_29_r001.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v31_true_viable_points_2026_03_29_r002.csv,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\data\archive\v34_results_2026_03_30_r005.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\observations\v34_chi2_fit.png,,OK,8112.02,2655eab,
6,2026-03-30 06:03:54,observations/observational_comparison.py,3 - Observational Comparison,"{""n_benchmarks"":3,""n_obs"":13}",,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\observations\v33_observational_comparison.png,,OK,35.91,22d0c0a,
7,2026-03-30 06:22:09,cosmology/bsf_estimate.py,Cosmology Validation,"{""tests"":6}",,,,OK,0.0,22d0c0a,ALL PASS
8,2026-03-30 06:22:41,cosmology/mediator_cosmology.py,Cosmology Validation,"{""tests"":5}",,,,OK,0.01,22d0c0a,ALL PASS
