bp,m_chi_GeV,m_phi_MeV,alpha,sv0_GeV2,x_fo_numerical,x_fo_KT,T_fo_MeV,Y_inf_swave,Y_inf_pwave,Y_inf_KT,omega_h2_swave,omega_h2_pwave,omega_h2_KT,omega_target,delta_swave_pct,delta_pwave_pct,delta_KT_pct,pwave_correction_pct
BP1,54.556,12.975,0.002645,1.846104124946192e-09,23.277700000000106,20.735298075527723,2343.7023417261908,8.01590313503295e-12,5.7094039140326196e-12,7.128263378930613e-12,0.11997029089861092,0.0854499907104161,0.10668539985653225,0.12,-0.024757584490900375,-28.791674407986577,-11.095500119556457,-28.774040580903943
BP9,48.329,8.657,0.00235,1.8569918079213276e-09,23.177800000000104,20.628453310443234,2085.1418167384213,9.048491387317498e-12,6.426505947650691e-12,7.984708629449727e-12,0.11996725370461786,0.08520428836752277,0.10586334504879556,0.12,-0.027288579485112985,-28.99642636039769,-11.780545792670361,-28.977045204925762
BP16,14.384,5.047,0.0007555,2.16670342552054e-09,22.178800000000088,19.667984461006377,648.5472613486728,3.040943769121425e-11,2.0879643894268635e-11,2.3037335240294092e-11,0.11999600700074306,0.08239132602026214,0.09090560203194643,0.12,-0.0033274993807795123,-31.340561649781545,-24.245331640044636,-31.338276931371606
MAP,98.19,9.66,0.003274,8.731979580708892e-10,23.077900000000103,20.565832410649413,4254.719883524912,8.931010293435388e-12,6.3878843527834685e-12,8.167698876641945e-12,0.24057283197075158,0.1720691588700035,0.2200116655203466,0.12,100.47735997562633,43.390965725002935,83.34305460028884,-28.475232443984623
MAP_relic,98.19,9.66,0.003274,8.731979580708892e-10,23.077900000000103,20.565832410649413,4254.719883524912,8.931010293435388e-12,6.3878843527834685e-12,8.167698876641945e-12,0.24057283197075158,0.1720691588700035,0.2200116655203466,0.12,100.47735997562633,43.390965725002935,83.34305460028884,-28.475232443984623
