bp,m_chi_GeV,m_phi_MeV,alpha,v_km_s,sigma_maj,sigma_dir_fit,deviation_pct,m_chi_fit,m_phi_fit_MeV,alpha_fit,chi2,chi2_per_dof
BP1,54.556,12.975,0.002645,29.999999999999996,0.6719696325247045,0.6761364751975045,0.6200938957828269,10.896561799419455,10.415397684500283,0.001290715406184433,0.004416683471230441,0.0022083417356152206
BP1,54.556,12.975,0.002645,79.77443845417481,0.7434372983369358,0.7446550931824836,0.16380599255269218,10.896561799419455,10.415397684500283,0.001290715406184433,0.004416683471230441,0.0022083417356152206
BP1,54.556,12.975,0.002645,212.13203435596432,0.6102014560237425,0.5871735147111031,-3.7738260184917367,10.896561799419455,10.415397684500283,0.001290715406184433,0.004416683471230441,0.0022083417356152206
BP1,54.556,12.975,0.002645,564.0904639629592,0.2527635019717008,0.26514941424472016,4.900198080973772,10.896561799419455,10.415397684500283,0.001290715406184433,0.004416683471230441,0.0022083417356152206
BP1,54.556,12.975,0.002645,1500.0000000000005,0.06340471746454213,0.06191750418878055,-2.3455877342143663,10.896561799419455,10.415397684500283,0.001290715406184433,0.004416683471230441,0.0022083417356152206
BP9,48.329,8.657,0.00235,29.999999999999996,1.8310974159445836,1.91643007502823,4.660192207175765,8.005577976660767,6.693131329619299,0.0009916845709595158,0.02125215800555661,0.010626079002778305
BP9,48.329,8.657,0.00235,79.77443845417481,2.289710624305248,2.041147925212393,-10.855638107906088,8.005577976660767,6.693131329619299,0.0009916845709595158,0.02125215800555661,0.010626079002778305
BP9,48.329,8.657,0.00235,212.13203435596432,1.4711648640335813,1.5060910122632143,2.374047197801741,8.005577976660767,6.693131329619299,0.0009916845709595158,0.02125215800555661,0.010626079002778305
BP9,48.329,8.657,0.00235,564.0904639629592,0.5638981237089115,0.6010824505484517,6.594156865599901,8.005577976660767,6.693131329619299,0.0009916845709595158,0.02125215800555661,0.010626079002778305
BP9,48.329,8.657,0.00235,1500.0000000000005,0.13204806071539296,0.125600611477294,-4.882653484775764,8.005577976660767,6.693131329619299,0.0009916845709595158,0.02125215800555661,0.010626079002778305
BP16,14.384,5.047,0.0007555,29.999999999999996,4.266481157751713,4.0886879410417905,-4.167209701298978,10.14738379693214,5.599217641379473,0.0010108268319113129,0.010671914451483331,0.0053359572257416655
BP16,14.384,5.047,0.0007555,79.77443845417481,3.4865863490626725,3.7511071657149513,7.586813868051542,10.14738379693214,5.599217641379473,0.0010108268319113129,0.010671914451483331,0.0053359572257416655
BP16,14.384,5.047,0.0007555,212.13203435596432,2.4060440405371732,2.3086776675537655,-4.046741096296382,10.14738379693214,5.599217641379473,0.0010108268319113129,0.010671914451483331,0.0053359572257416655
BP16,14.384,5.047,0.0007555,564.0904639629592,0.8113060522121768,0.7871429993683396,-2.9782907175352724,10.14738379693214,5.599217641379473,0.0010108268319113129,0.010671914451483331,0.0053359572257416655
BP16,14.384,5.047,0.0007555,1500.0000000000005,0.14698695209059637,0.15074804750355172,2.558795430112178,10.14738379693214,5.599217641379473,0.0010108268319113129,0.010671914451483331,0.0053359572257416655
MAP,98.19,9.66,0.003274,29.999999999999996,1.7969870173084648,1.8363189378472853,2.188770434064239,54.45228399403772,8.747378195069356,0.003091719268382332,0.004678375120425476,0.002339187560212738
MAP,98.19,9.66,0.003274,79.77443845417481,1.4166844219661887,1.336053196472528,-5.691544584202758,54.45228399403772,8.747378195069356,0.003091719268382332,0.004678375120425476,0.002339187560212738
MAP,98.19,9.66,0.003274,212.13203435596432,0.756671276252016,0.7770656019087543,2.6952689096058347,54.45228399403772,8.747378195069356,0.003091719268382332,0.004678375120425476,0.002339187560212738
MAP,98.19,9.66,0.003274,564.0904639629592,0.3332775971576298,0.3373935471023185,1.2349914845137369,54.45228399403772,8.747378195069356,0.003091719268382332,0.004678375120425476,0.002339187560212738
MAP,98.19,9.66,0.003274,1500.0000000000005,0.09269945586577524,0.09186532713629351,-0.8998205239624172,54.45228399403772,8.747378195069356,0.003091719268382332,0.004678375120425476,0.002339187560212738
