bp,m_chi_GeV,m_phi_MeV,alpha,sv0_GeV2,x_fo_numerical,x_fo_KT,T_fo_MeV,Y_inf_swave,Y_inf_pwave,Y_inf_KT,omega_h2_swave,omega_h2_pwave,omega_h2_KT,omega_target,delta_swave_pct,delta_pwave_pct,delta_KT_pct,pwave_correction_pct
BP1,54.556,12.975,0.002645,1.846104124946192e-09,23.877100000000116,20.735298075527723,2284.8670902245135,8.292740626305122e-12,5.948621955771751e-12,7.128263378930613e-12,0.1241135887653743,0.08903025578749925,0.10668539985653225,0.12,3.4279906378119227,-25.808120177083953,-11.095500119556457,-28.26711670081265
BP9,48.329,8.657,0.00235,1.8569918079213276e-09,23.777200000000114,20.628453310443234,2032.577427115042,9.365108335021996e-12,6.698991604146983e-12,7.984708629449727e-12,0.12416504359760332,0.08881697411639554,0.10586334504879556,0.12,3.4708696646694346,-25.985854903003712,-11.780545792670361,-28.468616010609672
BP16,14.384,5.047,0.0007555,2.16670342552054e-09,22.8781000000001,19.667984461006377,628.7235391050802,3.171680570659477e-11,2.1945807683322154e-11,2.3037335240294092e-11,0.12515489691903553,0.08659842115941913,0.09090560203194643,0.12,4.295747432529612,-27.834649033817392,-24.245331640044636,-30.807005326015435
MAP,98.19,9.66,0.003274,8.731979580708892e-10,23.777200000000114,20.565832410649413,4129.586326396696,9.233085559929703e-12,6.651827348195642e-12,8.167698876641945e-12,0.24870977280288484,0.1791789383685024,0.2200116655203466,0.12,107.25814400240404,49.31578197375201,83.34305460028884,-27.95661531542999
MAP_relic,98.19,9.66,0.003274,8.731979580708892e-10,23.777200000000114,20.565832410649413,4129.586326396696,9.233085559929703e-12,6.651827348195642e-12,8.167698876641945e-12,0.24870977280288484,0.1791789383685024,0.2200116655203466,0.12,107.25814400240404,49.31578197375201,83.34305460028884,-27.95661531542999
