bp,m_chi_GeV,m_phi_MeV,alpha_config,hypothesis,factor,alpha_annihilation,sv0_GeV2,Y_inf,omega_h2_boltzmann,omega_h2_KT,omega_target,delta_pct
BP1,54.556,12.975,0.002645,y²/(4π),1,0.002645,1.846104124946192e-09,8.085141690784167e-12,0.12100655213267819,0.10668539985653225,0.12,0.8387934438984964
BP1,54.556,12.975,0.002645,y²/(16π),4,0.01058,2.9537665999139073e-08,5.781248900024276e-13,0.008652526117262464,0.007547679161020728,0.12,-92.78956156894795
BP1,54.556,12.975,0.002645,y²/(8π),2,0.00529,7.384416499784768e-09,2.165923193107253e-12,0.03241636421546618,0.028427189375041073,0.12,-72.98636315377819
BP9,48.329,8.657,0.00235,y²/(4π),1,0.00235,1.8569918079213276e-09,9.126880154899995e-12,0.12100655238609119,0.10586334504879556,0.12,0.8387936550759956
BP9,48.329,8.657,0.00235,y²/(16π),4,0.0094,2.971186892674124e-08,6.537744380634081e-13,0.008667911646208525,0.007494051683869284,0.12,-92.77674029482623
BP9,48.329,8.657,0.00235,y²/(8π),2,0.0047,7.42796723168531e-09,2.4472004150615523e-12,0.032445619992657236,0.028217150832538125,0.12,-72.9619833394523
BP16,14.384,5.047,0.0007555,y²/(4π),1,0.0007555,2.16670342552054e-09,3.0717336751463264e-11,0.12121098039697384,0.09090560203194643,0.12,1.009150330811536
BP16,14.384,5.047,0.0007555,y²/(16π),4,0.003022,3.466725480832864e-08,2.2709654647823094e-12,0.008961257047156616,0.006515835762890266,0.12,-92.53228579403616
BP16,14.384,5.047,0.0007555,y²/(8π),2,0.001511,8.66681370208216e-09,8.368642094431668e-12,0.033022762391961794,0.024387714760993214,0.12,-72.48103134003185
MAP,98.19,9.66,0.003274,y²/(4π),1,0.003274,8.731979580708892e-10,9.014282563675475e-12,0.24281592040286504,0.2200116655203466,0.12,102.34660033572086
MAP,98.19,9.66,0.003274,y²/(16π),4,0.013096,1.3971167329134228e-08,6.427188597311596e-13,0.0173127889417157,0.015577711603032895,0.12,-85.57267588190358
MAP,98.19,9.66,0.003274,y²/(8π),2,0.006548,3.492791832283557e-09,2.411461996418383e-12,0.06495706785766787,0.05864892607147172,0.12,-45.8691101186101
