chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
3.4507,0.3451,10.481131,9.151275,1.065841e-03,1.2207,0,,4.812052e-01,8.074726e-01,8.542057e-01,8.733207e-01,8.773598e-01,8.789837e-01,6.329368e-01,6.006678e-01,1.941962e-01,1.704384e-01,1.491750e-01,1.168409e-02
3.4513,0.3451,56.898660,14.218234,7.986245e-03,31.9594,0,,1.107815e+00,9.842777e-01,1.001396e+00,1.112742e+00,1.178740e+00,1.241371e+00,9.021198e-01,8.025336e-01,2.906052e-01,2.631554e-01,2.534886e-01,4.070242e-02
3.4557,0.3456,37.275937,6.575951,8.319581e-04,4.7160,0,,2.163226e+00,1.893940e+00,1.809889e+00,1.789185e+00,1.788471e+00,1.788241e+00,8.054752e-01,6.970950e-01,8.190366e-02,6.880646e-02,5.753128e-02,3.743421e-03
3.4627,0.3463,75.431201,11.406795,2.309950e-03,15.2753,0,,8.252351e-01,7.654387e-01,8.499705e-01,9.240422e-01,9.472576e-01,9.612738e-01,4.475733e-01,4.037753e-01,8.212436e-02,7.102638e-02,6.069862e-02,4.636291e-03
3.4640,0.3464,49.417134,8.196729,1.012665e-03,6.1052,0,,1.299026e+00,1.131424e+00,1.110858e+00,1.128544e+00,1.139171e+00,1.147148e+00,5.268023e-01,4.574731e-01,5.867082e-02,4.842908e-02,4.128807e-02,2.681149e-03
3.4652,0.3465,18.420700,7.341750,5.992779e-04,1.5036,0,,9.253804e-01,1.024482e+00,1.004444e+00,9.716908e-01,9.529496e-01,9.334860e-01,4.901320e-01,4.443229e-01,7.016340e-02,5.836529e-02,4.955832e-02,3.188208e-03
3.4661,0.3466,28.117687,12.735167,2.782467e-03,6.1433,0,,9.552724e-01,9.561421e-01,9.332115e-01,9.052680e-01,8.906211e-01,8.762552e-01,8.115810e-01,7.825045e-01,2.326181e-01,2.071604e-01,1.804691e-01,1.477655e-02
3.4675,0.3467,75.431201,7.341750,2.202362e-03,22.6277,0,,2.319854e+00,3.029303e+00,3.216302e+00,3.141846e+00,3.053484e+00,2.958231e+00,9.846569e-01,8.589795e-01,1.795572e-01,1.533317e-01,1.333521e-01,1.002757e-02
3.4719,0.3472,65.512856,14.218234,4.775297e-03,22.0030,0,,7.809199e-01,6.920654e-01,7.168535e-01,7.925089e-01,8.325324e-01,8.686699e-01,5.679165e-01,5.457329e-01,1.547164e-01,1.427269e-01,1.271417e-01,1.417572e-02
3.4731,0.3473,32.374575,12.735167,2.587778e-03,6.5785,0,,8.860248e-01,8.678003e-01,8.399398e-01,8.090604e-01,7.944344e-01,7.813359e-01,7.279460e-01,6.911848e-01,1.865511e-01,1.600879e-01,1.398883e-01,1.098465e-02
3.4785,0.3478,86.851137,7.341750,2.594540e-03,30.6928,0,,2.351739e+00,3.448848e+00,3.423532e+00,3.161439e+00,3.022258e+00,2.867424e+00,8.906348e-01,8.007744e-01,1.949058e-01,1.692313e-01,1.480100e-01,1.125886e-02
3.4786,0.3479,21.209509,5.275657,3.955473e-04,1.5902,0,,1.827676e+00,1.766978e+00,1.657082e+00,1.548329e+00,1.498873e+00,1.453352e+00,5.568484e-01,4.794082e-01,5.287156e-02,4.363016e-02,3.725925e-02,2.315590e-03
3.4790,0.3479,75.431201,6.575951,1.461931e-03,16.7695,0,,2.404856e+00,3.050217e+00,3.150053e+00,3.023149e+00,2.928269e+00,2.817604e+00,8.322204e-01,7.312216e-01,1.130015e-01,9.521810e-02,8.064919e-02,5.285736e-03
3.4843,0.3484,21.209509,5.275657,4.355910e-04,1.7512,0,,2.067893e+00,1.990771e+00,1.868269e+00,1.749050e+00,1.695547e+00,1.646718e+00,6.594424e-01,5.693805e-01,6.394943e-02,5.279538e-02,4.510332e-02,2.807967e-03
3.4853,0.3485,24.420531,5.890030,4.753710e-04,1.9709,0,,1.671172e+00,1.588765e+00,1.488252e+00,1.394942e+00,1.354397e+00,1.318036e+00,5.426192e-01,4.685620e-01,5.269570e-02,4.348223e-02,3.717681e-02,2.340873e-03
3.4861,0.3486,42.919343,12.735167,3.249276e-03,10.9505,0,,9.790281e-01,9.123316e-01,8.672710e-01,8.426530e-01,8.414422e-01,8.469777e-01,8.162980e-01,7.547969e-01,1.926884e-01,1.726835e-01,1.496010e-01,1.300069e-02
3.4868,0.3487,32.374575,12.735167,2.849755e-03,7.2445,0,,9.581066e-01,9.346384e-01,9.039671e-01,8.704333e-01,8.548375e-01,8.411549e-01,8.121241e-01,7.721989e-01,2.161836e-01,1.862071e-01,1.633260e-01,1.326520e-02
3.4875,0.3487,86.851137,14.218234,4.795586e-03,29.2935,0,,6.692955e-01,6.545497e-01,7.692588e-01,8.542167e-01,8.790877e-01,8.935790e-01,4.157273e-01,3.698043e-01,1.180009e-01,1.038557e-01,9.520015e-02,1.060455e-02
3.4891,0.3489,42.919343,10.216981,1.537058e-03,6.4568,0,,1.024664e+00,9.361091e-01,8.871073e-01,8.655728e-01,8.645254e-01,8.678781e-01,6.011791e-01,5.391184e-01,9.283538e-02,7.705471e-02,6.697934e-02,4.579824e-03
3.4932,0.3493,56.898660,9.151275,3.105415e-03,19.3081,0,,1.964381e+00,1.829342e+00,2.064719e+00,2.277747e+00,2.348169e+00,2.394212e+00,1.171237e+00,1.041635e+00,2.604881e-01,2.240468e-01,1.993366e-01,1.712642e-02
3.4942,0.3494,15.998587,4.725367,3.872983e-04,1.3113,0,,2.277214e+00,2.331821e+00,2.224266e+00,2.098870e+00,2.036271e+00,1.975797e+00,8.048475e-01,7.025555e-01,8.284985e-02,7.000137e-02,5.834036e-02,3.702983e-03
3.5000,0.3500,86.851137,7.341750,9.460540e-04,11.1916,0,,1.296854e+00,1.486923e+00,1.523568e+00,1.462308e+00,1.416711e+00,1.363948e+00,3.542327e-01,3.031960e-01,3.513632e-02,2.926668e-02,2.473671e-02,1.525128e-03
3.5009,0.3501,56.898660,8.196729,1.027521e-03,7.1327,0,,1.258054e+00,1.102425e+00,1.127114e+00,1.165890e+00,1.177746e+00,1.182731e+00,4.755164e-01,4.144043e-01,5.114510e-02,4.291670e-02,3.582803e-02,2.398918e-03
3.5059,0.3506,28.117687,12.735167,2.294400e-03,5.0658,0,,8.034284e-01,8.147782e-01,7.964504e-01,7.733855e-01,7.610756e-01,7.488039e-01,6.461301e-01,6.202884e-01,1.717095e-01,1.515449e-01,1.312032e-01,1.012116e-02
3.5079,0.3508,13.894955,11.406795,1.705860e-03,2.0780,0,,5.646632e-01,8.094874e-01,8.334555e-01,8.394735e-01,8.390607e-01,8.371613e-01,6.204307e-01,5.992181e-01,2.281807e-01,1.999502e-01,1.759764e-01,1.439713e-02
3.5088,0.3509,18.420700,5.275657,4.907344e-04,1.7135,0,,2.282364e+00,2.279555e+00,2.168159e+00,2.046676e+00,1.988449e+00,1.933605e+00,8.622088e-01,7.562574e-01,9.166696e-02,7.759465e-02,6.463233e-02,4.122298e-03
3.5139,0.3514,13.894955,5.890030,6.804024e-04,1.6051,0,,2.048339e+00,2.296761e+00,2.261631e+00,2.197552e+00,2.159797e+00,2.120010e+00,1.176650e+00,1.076676e+00,1.796532e-01,1.538645e-01,1.299086e-01,8.563788e-03
3.5163,0.3516,49.417134,6.575951,7.151444e-04,5.3742,0,,1.782053e+00,1.540253e+00,1.542601e+00,1.555958e+00,1.553058e+00,1.542305e+00,5.134286e-01,4.342881e-01,4.621808e-02,3.777704e-02,3.222655e-02,2.073412e-03
3.5183,0.3518,37.275937,9.151275,1.976939e-03,8.0527,0,,1.745080e+00,1.593734e+00,1.514491e+00,1.489402e+00,1.495918e+00,1.510902e+00,1.151280e+00,1.040693e+00,2.036063e-01,1.726231e-01,1.512596e-01,1.077281e-02
3.5214,0.3521,49.417134,12.735167,4.714917e-03,18.2956,0,,1.171437e+00,1.056990e+00,1.022966e+00,1.059919e+00,1.097177e+00,1.139721e+00,9.781426e-01,8.870987e-01,2.656724e-01,2.356574e-01,2.063244e-01,2.290256e-02
3.5221,0.3522,32.374575,11.406795,2.633154e-03,7.4734,0,,1.226584e+00,1.179776e+00,1.133120e+00,1.087449e+00,1.068944e+00,1.054755e+00,9.983442e-01,9.379484e-01,2.376904e-01,2.056859e-01,1.770673e-01,1.436164e-02
3.5233,0.3523,15.998587,6.575951,8.435482e-04,2.0523,0,,1.994282e+00,2.156347e+00,2.112980e+00,2.047459e+00,2.010647e+00,1.972753e+00,1.179391e+00,1.085438e+00,1.942893e-01,1.624798e-01,1.372443e-01,9.145073e-03
3.5246,0.3525,49.417134,11.406795,4.018068e-03,17.4073,0,,1.410217e+00,1.256934e+00,1.245287e+00,1.324959e+00,1.380044e+00,1.435677e+00,1.072083e+00,1.011059e+00,2.714449e-01,2.337630e-01,2.141345e-01,2.081264e-02
3.5264,0.3526,42.919343,10.216981,2.765497e-03,11.6173,0,,1.571648e+00,1.417295e+00,1.363669e+00,1.384445e+00,1.414714e+00,1.451200e+00,1.139162e+00,1.029603e+00,2.409185e-01,2.043490e-01,1.821800e-01,1.459784e-02
3.5281,0.3528,15.998587,8.196729,7.216443e-04,1.4085,0,,7.094468e-01,8.671211e-01,8.682908e-01,8.552864e-01,8.458107e-01,8.350130e-01,4.876003e-01,4.520293e-01,8.909372e-02,7.482648e-02,6.343266e-02,4.327041e-03
3.5348,0.3535,56.898660,11.406795,5.316205e-03,26.5180,0,,1.537908e+00,1.376193e+00,1.511204e+00,1.709724e+00,1.794840e+00,1.863848e+00,1.122230e+00,1.015745e+00,3.160258e-01,2.806383e-01,2.455106e-01,3.074873e-02
3.5371,0.3537,42.919343,6.575951,9.181266e-04,5.9923,0,,2.274678e+00,1.973030e+00,1.959555e+00,1.996297e+00,2.011063e+00,2.018206e+00,8.325354e-01,7.233669e-01,8.567768e-02,7.041171e-02,6.051650e-02,3.943476e-03
3.5392,0.3539,9.102982,9.151275,1.246442e-03,1.2399,0,,4.933182e-01,9.123158e-01,9.824769e-01,1.015317e+00,1.024184e+00,1.029757e+00,7.920401e-01,7.545463e-01,2.796920e-01,2.456498e-01,2.165417e-01,1.828551e-02
3.5396,0.3540,86.851137,11.406795,2.373182e-03,18.0694,0,,7.763641e-01,7.935591e-01,9.016019e-01,9.586833e-01,9.679829e-01,9.673987e-01,3.898292e-01,3.427606e-01,7.343789e-02,6.201946e-02,5.471981e-02,4.246567e-03
3.5412,0.3541,56.898660,14.218234,4.931063e-03,19.7332,0,,8.518692e-01,7.641894e-01,7.475114e-01,7.878779e-01,8.205500e-01,8.555356e-01,6.984740e-01,6.304064e-01,1.916790e-01,1.703620e-01,1.577692e-01,1.725091e-02
3.5425,0.3542,24.420531,11.406795,2.456204e-03,5.2584,0,,1.189730e+00,1.209101e+00,1.183406e+00,1.150701e+00,1.133066e+00,1.115335e+00,9.786406e-01,9.428803e-01,2.747240e-01,2.357682e-01,2.111299e-01,1.663108e-02
3.5443,0.3544,24.420531,6.575951,5.390494e-04,2.0018,0,,1.355196e+00,1.321799e+00,1.250390e+00,1.178232e+00,1.145352e+00,1.115289e+00,5.087757e-01,4.453478e-01,5.479839e-02,4.497387e-02,3.779933e-02,2.418042e-03
