sigma_30_lo,N_viable,N_BBN_safe,N_unique_mchi
0.1,157373,121798,20
0.2,157373,121798,20
0.3,157373,121798,20
0.5,157373,121798,20
0.7,137248,104082,20
1.0,116317,86926,19
1.5,94444,69283,19
2.0,79970,57803,19
3.0,60515,42635,18
4.0,46947,32114,18
5.0,35963,24129,18
