v_km_s,BP1_S0,BP1_sigmaT_Maj,BP1_sigmaT_Dir,BP1_Phi_Maj,BP1_Phi_Dir,MAP_S0,MAP_sigmaT_Maj,MAP_sigmaT_Dir,MAP_Phi_Maj,MAP_Phi_Dir
797.2405,2.58674495e+00,1.04583708e-01,1.17878587e-01,2.47337276e+01,2.19441462e+01,6.78165461e+00,3.32114634e-01,3.30300798e-01,2.04196200e+01,2.05317536e+01
817.2686,2.53951087e+00,1.00795507e-01,1.13184287e-01,2.51946833e+01,2.24369561e+01,6.61683066e+00,3.24239824e-01,3.22575015e-01,2.04072115e+01,2.05125330e+01
837.7997,2.49383978e+00,9.71036974e-02,1.08640594e-01,2.56822330e+01,2.29549534e+01,6.45621215e+00,3.16470348e-01,3.14683584e-01,2.04006859e+01,2.05165203e+01
858.8466,2.44967360e+00,9.35089657e-02,1.04244919e-01,2.61972056e+01,2.34992134e+01,6.29970945e+00,3.08811064e-01,3.07162025e-01,2.03998826e+01,2.05094020e+01
880.4223,2.40695663e+00,9.00110233e-02,9.99945550e-02,2.67406874e+01,2.40708770e+01,6.14723540e+00,3.01259712e-01,2.99733378e-01,2.04051028e+01,2.05090119e+01
902.5400,2.36563550e+00,8.66100374e-02,9.59326482e-02,2.73136413e+01,2.46593370e+01,5.99870518e+00,2.93816471e-01,2.92154880e-01,2.04165041e+01,2.05326202e+01
925.2133,2.32565898e+00,8.33057576e-02,9.19701590e-02,2.79171458e+01,2.52871041e+01,5.85403617e+00,2.86479414e-01,2.84932056e-01,2.04344043e+01,2.05453758e+01
948.4562,2.28697797e+00,8.00977368e-02,8.81447463e-02,2.85523420e+01,2.59457094e+01,5.71314780e+00,2.79252955e-01,2.77804285e-01,2.04586834e+01,2.05653696e+01
972.2830,2.24954534e+00,7.69853444e-02,8.44533648e-02,2.92204362e+01,2.66365390e+01,5.57596142e+00,2.72134911e-01,2.70538853e-01,2.04896953e+01,2.06105754e+01
996.7084,2.21331589e+00,7.39680917e-02,8.08929087e-02,2.99225766e+01,2.73610620e+01,5.44240017e+00,2.65125326e-01,2.63618200e-01,2.05276510e+01,2.06450092e+01
1021.7473,2.17824623e+00,7.10444820e-02,7.75015712e-02,3.06603154e+01,2.81058331e+01,5.31238885e+00,2.58222128e-01,2.56794297e-01,2.05729420e+01,2.06873319e+01
1047.4153,2.14429471e+00,6.82136548e-02,7.41983392e-02,3.14349776e+01,2.88994974e+01,5.18585379e+00,2.51426988e-01,2.50068113e-01,2.06256847e+01,2.07377651e+01
