alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
2.820266e-03,4.919656e-05,57.326,18.4570,0.531360,0.493505,0.611748,0.582378,0.365327,0.146855,0.061481
2.845142e-03,4.876643e-05,58.342,18.6198,0.534076,0.496604,0.616277,0.586214,0.367587,0.148072,0.062232
2.870237e-03,4.834005e-05,59.376,18.7840,0.536799,0.499721,0.620829,0.590056,0.369848,0.149290,0.062989
2.895553e-03,4.791741e-05,60.428,18.9497,0.539529,0.502857,0.625405,0.593906,0.372108,0.150510,0.063751
2.921093e-03,4.749846e-05,61.499,19.1168,0.542267,0.506011,0.630006,0.597762,0.374368,0.151732,0.064518
2.946858e-03,4.708317e-05,62.588,19.2854,0.545013,0.509185,0.634629,0.601625,0.376628,0.152956,0.065291
2.972850e-03,4.667152e-05,63.697,19.4555,0.547766,0.512377,0.639277,0.605494,0.378887,0.154181,0.066069
2.999071e-03,4.626346e-05,64.826,19.6271,0.550527,0.515589,0.643948,0.609369,0.381146,0.155407,0.066852
3.025524e-03,4.585897e-05,65.975,19.8003,0.553296,0.518820,0.648644,0.613251,0.383405,0.156635,0.067641
3.052210e-03,4.545802e-05,67.143,19.9749,0.556072,0.522071,0.653362,0.617139,0.385663,0.157864,0.068435
3.079131e-03,4.506057e-05,68.333,20.1511,0.558855,0.525341,0.658105,0.621032,0.387921,0.159095,0.069233
3.106290e-03,4.466660e-05,69.544,20.3288,0.561647,0.528631,0.662871,0.624931,0.390178,0.160326,0.070037
3.133688e-03,4.427607e-05,70.776,20.5081,0.564445,0.531940,0.667661,0.628835,0.392435,0.161559,0.070846
3.161328e-03,4.388896e-05,72.030,20.6890,0.567252,0.535270,0.672475,0.632745,0.394691,0.162794,0.071660
3.189212e-03,4.350523e-05,73.306,20.8715,0.570066,0.538620,0.677312,0.636660,0.396947,0.164029,0.072479
3.217342e-03,4.312485e-05,74.605,21.0556,0.572887,0.541990,0.682172,0.640580,0.399203,0.165265,0.073302
3.245720e-03,4.274781e-05,75.927,21.2413,0.575716,0.545380,0.687057,0.644504,0.401457,0.166503,0.074131
3.274348e-03,4.237405e-05,77.272,21.4287,0.578553,0.548791,0.691965,0.648433,0.403712,0.167742,0.074964
3.303229e-03,4.200357e-05,78.642,21.6177,0.581397,0.552223,0.696896,0.652367,0.405965,0.168981,0.075802
3.332364e-03,4.163633e-05,80.035,21.8083,0.584248,0.555675,0.701851,0.656304,0.408219,0.170222,0.076644
3.361756e-03,4.127229e-05,81.453,22.0007,0.587108,0.559148,0.706829,0.660246,0.410471,0.171464,0.077492
3.391408e-03,4.091144e-05,82.896,22.1947,0.589974,0.562643,0.711830,0.664192,0.412724,0.172706,0.078343
3.421321e-03,4.055375e-05,84.365,22.3905,0.592849,0.566158,0.716855,0.668141,0.414976,0.173950,0.079199
3.451498e-03,4.019918e-05,85.860,22.5880,0.595731,0.569695,0.721904,0.672094,0.417227,0.175194,0.080060
3.481942e-03,3.984771e-05,87.381,22.7872,0.598620,0.573254,0.726975,0.676050,0.419479,0.176440,0.080924
3.512653e-03,3.949932e-05,88.929,22.9882,0.601517,0.576834,0.732070,0.680010,0.421730,0.177686,0.081793
3.543636e-03,3.915397e-05,90.505,23.1910,0.604422,0.580436,0.737188,0.683973,0.423980,0.178934,0.082667
3.574892e-03,3.881164e-05,92.109,23.3955,0.607334,0.584059,0.742329,0.687938,0.426231,0.180182,0.083544
3.606423e-03,3.847230e-05,93.741,23.6019,0.610253,0.587705,0.747494,0.691906,0.428481,0.181431,0.084425
3.638233e-03,3.813593e-05,95.402,23.8101,0.613180,0.591373,0.752681,0.695877,0.430732,0.182681,0.085311
3.670323e-03,3.780250e-05,97.092,24.0201,0.616115,0.595063,0.757891,0.699850,0.432982,0.183932,0.086200
3.702697e-03,3.747199e-05,98.812,24.2319,0.619057,0.598776,0.763125,0.703826,0.435233,0.185183,0.087094
3.735356e-03,3.714436e-05,100.563,24.4457,0.622007,0.602511,0.768381,0.707803,0.437484,0.186436,0.087991
