alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
9.068313e-03,1.530024e-05,592.691,59.3467,0.957983,1.115403,1.404758,1.096594,0.692088,0.290665,0.181950
9.148298e-03,1.516647e-05,603.192,59.8702,0.961677,1.121950,1.411955,1.100180,0.695074,0.290803,0.182587
9.228989e-03,1.503387e-05,613.880,60.3982,0.965379,1.128526,1.419165,1.103761,0.698067,0.290906,0.183208
9.310391e-03,1.490242e-05,624.757,60.9310,0.969087,1.135132,1.426390,1.107336,0.701067,0.290975,0.183812
9.392512e-03,1.477213e-05,635.827,61.4684,0.972803,1.141767,1.433629,1.110906,0.704072,0.291009,0.184400
9.475356e-03,1.464297e-05,647.092,62.0106,0.976525,1.148432,1.440882,1.114471,0.707084,0.291009,0.184970
9.558932e-03,1.451495e-05,658.558,62.5575,0.980255,1.155126,1.448148,1.118031,0.710100,0.290974,0.185523
9.643244e-03,1.438804e-05,670.226,63.1093,0.983991,1.161849,1.455429,1.121586,0.713122,0.290904,0.186058
9.728300e-03,1.426224e-05,682.102,63.6659,0.987734,1.168603,1.462723,1.125135,0.716148,0.290800,0.186575
9.814107e-03,1.413755e-05,694.187,64.2275,0.991485,1.175385,1.470031,1.128680,0.719178,0.290661,0.187075
9.900670e-03,1.401394e-05,706.487,64.7940,0.995242,1.182197,1.477352,1.132221,0.722212,0.290487,0.187556
9.987997e-03,1.389141e-05,719.005,65.3655,0.999006,1.189038,1.484686,1.135756,0.725248,0.290279,0.188019
1.007609e-02,1.376996e-05,731.745,65.9420,1.002777,1.195908,1.492034,1.139287,0.728287,0.290036,0.188463
1.016497e-02,1.364957e-05,744.710,66.5237,1.006555,1.202807,1.499395,1.142814,0.731328,0.289759,0.188889
1.025463e-02,1.353023e-05,757.905,67.1104,1.010341,1.209736,1.506769,1.146336,0.734370,0.289449,0.189296
1.034507e-02,1.341193e-05,771.334,67.7024,1.014132,1.216693,1.514156,1.149854,0.737413,0.289104,0.189684
1.043632e-02,1.329467e-05,785.001,68.2995,1.017931,1.223680,1.521555,1.153368,0.740456,0.288726,0.190053
1.052837e-02,1.317843e-05,798.910,68.9019,1.021737,1.230695,1.528968,1.156877,0.743499,0.288314,0.190403
1.062124e-02,1.306321e-05,813.065,69.5097,1.025550,1.237740,1.536392,1.160383,0.746540,0.287870,0.190735
1.071492e-02,1.294899e-05,827.471,70.1228,1.029369,1.244813,1.543830,1.163885,0.749580,0.287394,0.191047
1.080943e-02,1.283578e-05,842.133,70.7413,1.033195,1.251915,1.551279,1.167383,0.752618,0.286885,0.191340
1.090477e-02,1.272355e-05,857.054,71.3652,1.037029,1.259046,1.558741,1.170878,0.755653,0.286345,0.191614
1.100095e-02,1.261231e-05,872.239,71.9947,1.040869,1.266206,1.566215,1.174369,0.758683,0.285774,0.191870
1.109798e-02,1.250204e-05,887.694,72.6297,1.044716,1.273394,1.573701,1.177857,0.761710,0.285172,0.192106
1.119587e-02,1.239273e-05,903.423,73.2703,1.048570,1.280611,1.581199,1.181342,0.764731,0.284540,0.192324
1.129462e-02,1.228438e-05,919.430,73.9166,1.052430,1.287856,1.588708,1.184823,0.767747,0.283879,0.192522
1.139424e-02,1.217697e-05,935.721,74.5685,1.056298,1.295130,1.596229,1.188302,0.770756,0.283189,0.192702
1.149474e-02,1.207051e-05,952.300,75.2263,1.060172,1.302432,1.603762,1.191778,0.773757,0.282470,0.192864
1.159613e-02,1.196497e-05,969.173,75.8898,1.064053,1.309763,1.611306,1.195251,0.776751,0.281724,0.193006
1.169841e-02,1.186036e-05,986.345,76.5591,1.067941,1.317121,1.618861,1.198721,0.779736,0.280951,0.193131
1.180160e-02,1.175666e-05,1003.822,77.2344,1.071836,1.324508,1.626428,1.202190,0.782710,0.280152,0.193237
1.190569e-02,1.165387e-05,1021.608,77.9156,1.075737,1.331923,1.634005,1.205655,0.785675,0.279327,0.193325
1.201070e-02,1.155198e-05,1039.709,78.6029,1.079646,1.339366,1.641593,1.209119,0.788628,0.278478,0.193394
1.211664e-02,1.145098e-05,1058.131,79.2962,1.083561,1.346837,1.649192,1.212581,0.791569,0.277604,0.193446
1.222351e-02,1.135086e-05,1076.879,79.9956,1.087483,1.354336,1.656802,1.216041,0.794497,0.276707,0.193480
1.233133e-02,1.125162e-05,1095.960,80.7012,1.091411,1.361863,1.664422,1.219499,0.797411,0.275788,0.193496
1.244009e-02,1.115325e-05,1115.379,81.4130,1.095347,1.369417,1.672053,1.222956,0.800310,0.274847,0.193494
1.254982e-02,1.105573e-05,1135.141,82.1311,1.099289,1.376999,1.679693,1.226411,0.803194,0.273885,0.193475
1.266051e-02,1.095907e-05,1155.254,82.8555,1.103238,1.384609,1.687344,1.229865,0.806061,0.272903,0.193438
1.277218e-02,1.086325e-05,1175.723,83.5863,1.107193,1.392246,1.695005,1.233317,0.808911,0.271901,0.193384
1.288483e-02,1.076827e-05,1196.555,84.3236,1.111156,1.399910,1.702676,1.236769,0.811742,0.270881,0.193312
1.299848e-02,1.067412e-05,1217.756,85.0673,1.115125,1.407602,1.710356,1.240220,0.814555,0.269843,0.193223
1.311313e-02,1.058080e-05,1239.333,85.8176,1.119100,1.415321,1.718046,1.243671,0.817347,0.268788,0.193117
1.322879e-02,1.048829e-05,1261.292,86.5746,1.123083,1.423068,1.725746,1.247121,0.820118,0.267717,0.192993
1.334548e-02,1.039659e-05,1283.640,87.3382,1.127072,1.430841,1.733454,1.250571,0.822867,0.266630,0.192852
1.346319e-02,1.030569e-05,1306.384,88.1085,1.131068,1.438642,1.741172,1.254020,0.825593,0.265529,0.192693
1.358194e-02,1.021558e-05,1329.531,88.8857,1.135070,1.446469,1.748899,1.257470,0.828295,0.264414,0.192517
1.370173e-02,1.012627e-05,1353.088,89.6697,1.139079,1.454323,1.756635,1.260919,0.830972,0.263286,0.192324
1.382259e-02,1.003773e-05,1377.063,90.4606,1.143095,1.462204,1.764380,1.264369,0.833623,0.262145,0.192112
1.394450e-02,9.949970e-06,1401.462,91.2585,1.147117,1.470112,1.772133,1.267820,0.836247,0.260993,0.191883
1.406750e-02,9.862976e-06,1426.294,92.0634,1.151147,1.478046,1.779895,1.271271,0.838844,0.259830,0.191635
1.419158e-02,9.776742e-06,1451.565,92.8754,1.155182,1.486007,1.787664,1.274723,0.841412,0.258656,0.191369
1.431675e-02,9.691262e-06,1477.285,93.6946,1.159225,1.493994,1.795443,1.278176,0.843950,0.257473,0.191085
1.444303e-02,9.606530e-06,1503.460,94.5210,1.163273,1.502008,1.803229,1.281630,0.846457,0.256281,0.190782
1.457042e-02,9.522538e-06,1530.098,95.3547,1.167329,1.510048,1.811023,1.285085,0.848933,0.255080,0.190459
1.469894e-02,9.439281e-06,1557.209,96.1958,1.171391,1.518114,1.818825,1.288542,0.851375,0.253871,0.190118
1.482859e-02,9.356752e-06,1584.801,97.0443,1.175460,1.526206,1.826634,1.292001,0.853784,0.252656,0.189756
1.495938e-02,9.274944e-06,1612.881,97.9002,1.179535,1.534324,1.834451,1.295461,0.856159,0.251433,0.189375
1.509132e-02,9.193852e-06,1641.458,98.7637,1.183617,1.542468,1.842275,1.298924,0.858497,0.250204,0.188972
1.522443e-02,9.113469e-06,1670.542,99.6349,1.187705,1.550638,1.850106,1.302389,0.860799,0.248969,0.188549
1.535872e-02,9.033788e-06,1700.142,100.5137,1.191800,1.558834,1.857944,1.305856,0.863064,0.247728,0.188105
1.549419e-02,8.954804e-06,1730.265,101.4002,1.195902,1.567055,1.865789,1.309325,0.865289,0.246482,0.187638
1.563085e-02,8.876511e-06,1760.923,102.2946,1.200010,1.575302,1.873641,1.312798,0.867476,0.245232,0.187150
1.576872e-02,8.798902e-06,1792.123,103.1969,1.204125,1.583575,1.881499,1.316273,0.869621,0.243977,0.186638
1.590780e-02,8.721971e-06,1823.877,104.1071,1.208246,1.591873,1.889364,1.319751,0.871725,0.242718,0.186103
1.604811e-02,8.645714e-06,1856.193,105.0253,1.212373,1.600196,1.897235,1.323232,0.873787,0.241455,0.185545
1.618966e-02,8.570123e-06,1889.082,105.9517,1.216507,1.608544,1.905112,1.326717,0.875805,0.240189,0.184962
1.633246e-02,8.495193e-06,1922.553,106.8862,1.220648,1.616918,1.912994,1.330205,0.877778,0.238918,0.184354
1.647652e-02,8.420918e-06,1956.618,107.8290,1.224795,1.625317,1.920883,1.333697,0.879707,0.237645,0.183721
1.662185e-02,8.347292e-06,1991.286,108.7801,1.228949,1.633740,1.928777,1.337193,0.881589,0.236368,0.183063
1.676845e-02,8.274310e-06,2026.568,109.7395,1.233109,1.642189,1.936676,1.340694,0.883424,0.235087,0.182378
1.691636e-02,8.201967e-06,2062.476,110.7075,1.237275,1.650662,1.944581,1.344198,0.885211,0.233804,0.181667
1.706556e-02,8.130256e-06,2099.019,111.6840,1.241448,1.659161,1.952491,1.347707,0.886949,0.232517,0.180929
1.721609e-02,8.059171e-06,2136.211,112.6690,1.245628,1.667683,1.960406,1.351220,0.888637,0.231227,0.180164
1.736794e-02,7.988709e-06,2174.061,113.6628,1.249813,1.676231,1.968325,1.354738,0.890275,0.229934,0.179371
1.752113e-02,7.918862e-06,2212.582,114.6654,1.254006,1.684803,1.976249,1.358261,0.891861,0.228638,0.178551
1.767567e-02,7.849626e-06,2251.785,115.6767,1.258204,1.693399,1.984178,1.361789,0.893394,0.227338,0.177702
1.783157e-02,7.780995e-06,2291.683,116.6970,1.262409,1.702020,1.992111,1.365323,0.894874,0.226034,0.176825
1.798885e-02,7.712965e-06,2332.288,117.7263,1.266621,1.710665,2.000047,1.368861,0.896301,0.224727,0.175920
1.814752e-02,7.645529e-06,2373.612,118.7647,1.270839,1.719334,2.007988,1.372406,0.897672,0.223416,0.174986
1.830759e-02,7.578683e-06,2415.669,119.8123,1.275063,1.728027,2.015933,1.375956,0.898988,0.222101,0.174024
1.846907e-02,7.512421e-06,2458.470,120.8690,1.279293,1.736744,2.023881,1.379512,0.900247,0.220782,0.173034
1.863197e-02,7.446739e-06,2502.031,121.9351,1.283530,1.745485,2.031833,1.383075,0.901449,0.219459,0.172016
1.879631e-02,7.381631e-06,2546.362,123.0106,1.287774,1.754250,2.039787,1.386643,0.902594,0.218131,0.170970
1.896210e-02,7.317092e-06,2591.480,124.0956,1.292023,1.763039,2.047745,1.390218,0.903680,0.216799,0.169897
1.912935e-02,7.253117e-06,2637.397,125.1902,1.296279,1.771852,2.055706,1.393799,0.904706,0.215462,0.168797
1.929807e-02,7.189702e-06,2684.127,126.2944,1.300541,1.780688,2.063669,1.397388,0.905673,0.214119,0.167670
1.946829e-02,7.126841e-06,2731.685,127.4084,1.304810,1.789548,2.071635,1.400983,0.906579,0.212772,0.166518
1.964000e-02,7.064530e-06,2780.086,128.5321,1.309085,1.798431,2.079604,1.404585,0.907424,0.211419,0.165341
1.981323e-02,7.002764e-06,2829.345,129.6658,1.313366,1.807338,2.087575,1.408194,0.908207,0.210061,0.164139
1.998799e-02,6.941537e-06,2879.476,130.8095,1.317653,1.816268,2.095547,1.411811,0.908928,0.208698,0.162915
2.016429e-02,6.880846e-06,2930.496,131.9633,1.321947,1.825221,2.103522,1.415435,0.909586,0.207329,0.161668
2.034215e-02,6.820686e-06,2982.420,133.1272,1.326247,1.834197,2.111498,1.419067,0.910181,0.205954,0.160400
2.052157e-02,6.761051e-06,3035.263,134.3015,1.330553,1.843197,2.119476,1.422707,0.910712,0.204574,0.159112
2.070258e-02,6.701938e-06,3089.043,135.4860,1.334866,1.852220,2.127455,1.426354,0.911178,0.203188,0.157806
2.088518e-02,6.643342e-06,3143.776,136.6811,1.339185,1.861266,2.135435,1.430010,0.911579,0.201796,0.156482
2.106939e-02,6.585258e-06,3199.479,137.8866,1.343510,1.870334,2.143416,1.433674,0.911916,0.200399,0.155143
2.125523e-02,6.527682e-06,3256.168,139.1028,1.347841,1.879426,2.151398,1.437346,0.912186,0.198997,0.153790
2.144271e-02,6.470610e-06,3313.862,140.3298,1.352178,1.888540,2.159380,1.441027,0.912391,0.197590,0.152424
2.163184e-02,6.414036e-06,3372.578,141.5675,1.356522,1.897677,2.167363,1.444716,0.912529,0.196178,0.151048
2.182264e-02,6.357957e-06,3432.335,142.8162,1.360872,1.906837,2.175347,1.448414,0.912601,0.194762,0.149663
2.201512e-02,6.302368e-06,3493.150,144.0759,1.365228,1.916019,2.183330,1.452121,0.912605,0.193341,0.148271
2.220930e-02,6.247266e-06,3555.043,145.3466,1.369590,1.925224,2.191313,1.455837,0.912543,0.191917,0.146874
2.240519e-02,6.192645e-06,3618.033,146.6286,1.373958,1.934452,2.199296,1.459562,0.912413,0.190490,0.145473
2.260281e-02,6.138501e-06,3682.139,147.9219,1.378332,1.943702,2.207279,1.463296,0.912216,0.189060,0.144072
2.280218e-02,6.084831e-06,3747.380,149.2267,1.382713,1.952974,2.215261,1.467040,0.911951,0.187629,0.142671
2.300330e-02,6.031631e-06,3813.778,150.5429,1.387100,1.962269,2.223242,1.470793,0.911618,0.186196,0.141274
2.320619e-02,5.978895e-06,3881.352,151.8707,1.391493,1.971586,2.231222,1.474556,0.911217,0.184763,0.139881
2.341088e-02,5.926621e-06,3950.123,153.2103,1.395892,1.980925,2.239201,1.478328,0.910748,0.183331,0.138495
2.361737e-02,5.874803e-06,4020.113,154.5616,1.400297,1.990286,2.247179,1.482110,0.910211,0.181900,0.137118
2.382568e-02,5.823439e-06,4091.342,155.9249,1.404708,1.999669,2.255155,1.485902,0.909606,0.180472,0.135753
2.403583e-02,5.772523e-06,4163.834,157.3002,1.409125,2.009075,2.263129,1.489704,0.908933,0.179048,0.134400
2.424783e-02,5.722053e-06,4237.611,158.6876,1.413549,2.018502,2.271102,1.493516,0.908192,0.177629,0.133062
2.446171e-02,5.672024e-06,4312.694,160.0873,1.417978,2.027952,2.279072,1.497338,0.907383,0.176216,0.131741
2.467747e-02,5.622433e-06,4389.108,161.4993,1.422413,2.037423,2.287040,1.501171,0.906506,0.174811,0.130439
2.489513e-02,5.573275e-06,4466.876,162.9238,1.426855,2.046916,2.295006,1.505014,0.905562,0.173415,0.129157
2.511471e-02,5.524547e-06,4546.022,164.3608,1.431302,2.056431,2.302970,1.508867,0.904551,0.172030,0.127898
2.533623e-02,5.476245e-06,4626.570,165.8105,1.435756,2.065968,2.310930,1.512730,0.903472,0.170657,0.126662
2.555970e-02,5.428365e-06,4708.545,167.2730,1.440216,2.075527,2.318888,1.516604,0.902327,0.169299,0.125451
2.578515e-02,5.380904e-06,4791.973,168.7484,1.444681,2.085107,2.326842,1.520489,0.901115,0.167956,0.124267
2.601258e-02,5.333858e-06,4876.879,170.2368,1.449153,2.094709,2.334794,1.524385,0.899837,0.166631,0.123111
2.624202e-02,5.287223e-06,4963.289,171.7384,1.453630,2.104332,2.342741,1.528291,0.898494,0.165326,0.121984
2.647348e-02,5.240996e-06,5051.231,173.2532,1.458114,2.113977,2.350686,1.532208,0.897084,0.164042,0.120887
2.670698e-02,5.195173e-06,5140.730,174.7813,1.462604,2.123644,2.358626,1.536135,0.895610,0.162782,0.119822
2.694255e-02,5.149751e-06,5231.816,176.3229,1.467099,2.133332,2.366562,1.540074,0.894071,0.161548,0.118788
2.718019e-02,5.104726e-06,5324.515,177.8781,1.471601,2.143041,2.374495,1.544023,0.892469,0.160342,0.117787
2.741993e-02,5.060094e-06,5418.857,179.4471,1.476108,2.152772,2.382423,1.547983,0.890802,0.159166,0.116819
2.766178e-02,5.015853e-06,5514.870,181.0299,1.480621,2.162525,2.390346,1.551955,0.889073,0.158022,0.115885
2.790576e-02,4.971998e-06,5612.585,182.6266,1.485141,2.172298,2.398265,1.555937,0.887282,0.156914,0.114985
2.815190e-02,4.928527e-06,5712.031,184.2374,1.489666,2.182093,2.406179,1.559930,0.885429,0.155842,0.114120
2.840021e-02,4.885436e-06,5813.238,185.8624,1.494197,2.191909,2.414088,1.563934,0.883515,0.154810,0.113289
2.865070e-02,4.842722e-06,5916.240,187.5018,1.498734,2.201747,2.421992,1.567949,0.881540,0.153820,0.112493
2.890341e-02,4.800381e-06,6021.066,189.1556,1.503277,2.211605,2.429891,1.571975,0.879506,0.152874,0.111730
2.915835e-02,4.758411e-06,6127.749,190.8240,1.507825,2.221485,2.437784,1.576012,0.877413,0.151974,0.111003
2.941553e-02,4.716807e-06,6236.323,192.5071,1.512380,2.231386,2.445672,1.580060,0.875262,0.151124,0.110309
2.967499e-02,4.675567e-06,6346.820,194.2051,1.516940,2.241308,2.453554,1.584119,0.873054,0.150325,0.109649
2.993673e-02,4.634688e-06,6459.276,195.9181,1.521507,2.251252,2.461429,1.588189,0.870790,0.149580,0.109022
3.020078e-02,4.594166e-06,6573.724,197.6461,1.526079,2.261216,2.469299,1.592269,0.868470,0.148890,0.108429
3.046716e-02,4.553999e-06,6690.199,199.3894,1.530657,2.271201,2.477163,1.596361,0.866095,0.148260,0.107868
3.073589e-02,4.514182e-06,6808.739,201.1481,1.535241,2.281208,2.485020,1.600463,0.863667,0.147689,0.107339
3.100699e-02,4.474714e-06,6929.379,202.9223,1.539830,2.291235,2.492870,1.604576,0.861186,0.147182,0.106841
3.128048e-02,4.435591e-06,7052.156,204.7121,1.544426,2.301283,2.500714,1.608700,0.858653,0.146740,0.106375
3.155638e-02,4.396810e-06,7177.109,206.5177,1.549027,2.311353,2.508551,1.612834,0.856070,0.146364,0.105939
3.183472e-02,4.358368e-06,7304.275,208.3393,1.553634,2.321443,2.516381,1.616979,0.853436,0.146058,0.105534
3.211551e-02,4.320262e-06,7433.695,210.1769,1.558246,2.331554,2.524204,1.621134,0.850755,0.145823,0.105158
3.239878e-02,4.282489e-06,7565.408,212.0307,1.562865,2.341686,2.532020,1.625300,0.848026,0.133909,0.104813
3.268454e-02,4.245046e-06,7699.455,213.9009,1.567489,2.351839,2.539828,1.629476,0.845250,0.134463,0.104496
3.297283e-02,4.207931e-06,7835.877,215.7875,1.572119,2.362013,2.547628,1.633662,0.842430,0.135083,0.104209
3.326366e-02,4.171141e-06,7974.716,217.6908,1.576755,2.372207,2.555421,1.637858,0.839565,0.135771,0.103951
3.355705e-02,4.134672e-06,8116.015,219.6109,1.581396,2.382423,2.563206,1.642064,0.836657,0.145768,0.103722
3.385304e-02,4.098521e-06,8259.817,221.5480,1.586043,2.392659,2.570983,1.646280,0.833708,0.145992,0.103522
3.415163e-02,4.062687e-06,8406.168,223.5021,1.590696,2.402916,2.578751,1.650506,0.830718,0.146297,0.103352
3.445286e-02,4.027167e-06,8555.111,225.4734,1.595355,2.413194,2.586512,1.654742,0.827689,0.146683,0.103212
3.475674e-02,3.991956e-06,8706.694,227.4622,1.600019,2.423493,2.594264,1.658986,0.824622,0.147152,0.103102
3.506331e-02,3.957054e-06,8860.963,229.4685,1.604689,2.433812,2.602008,1.663240,0.821519,0.147705,0.103023
3.537258e-02,3.922457e-06,9017.964,231.4924,1.609364,2.444152,2.609742,1.667504,0.818380,0.148340,0.102977
3.568457e-02,3.888162e-06,9177.748,233.5343,1.614046,2.454513,2.617468,1.671776,0.815207,0.149060,0.102962
3.599932e-02,3.854167e-06,9340.363,235.5941,1.618733,2.464894,2.625186,1.676057,0.812001,0.149863,0.102982
3.631684e-02,3.820470e-06,9505.859,237.6721,1.623425,2.475296,2.632894,1.680346,0.808764,0.150750,0.103036
3.663717e-02,3.787067e-06,9674.287,239.7685,1.628123,2.485719,2.640593,1.684644,0.805497,0.151719,0.095464
3.696032e-02,3.753956e-06,9845.700,241.8833,1.632827,2.496163,2.648283,1.688951,0.802202,0.152771,0.096346
3.728632e-02,3.721134e-06,10020.150,244.0168,1.637536,2.506627,2.655963,1.693265,0.798879,0.153905,0.097238
3.761520e-02,3.688600e-06,10197.690,246.1691,1.642251,2.517112,2.663634,1.697587,0.795530,0.155120,0.098139
3.794697e-02,3.656350e-06,10378.377,248.3403,1.646972,2.527618,2.671295,1.701917,0.792157,0.156414,0.099048
3.828168e-02,3.624381e-06,10562.265,250.5308,1.651698,2.538144,2.678947,1.706254,0.788761,0.157786,0.099965
3.861933e-02,3.592693e-06,10749.411,252.7405,1.656429,2.548691,2.686588,1.710598,0.785343,0.159234,0.100891
3.895997e-02,3.561281e-06,10939.873,254.9698,1.661167,2.559258,2.694220,1.714949,0.781906,0.160757,0.104886
3.930360e-02,3.530144e-06,11133.710,257.2187,1.665909,2.569846,2.701842,1.719307,0.778449,0.162353,0.105316
3.965027e-02,3.499280e-06,11330.981,259.4874,1.670658,2.580455,2.709454,1.723671,0.774975,0.164019,0.105796
4.000000e-02,3.468685e-06,11531.748,261.7762,1.675412,2.591084,2.717055,1.728041,0.771486,0.165753,0.106326
