run_id,timestamp_start,script,stage,params_json,data_source,output_files,n_viable,status,duration_sec,git_hash,notes
23,2026-03-27 21:29:53,The_derivative_of_Lagernizan_SIDM/test_T8_transfer_vs_elastic.py,T8 — Transfer vs Elastic,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":9}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T8_transfer_vs_elastic_2026_03_27_r023.csv,,OK,0.0,4ef9a48,"36 measurements, 18 with |Δ|>5%. RMS deviation = 8.57%"
24,2026-03-27 21:30:45,The_derivative_of_Lagernizan_SIDM/lagrangian_euler_lagrange.py,EL Pipeline — Layers 1–5,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_obs_velocities"":13}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\EL_pipeline_vs_v22_2026_03_27_r024.csv,,OK,0.0,4ef9a48,52/52 PASS. EL chain matches v22.
25,2026-03-27 21:30:50,The_derivative_of_Lagernizan_SIDM/test_T6_annihilation_relic.py,T6 — Annihilation Convention,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T6_annihilation_relic_2026_03_27_r025.csv,,OK,0.01,4ef9a48,Winner: α = y²/(4π). Tested 4 BPs × 3 conventions.
26,2026-03-27 21:31:35,The_derivative_of_Lagernizan_SIDM/test_T4_majorana_weights.py,T4 — Majorana Weights,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":5}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T4_majorana_weights_2026_03_27_r026.csv,,OK,0.01,4ef9a48,20/20 PASS. w_ℓ derived from Pauli exclusion.
27,2026-03-27 21:33:25,The_derivative_of_Lagernizan_SIDM/test_T8_transfer_vs_elastic.py,T8 — Transfer vs Elastic,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":9}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T8_transfer_vs_elastic_2026_03_27_r027.csv,,OK,0.0,4ef9a48,"36 measurements, 18 with |Δ|>5%. RMS deviation = 8.57%"
28,2026-03-27 21:37:15,The_derivative_of_Lagernizan_SIDM/test_T9_majorana_vs_dirac.py,T9 — Majorana vs Dirac R(v),"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":48}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T9_majorana_vs_dirac_2026_03_27_r028.csv,,OK,0.02,4ef9a48,"R(v) range=[1.000, 2.181], mean=1.733. 4 BPs × 48 velocities."
29,2026-03-27 21:37:17,The_derivative_of_Lagernizan_SIDM/test_T7_boltzmann_all_bps.py,T7 — Boltzmann All BPs,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP"",""MAP_relic""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T7_boltzmann_all_bps_2026_03_27_r029.csv,,OK,0.01,4ef9a48,3/5 BPs within 20% of Ωh²=0.12. Max p-wave correction: 31.34%.
30,2026-03-27 21:40:43,The_derivative_of_Lagernizan_SIDM/test_T9_majorana_vs_dirac.py,T9 — Majorana vs Dirac R(v),"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":48}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T9_majorana_vs_dirac_2026_03_27_r030.csv,,OK,0.0,4ef9a48,"R(v) range=[1.000, 2.181], mean=1.733. 4 BPs × 48 velocities."
31,2026-03-27 21:40:45,The_derivative_of_Lagernizan_SIDM/test_T7_boltzmann_all_bps.py,T7 — Boltzmann All BPs,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP"",""MAP_relic""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T7_boltzmann_all_bps_2026_03_27_r031.csv,,OK,0.01,4ef9a48,3/5 BPs within 20% of Ωh²=0.12. Max p-wave correction: 31.34%.
20,2026-03-27 21:27:53,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[1,2,3,4,5,6,7,8,9,10],""force"":true}",docs/execution_pipeline.csv,,,FAILED,1164.54,4ef9a48,"TimeoutExpired: Command '['C:\\Users\\omerp\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe', 'C:\\Users\\omerp\\source\\omer_mind\\Secluded-Majorana-SIDM\\The_derivative_of_Lagernizan_SIDM\\test_T10_dirac_mimicry.py']' timed out after 600 seconds"
22,2026-03-27 21:28:37,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[1,2,3,4,5,6,7,8,9,10],""force"":true}",docs/execution_pipeline.csv,,,FAILED,1327.98,4ef9a48,"TimeoutExpired: Command '['C:\\Users\\omerp\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe', 'C:\\Users\\omerp\\source\\omer_mind\\Secluded-Majorana-SIDM\\The_derivative_of_Lagernizan_SIDM\\test_T10_dirac_mimicry.py']' timed out after 600 seconds"
32,2026-03-27 21:55:00,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[8,9,10],""force"":true}",docs/execution_pipeline.csv,,,FAILED,1800.03,4ef9a48,"TimeoutExpired: Command '['C:\\Users\\omerp\\AppData\\Local\\Python\\pythoncore-3.14-64\\python.exe', 'C:\\Users\\omerp\\source\\omer_mind\\Secluded-Majorana-SIDM\\The_derivative_of_Lagernizan_SIDM\\test_T10_dirac_mimicry.py']' timed out after 1800 seconds"
33,2026-03-27 22:39:04,The_derivative_of_Lagernizan_SIDM/test_T10_dirac_mimicry.py,T10 — Dirac Mimicry,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":5}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T10_dirac_mimicry_2026_03_27_r033.csv,,OK,0.0,4ef9a48,Distinguishable: 1/4. Degenerate: 3/4.
34,2026-03-27 22:41:58,The_derivative_of_Lagernizan_SIDM/test_T11_thermal_averaging.py,T11 — Thermal Averaging,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""halo_types"":[""dwarf"",""LSB"",""MW-size"",""group"",""cluster""]}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T11_thermal_averaging_2026_03_27_r034.csv,,OK,0.01,4ef9a48,"⟨R⟩_MB range=[1.001, 2.036], mean=1.692. 4 BPs × 5 halo types."
35,2026-03-27 22:42:17,The_derivative_of_Lagernizan_SIDM/test_T12_resonance_map.py,T12 — Resonance Map,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""n_velocities"":40}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T12_resonance_map_2026_03_27_r035.csv,,OK,0.01,4ef9a48,"R range: [1.000, 2.187]. Resonances: even=37, odd=25."
33,2026-03-27 22:38:08,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[8,9,10],""force"":true}",docs/execution_pipeline.csv,,,OK,249.79,4ef9a48,"pass=3, fail=0, skip=0, elapsed=249.8s"
36,2026-03-28 01:24:19,The_derivative_of_Lagernizan_SIDM/test_T6_annihilation_relic.py,T6 — Annihilation Convention,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T6_annihilation_relic_2026_03_28_r036.csv,,OK,0.0,4ef9a48,Winner: α = y²/(4π). Tested 4 BPs × 3 conventions.
37,2026-03-28 01:24:21,The_derivative_of_Lagernizan_SIDM/test_T7_boltzmann_all_bps.py,T7 — Boltzmann All BPs,"{""benchmarks"":[""BP1"",""BP9"",""BP16"",""MAP"",""MAP_relic""],""omega_target"":0.12}",global_config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_derivative_of_Lagernizan_SIDM\data\archive\T7_boltzmann_all_bps_2026_03_28_r037.csv,,OK,0.01,4ef9a48,3/5 BPs within 20% of Ωh²=0.12. Max p-wave correction: 30.81%.
36,2026-03-28 01:24:14,The_derivative_of_Lagernizan_SIDM/run_pipeline.py,Pipeline Run,"{""steps"":[3,7],""force"":false}",docs/execution_pipeline.csv,,,OK,6.88,4ef9a48,"pass=2, fail=0, skip=0, elapsed=6.9s"
38,2026-03-28 01:34:41,The_Lagernizant_integral_SIDM/test_physics_checks.py,Physics Checks 1–6,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""checks"":[""relic"",""A4"",""BBN"",""Neff"",""Sommerfeld"",""RG""]}",GC + data/config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\physics_checks_2026_03_28_r038.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\physics_checks_2026_03_28_r038.png,,OK,1.22,4ef9a48,6 physics checks completed. All from GC + local config.
39,2026-03-28 05:54:26,The_Lagernizant_integral_SIDM/test_physics_checks.py,Physics Checks 1–6,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""checks"":[""relic"",""A4"",""BBN"",""Neff"",""Sommerfeld"",""RG""]}",GC + data/config.json,,,FAILED,0.5,4ef9a48,AttributeError: module 'numpy' has no attribute 'trapz'
40,2026-03-28 05:54:42,The_Lagernizant_integral_SIDM/test_physics_checks.py,Physics Checks 1–6,"{""benchmarks"":[""BP1"",""MAP"",""MAP_relic""],""checks"":[""relic"",""A4"",""BBN"",""Neff"",""Sommerfeld"",""RG""]}",GC + data/config.json,C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\physics_checks_2026_03_28_r040.csv | C:\Users\omerp\source\omer_mind\Secluded-Majorana-SIDM\The_Lagernizant_integral_SIDM\data\archive\physics_checks_2026_03_28_r040.png,,OK,1.25,4ef9a48,6 physics checks completed. All from GC + local config.
