chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1100,sigma_m_1200,sigma_m_1500,sigma_m_4700
2.8739,0.2874,86.851137,8.196729,2.207188e-03,23.3870,0,,1.638223e+00,2.190787e+00,2.298759e+00,2.223053e+00,2.151425e+00,2.078365e+00,6.784643e-01,5.901608e-01,1.068969e-01,9.291638e-02,6.329370e-02,6.925219e-03
2.9188,0.2919,86.851137,8.196729,2.115222e-03,22.4125,0,,1.600930e+00,2.117675e+00,2.225801e+00,2.156819e+00,2.089353e+00,2.019814e+00,6.570140e-01,5.713533e-01,9.983831e-02,8.659944e-02,5.872962e-02,6.367936e-03
2.9258,0.2926,86.851137,8.196729,2.104496e-03,22.2989,0,,1.596511e+00,2.109053e+00,2.217165e+00,2.148953e+00,2.081968e+00,2.012840e+00,6.544621e-01,5.691101e-01,9.901983e-02,8.586858e-02,5.820406e-02,6.304399e-03
2.9289,0.2929,86.851137,8.196729,2.100021e-03,22.2515,0,,1.594662e+00,2.105450e+00,2.213554e+00,2.145661e+00,2.078877e+00,2.009920e+00,6.533940e-01,5.681709e-01,9.867860e-02,8.556399e-02,5.798518e-02,6.277977e-03
2.9291,0.2929,100.000000,8.196729,2.225875e-03,27.1557,0,,1.534305e+00,2.209222e+00,2.185377e+00,2.025356e+00,1.928549e+00,1.830179e+00,5.709022e-01,4.922427e-01,9.443391e-02,8.174225e-02,5.554022e-02,5.716917e-03
2.9351,0.2935,86.851137,10.216981,2.805805e-03,23.8512,0,,1.106254e+00,1.300595e+00,1.461097e+00,1.501419e+00,1.490265e+00,1.465543e+00,5.197065e-01,4.521864e-01,9.968876e-02,8.844167e-02,6.140662e-02,7.368417e-03
2.9401,0.2940,100.000000,8.196729,2.214065e-03,27.0116,0,,1.529713e+00,2.200547e+00,2.177533e+00,2.018684e+00,1.922445e+00,1.824599e+00,5.687180e-01,4.903836e-01,9.363938e-02,8.103326e-02,5.502694e-02,5.657388e-03
2.9423,0.2942,100.000000,10.216981,3.074435e-03,30.0914,0,,1.055660e+00,1.444318e+00,1.540622e+00,1.503963e+00,1.459603e+00,1.406397e+00,4.957585e-01,4.342762e-01,9.681025e-02,8.614575e-02,6.169002e-02,7.636422e-03
2.9497,0.2950,86.851137,9.151275,2.301754e-03,21.8450,0,,1.289571e+00,1.593647e+00,1.737365e+00,1.737419e+00,1.705220e+00,1.660524e+00,5.351747e-01,5.148472e-01,9.212112e-02,7.976491e-02,5.423368e-02,6.231933e-03
2.9539,0.2954,100.000000,9.151275,2.485439e-03,27.1595,0,,1.232223e+00,1.730663e+00,1.783151e+00,1.696274e+00,1.636115e+00,1.567143e+00,5.072184e-01,4.562390e-01,9.090948e-02,7.735152e-02,5.381512e-02,6.010479e-03
2.9555,0.2955,100.000000,8.196729,2.198153e-03,26.8174,0,,1.523506e+00,2.188816e+00,2.166913e+00,2.009642e+00,1.914169e+00,1.817030e+00,5.657602e-01,4.878634e-01,9.257035e-02,8.007987e-02,5.433762e-02,5.577660e-03
2.9561,0.2956,75.431201,9.151275,2.196528e-03,18.1053,0,,1.372616e+00,1.474691e+00,1.660620e+00,1.732980e+00,1.734125e+00,1.718788e+00,6.389604e-01,5.576945e-01,9.969219e-02,8.636916e-02,5.837099e-02,6.542703e-03
2.9602,0.2960,100.000000,10.216981,3.058121e-03,29.9317,0,,1.052845e+00,1.438573e+00,1.534901e+00,1.498825e+00,1.454827e+00,1.401990e+00,4.939915e-01,4.327618e-01,9.611434e-02,8.549544e-02,6.117460e-02,7.557875e-03
2.9603,0.2960,86.851137,9.151275,2.294281e-03,21.7741,0,,1.287311e+00,1.589460e+00,1.732911e+00,1.733183e+00,1.701174e+00,1.656689e+00,5.340266e-01,5.135470e-01,9.165174e-02,7.934565e-02,5.392928e-02,6.192168e-03
2.9605,0.2960,86.851137,10.216981,2.785642e-03,23.6798,0,,1.102051e+00,1.293223e+00,1.452872e+00,1.493357e+00,1.482474e+00,1.458089e+00,5.173656e-01,4.501862e-01,9.865996e-02,8.748824e-02,6.068692e-02,7.265347e-03
2.9648,0.2965,100.000000,9.151275,2.477370e-03,27.0713,0,,1.230103e+00,1.726407e+00,1.779083e+00,1.692716e+00,1.632800e+00,1.564082e+00,5.060822e-01,4.551723e-01,9.046061e-02,7.695842e-02,5.351959e-02,5.972266e-03
2.9709,0.2971,86.851137,9.151275,2.286971e-03,21.7047,0,,1.285095e+00,1.585360e+00,1.728546e+00,1.729032e+00,1.697207e+00,1.652928e+00,5.328991e-01,5.122717e-01,9.119285e-02,7.893588e-02,5.363198e-02,6.153387e-03
2.9712,0.2971,75.431201,9.151275,2.184873e-03,18.0093,0,,1.368461e+00,1.468363e+00,1.653170e+00,1.725348e+00,1.726602e+00,1.711452e+00,6.363554e-01,5.553917e-01,9.884301e-02,8.561197e-02,5.782814e-02,6.474437e-03
2.9780,0.2978,86.851137,9.151275,2.282108e-03,21.6586,0,,1.283618e+00,1.582629e+00,1.725638e+00,1.726264e+00,1.694562e+00,1.650421e+00,5.321467e-01,5.114213e-01,9.088767e-02,7.866343e-02,5.343442e-02,6.127649e-03
2.9828,0.2983,100.000000,9.151275,2.464225e-03,26.9277,0,,1.226641e+00,1.719459e+00,1.772436e+00,1.686900e+00,1.627379e+00,1.559073e+00,5.042248e-01,4.534284e-01,8.972967e-02,7.631850e-02,5.303900e-02,5.910261e-03
2.9849,0.2985,100.000000,10.216981,3.036144e-03,29.7166,0,,1.049035e+00,1.430809e+00,1.527162e+00,1.491866e+00,1.448356e+00,1.396015e+00,4.916012e-01,4.307111e-01,9.517550e-02,8.461880e-02,6.048102e-02,7.452643e-03
2.9916,0.2992,86.851137,8.196729,2.023256e-03,21.4381,0,,1.562530e+00,2.043093e+00,2.150869e+00,2.088370e+00,2.025006e+00,1.958987e+00,6.347686e-01,5.517613e-01,9.285715e-02,8.037651e-02,5.427127e-02,5.833060e-03
2.9923,0.2992,75.431201,9.151275,2.169172e-03,17.8798,0,,1.362839e+00,1.459822e+00,1.643109e+00,1.715033e+00,1.716432e+00,1.701532e+00,6.328234e-01,5.522682e-01,9.770075e-02,8.459401e-02,5.709919e-02,6.383010e-03
2.9951,0.2995,86.851137,9.151275,2.270536e-03,21.5488,0,,1.280094e+00,1.576123e+00,1.718705e+00,1.719665e+00,1.688254e+00,1.644438e+00,5.303486e-01,5.093917e-01,9.016205e-02,7.801586e-02,5.296519e-02,6.066620e-03
2.9978,0.2998,86.851137,8.196729,2.016809e-03,21.3698,0,,1.559794e+00,2.037809e+00,2.145541e+00,2.083486e+00,2.020408e+00,1.954635e+00,6.331773e-01,5.503568e-01,9.237115e-02,7.994421e-02,5.396295e-02,5.796411e-03
3.0020,0.3002,86.851137,8.196729,2.012520e-03,21.3243,0,,1.557971e+00,2.034289e+00,2.141990e+00,2.080230e+00,2.017341e+00,1.951733e+00,6.321163e-01,5.494200e-01,9.204807e-02,7.965690e-02,5.375813e-02,5.772090e-03
3.0075,0.3007,100.000000,9.151275,2.446516e-03,26.7342,0,,1.221959e+00,1.710067e+00,1.763441e+00,1.679021e+00,1.620032e+00,1.552283e+00,5.017099e-01,4.510668e-01,8.874551e-02,7.545729e-02,5.239318e-02,5.827211e-03
3.0123,0.3012,86.851137,8.196729,2.002315e-03,21.2162,0,,1.553623e+00,2.025901e+00,2.133524e+00,2.072464e+00,2.010025e+00,1.944806e+00,6.295840e-01,5.471836e-01,9.128023e-02,7.897427e-02,5.327182e-02,5.714421e-03
3.0352,0.3035,100.000000,8.196729,2.124699e-03,25.9213,0,,1.494543e+00,2.133993e+00,2.117095e+00,1.967088e+00,1.875162e+00,1.781307e+00,5.518730e-01,4.759883e-01,8.765735e-02,7.570645e-02,5.118847e-02,5.216576e-03
3.0434,0.3043,100.000000,8.196729,2.117801e-03,25.8371,0,,1.491796e+00,2.128787e+00,2.112348e+00,1.963022e+00,1.871430e+00,1.777884e+00,5.505486e-01,4.748522e-01,8.719800e-02,7.529823e-02,5.089561e-02,5.183258e-03
3.0445,0.3044,75.431201,10.216981,2.633974e-03,19.4464,0,,1.167111e+00,1.188776e+00,1.359306e+00,1.454653e+00,1.472705e+00,1.475254e+00,6.105612e-01,5.386770e-01,1.055629e-01,9.265392e-02,6.437917e-02,7.470566e-03
3.0571,0.3057,100.000000,8.196729,2.106564e-03,25.7001,0,,1.487312e+00,2.120285e+00,2.104591e+00,1.956371e+00,1.865324e+00,1.772284e+00,5.483835e-01,4.729938e-01,8.645052e-02,7.463421e-02,5.041963e-02,5.129200e-03
3.0761,0.3076,100.000000,8.196729,2.091425e-03,25.5154,0,,1.481250e+00,2.108790e+00,2.094090e+00,1.947360e+00,1.857047e+00,1.764689e+00,5.454515e-01,4.704747e-01,8.544516e-02,7.374158e-02,4.978056e-02,5.056801e-03
3.0774,0.3077,75.431201,8.196729,2.054805e-03,18.9095,0,,1.719320e+00,2.004580e+00,2.207259e+00,2.236776e+00,2.208862e+00,2.163286e+00,7.213762e-01,6.816080e-01,1.103981e-01,9.598215e-02,6.451427e-02,7.161939e-03
3.0940,0.3094,86.851137,8.196729,1.931289e-03,20.4636,0,,1.522934e+00,1.967000e+00,2.073884e+00,2.017597e+00,1.958267e+00,1.895758e+00,6.116472e-01,5.313160e-01,8.597124e-02,7.426269e-02,4.992753e-02,5.320761e-03
3.0964,0.3096,75.431201,8.196729,1.969188e-03,18.1216,0,,1.678591e+00,1.935021e+00,2.130244e+00,2.161227e+00,2.135665e+00,2.092980e+00,6.983907e-01,6.570469e-01,1.029071e-01,8.929584e-02,5.978582e-02,6.584252e-03
3.0968,0.3097,86.851137,8.196729,1.929122e-03,20.4406,0,,1.521986e+00,1.965188e+00,2.072044e+00,2.015899e+00,1.956664e+00,1.894238e+00,6.110909e-01,5.308232e-01,8.581023e-02,7.412002e-02,4.982660e-02,5.308959e-03
3.0997,0.3100,75.431201,9.151275,2.096686e-03,17.2824,0,,1.336503e+00,1.420162e+00,1.596288e+00,1.666925e+00,1.668951e+00,1.655174e+00,6.161718e-01,5.375237e-01,9.245545e-02,7.992779e-02,5.377061e-02,5.969016e-03
3.1001,0.3100,86.851137,10.216981,2.683814e-03,22.8142,0,,1.080476e+00,1.255695e+00,1.410863e+00,1.452067e+00,1.442520e+00,1.419810e+00,5.052675e-01,4.398137e-01,9.345768e-02,8.267974e-02,5.707638e-02,6.755156e-03
