m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000,sidm_viable
14.384499,1.309696e+00,7.612297e-04,0.120001,8.3607,209.802332,5.047301,0
14.384499,1.498841e+00,7.612297e-04,0.120001,7.3056,137.156958,3.851205,0
14.384499,1.715302e+00,7.612297e-04,0.120001,6.3837,90.911705,2.931747,0
14.384499,1.963025e+00,7.612297e-04,0.120001,5.5781,61.490680,2.231837,0
14.384499,2.246524e+00,7.612297e-04,0.120001,4.8742,42.331117,1.695737,0
14.384499,2.570965e+00,7.612297e-04,0.120001,4.2591,29.402255,1.287927,0
14.384499,2.942262e+00,7.612297e-04,0.120001,3.7216,20.411850,0.976260,0
14.384499,3.367182e+00,7.612297e-04,0.120001,3.2520,14.069406,0.738822,0
14.384499,3.853468e+00,7.612297e-04,0.120001,2.8416,9.595350,0.558026,0
14.384499,4.409983e+00,7.612297e-04,0.120001,2.4830,6.466228,0.420517,1
14.384499,5.046869e+00,7.612297e-04,0.120001,2.1696,4.303788,0.316003,1
14.384499,5.775735e+00,7.612297e-04,0.120001,1.8958,2.828270,0.236671,1
14.384499,6.609862e+00,7.612297e-04,0.120001,1.6566,1.834103,0.176546,1
14.384499,7.564454e+00,7.612297e-04,0.120001,1.4475,1.172684,0.131066,1
14.384499,8.656907e+00,7.612297e-04,0.120001,1.2649,0.738381,0.096753,1
14.384499,9.907132e+00,7.612297e-04,0.120001,1.1053,0.457203,0.070953,0
14.384499,1.133791e+01,7.612297e-04,0.120001,0.9658,0.277967,0.051637,0
14.384499,1.297533e+01,7.612297e-04,0.120001,0.8439,0.165671,0.037257,0
14.384499,1.484921e+01,7.612297e-04,0.120001,0.7374,0.096657,0.026625,0
14.384499,1.699373e+01,7.612297e-04,0.120001,0.6444,0.055132,0.018832,0
14.384499,1.944795e+01,7.612297e-04,0.120001,0.5630,0.030715,0.013177,0
14.384499,2.225661e+01,7.612297e-04,0.120001,0.4920,0.016705,0.009122,0
14.384499,2.547089e+01,7.612297e-04,0.120001,0.4299,0.008869,0.006251,0
14.384499,2.914938e+01,7.612297e-04,0.120001,0.3756,0.004598,0.004245,0
14.384499,3.335911e+01,7.612297e-04,0.120001,0.3282,0.002330,0.002859,0
14.384499,3.817681e+01,7.612297e-04,0.120001,0.2868,0.001156,0.001912,0
14.384499,4.369028e+01,7.612297e-04,0.120001,0.2506,0.000562,0.001269,0
14.384499,5.000000e+01,7.612297e-04,0.120001,0.2190,0.000269,0.000836,0
16.237767,1.000000e+00,8.476593e-04,0.119993,13.7641,531.103950,9.448363,0
16.237767,1.144419e+00,8.476593e-04,0.119993,12.0271,359.332927,7.221782,0
16.237767,1.309696e+00,8.476593e-04,0.119993,10.5094,237.549985,5.507306,0
16.237767,1.498841e+00,8.476593e-04,0.119993,9.1832,154.931874,4.206623,0
16.237767,1.715302e+00,8.476593e-04,0.119993,8.0243,101.064854,3.205051,0
16.237767,1.963025e+00,8.476593e-04,0.119993,7.0117,66.853823,2.440165,0
16.237767,2.246524e+00,8.476593e-04,0.119993,6.1268,45.186884,1.857009,0
16.237767,2.570965e+00,8.476593e-04,0.119993,5.3537,31.139989,1.411057,0
16.237767,2.942262e+00,8.476593e-04,0.119993,4.6781,21.682364,1.070902,0
16.237767,3.367182e+00,8.476593e-04,0.119993,4.0877,15.102128,0.811574,0
16.237767,3.853468e+00,8.476593e-04,0.119993,3.5719,10.448500,0.613958,0
16.237767,4.409983e+00,8.476593e-04,0.119993,3.1211,7.154646,0.463563,1
16.237767,5.046869e+00,8.476593e-04,0.119993,2.7273,4.842230,0.349157,1
16.237767,5.775735e+00,8.476593e-04,0.119993,2.3831,3.237689,0.262238,1
16.237767,6.609862e+00,8.476593e-04,0.119993,2.0824,2.138039,0.196278,1
16.237767,7.564454e+00,8.476593e-04,0.119993,1.8196,1.393591,0.146304,1
16.237767,8.656907e+00,8.476593e-04,0.119993,1.5900,0.895752,0.108519,1
16.237767,9.907132e+00,8.476593e-04,0.119993,1.3893,0.567049,0.080027,1
16.237767,1.133791e+01,8.476593e-04,0.119993,1.2140,0.352994,0.058619,0
16.237767,1.297533e+01,8.476593e-04,0.119993,1.0608,0.215724,0.042605,0
16.237767,1.484921e+01,8.476593e-04,0.119993,0.9269,0.129202,0.030695,0
16.237767,1.699373e+01,8.476593e-04,0.119993,0.8100,0.075715,0.021901,0
16.237767,1.944795e+01,8.476593e-04,0.119993,0.7077,0.043355,0.015465,0
16.237767,2.225661e+01,8.476593e-04,0.119993,0.6184,0.024234,0.010803,0
16.237767,2.547089e+01,8.476593e-04,0.119993,0.5404,0.013215,0.007466,0
16.237767,2.914938e+01,8.476593e-04,0.119993,0.4722,0.007030,0.005108,0
16.237767,3.335911e+01,8.476593e-04,0.119993,0.4126,0.003650,0.003464,0
16.237767,3.817681e+01,8.476593e-04,0.119993,0.3605,0.001851,0.002331,0
16.237767,4.369028e+01,8.476593e-04,0.119993,0.3150,0.000919,0.001557,0
16.237767,5.000000e+01,8.476593e-04,0.119993,0.2753,0.000447,0.001033,0
18.329807,1.000000e+00,9.453138e-04,0.120009,17.3274,560.042889,10.329494,0
18.329807,1.144419e+00,9.453138e-04,0.120009,15.1408,391.177166,7.890080,0
18.329807,1.309696e+00,9.453138e-04,0.120009,13.2301,265.266308,6.022688,0
18.329807,1.498841e+00,9.453138e-04,0.120009,11.5605,175.483762,4.596326,0
18.329807,1.715302e+00,9.453138e-04,0.120009,10.1017,114.337238,3.505203,0
18.329807,1.963025e+00,9.453138e-04,0.120009,8.8269,74.419634,2.670217,0
18.329807,2.246524e+00,9.453138e-04,0.120009,7.7130,49.117735,2.032623,0
18.329807,2.570965e+00,9.453138e-04,0.120009,6.7397,33.166138,1.546246,0
18.329807,2.942262e+00,9.453138e-04,0.120009,5.8891,22.874991,1.174896,0
18.329807,3.367182e+00,9.453138e-04,0.120009,5.1460,15.964788,0.891532,0
18.329807,3.853468e+00,9.453138e-04,0.120009,4.4966,11.155704,0.675372,0
18.329807,4.409983e+00,9.453138e-04,0.120009,3.9291,7.746715,0.510772,0
18.329807,5.046869e+00,9.453138e-04,0.120009,3.4333,5.325833,0.385521,1
18.329807,5.775735e+00,9.453138e-04,0.120009,3.0000,3.619960,0.290248,1
18.329807,6.609862e+00,9.453138e-04,0.120009,2.6214,2.431558,0.217876,1
18.329807,7.564454e+00,9.453138e-04,0.120009,2.2906,1.613585,0.162970,1
18.329807,8.656907e+00,9.453138e-04,0.120009,2.0016,1.057217,0.121384,1
18.329807,9.907132e+00,9.453138e-04,0.120009,1.7490,0.683236,0.089954,1
18.329807,1.133791e+01,9.453138e-04,0.120009,1.5283,0.434931,0.066268,0
18.329807,1.297533e+01,9.453138e-04,0.120009,1.3354,0.272268,0.048483,0
18.329807,1.484921e+01,9.453138e-04,0.120009,1.1669,0.167305,0.035191,0
18.329807,1.699373e+01,9.453138e-04,0.120009,1.0196,0.100727,0.025316,0
18.329807,1.944795e+01,9.453138e-04,0.120009,0.8910,0.059313,0.018035,0
18.329807,2.225661e+01,9.453138e-04,0.120009,0.7785,0.034109,0.012713,0
18.329807,2.547089e+01,9.453138e-04,0.120009,0.6803,0.019135,0.008865,0
18.329807,2.914938e+01,9.453138e-04,0.120009,0.5944,0.010466,0.006117,0
18.329807,3.335911e+01,9.453138e-04,0.120009,0.5194,0.005580,0.004178,0
18.329807,3.817681e+01,9.453138e-04,0.120009,0.4539,0.002902,0.002830,0
18.329807,4.369028e+01,9.453138e-04,0.120009,0.3966,0.001474,0.001902,0
18.329807,5.000000e+01,9.453138e-04,0.120009,0.3465,0.000732,0.001270,0
20.691381,1.000000e+00,1.055727e-03,0.120011,21.8444,566.617129,11.291829,0
20.691381,1.144419e+00,1.055727e-03,0.120011,19.0878,410.210662,8.633513,0
20.691381,1.309696e+00,1.055727e-03,0.120011,16.6790,287.644943,6.583877,0
20.691381,1.498841e+00,1.055727e-03,0.120011,14.5742,195.570722,5.029040,0
20.691381,1.715302e+00,1.055727e-03,0.120011,12.7350,129.510202,3.833976,0
20.691381,1.963025e+00,1.055727e-03,0.120011,11.1279,84.318575,2.923208,0
20.691381,2.246524e+00,1.055727e-03,0.120011,9.7237,54.760976,2.226448,0
20.691381,2.570965e+00,1.055727e-03,0.120011,8.4966,36.054142,1.695200,0
20.691381,2.942262e+00,1.055727e-03,0.120011,7.4244,24.313738,1.288692,0
20.691381,3.367182e+00,1.055727e-03,0.120011,6.4875,16.779293,0.978944,0
20.691381,3.853468e+00,1.055727e-03,0.120011,5.6688,11.736250,0.742539,0
20.691381,4.409983e+00,1.055727e-03,0.120011,4.9534,8.226812,0.562409,0
20.691381,5.046869e+00,1.055727e-03,0.120011,4.3283,5.733664,0.425229,1
20.691381,5.775735e+00,1.055727e-03,0.120011,3.7821,3.957452,0.320819,1
20.691381,6.609862e+00,1.055727e-03,0.120011,3.3048,2.701295,0.241441,1
20.691381,7.564454e+00,1.055727e-03,0.120011,2.8878,1.822774,0.181144,1
20.691381,8.656907e+00,1.055727e-03,0.120011,2.5234,1.215537,0.135409,1
20.691381,9.907132e+00,1.055727e-03,0.120011,2.2049,0.800596,0.100780,1
20.691381,1.133791e+01,1.055727e-03,0.120011,1.9267,0.520257,0.074618,1
20.691381,1.297533e+01,1.055727e-03,0.120011,1.6835,0.333086,0.054913,0
20.691381,1.484921e+01,1.055727e-03,0.120011,1.4711,0.209731,0.040127,0
20.691381,1.699373e+01,1.055727e-03,0.120011,1.2854,0.129623,0.029087,0
20.691381,1.944795e+01,1.055727e-03,0.120011,1.1232,0.078475,0.020894,0
20.691381,2.225661e+01,1.055727e-03,0.120011,0.9815,0.046450,0.014860,0
20.691381,2.547089e+01,1.055727e-03,0.120011,0.8576,0.026837,0.010457,0
20.691381,2.914938e+01,1.055727e-03,0.120011,0.7494,0.015117,0.007279,0
20.691381,3.335911e+01,1.055727e-03,0.120011,0.6548,0.008296,0.005014,0
20.691381,3.817681e+01,1.055727e-03,0.120011,0.5722,0.004435,0.003420,0
20.691381,4.369028e+01,1.055727e-03,0.120011,0.5000,0.002311,0.002313,0
20.691381,5.000000e+01,1.055727e-03,0.120011,0.4369,0.001175,0.001553,0
23.357215,1.000000e+00,1.180876e-03,0.119992,27.5820,549.138228,12.356273,0
23.357215,1.144419e+00,1.180876e-03,0.119992,24.1013,412.122026,9.443189,0
23.357215,1.309696e+00,1.180876e-03,0.119992,21.0598,299.905548,7.205452,0
23.357215,1.498841e+00,1.180876e-03,0.119992,18.4022,211.180906,5.499205,0
23.357215,1.715302e+00,1.180876e-03,0.119992,16.0800,144.007411,4.196033,0
23.357215,1.963025e+00,1.180876e-03,0.119992,14.0508,95.496123,3.200664,0
23.357215,2.246524e+00,1.180876e-03,0.119992,12.2776,62.143357,2.439602,0
23.357215,2.570965e+00,1.180876e-03,0.119992,10.7283,40.273297,1.857652,0
23.357215,2.942262e+00,1.180876e-03,0.119992,9.3744,26.445399,1.413427,0
23.357215,3.367182e+00,1.180876e-03,0.119992,8.1914,17.805355,1.074598,0
23.357215,3.853468e+00,1.180876e-03,0.119992,7.1577,12.291795,0.816050,0
23.357215,4.409983e+00,1.180876e-03,0.119992,6.2544,8.615056,0.618755,0
23.357215,5.046869e+00,1.180876e-03,0.119992,5.4652,6.057477,0.468542,1
23.357215,5.775735e+00,1.180876e-03,0.119992,4.7755,4.236868,0.354150,1
23.357215,6.609862e+00,1.180876e-03,0.119992,4.1729,2.935727,0.267116,1
23.357215,7.564454e+00,1.180876e-03,0.119992,3.6463,2.012274,0.200939,1
23.357215,8.656907e+00,1.180876e-03,0.119992,3.1861,1.363981,0.150683,1
23.357215,9.907132e+00,1.180876e-03,0.119992,2.7841,0.914038,0.112571,1
23.357215,1.133791e+01,1.180876e-03,0.119992,2.4327,0.605190,0.083721,1
23.357215,1.297533e+01,1.180876e-03,0.119992,2.1257,0.395484,0.061933,0
23.357215,1.484921e+01,1.180876e-03,0.119992,1.8575,0.254694,0.045531,0
23.357215,1.699373e+01,1.180876e-03,0.119992,1.6231,0.161342,0.033232,0
23.357215,1.944795e+01,1.180876e-03,0.119992,1.4182,0.100322,0.024056,0
23.357215,2.225661e+01,1.180876e-03,0.119992,1.2393,0.061096,0.017254,0
23.357215,2.547089e+01,1.180876e-03,0.119992,1.0829,0.036366,0.012251,0
23.357215,2.914938e+01,1.180876e-03,0.119992,0.9462,0.021118,0.008607,0
23.357215,3.335911e+01,1.180876e-03,0.119992,0.8268,0.011949,0.005981,0
23.357215,3.817681e+01,1.180876e-03,0.119992,0.7225,0.006582,0.004112,0
23.357215,4.369028e+01,1.180876e-03,0.119992,0.6313,0.003530,0.002800,0
23.357215,5.000000e+01,1.180876e-03,0.119992,0.5516,0.001844,0.001891,0
26.366509,1.000000e+00,1.322579e-03,0.119993,34.8718,512.179489,13.514067,0
26.366509,1.144419e+00,1.322579e-03,0.119993,30.4712,396.210995,10.321117,0
26.366509,1.309696e+00,1.322579e-03,0.119993,26.6259,299.076960,7.879897,0
26.366509,1.498841e+00,1.322579e-03,0.119993,23.2658,218.808345,6.014389,0
26.366509,1.715302e+00,1.322579e-03,0.119993,20.3298,154.759892,4.589319,0
26.366509,1.963025e+00,1.322579e-03,0.119993,17.7643,105.877014,3.499824,0
26.366509,2.246524e+00,1.322579e-03,0.119993,15.5226,70.332567,2.667447,0
26.366509,2.570965e+00,1.322579e-03,0.119993,13.5637,45.760531,2.032860,0
26.366509,2.942262e+00,1.322579e-03,0.119993,11.8520,29.596388,1.547429,0
26.366509,3.367182e+00,1.322579e-03,0.119993,10.3564,19.379998,1.177798,0
26.366509,3.853468e+00,1.322579e-03,0.119993,9.0495,13.023411,0.895062,0
26.366509,4.409983e+00,1.322579e-03,0.119993,7.9075,8.991108,0.679394,0
26.366509,5.046869e+00,1.322579e-03,0.119993,6.9096,6.313490,0.515202,0
26.366509,5.775735e+00,1.322579e-03,0.119993,6.0376,4.452361,0.390099,1
26.366509,6.609862e+00,1.322579e-03,0.119993,5.2757,3.125074,0.294788,1
26.366509,7.564454e+00,1.322579e-03,0.119993,4.6100,2.173610,0.222272,1
26.366509,8.656907e+00,1.322579e-03,0.119993,4.0282,1.495996,0.167149,1
26.366509,9.907132e+00,1.322579e-03,0.119993,3.5199,1.018538,0.125288,1
26.366509,1.133791e+01,1.322579e-03,0.119993,3.0757,0.685846,0.093547,1
26.366509,1.297533e+01,1.322579e-03,0.119993,2.6875,0.456485,0.069525,0
26.366509,1.484921e+01,1.322579e-03,0.119993,2.3484,0.299990,0.051389,0
26.366509,1.699373e+01,1.322579e-03,0.119993,2.0520,0.194352,0.037742,0
26.366509,1.944795e+01,1.322579e-03,0.119993,1.7931,0.123883,0.027515,0
26.366509,2.225661e+01,1.322579e-03,0.119993,1.5668,0.077518,0.019891,0
26.366509,2.547089e+01,1.322579e-03,0.119993,1.3691,0.047503,0.014245,0
26.366509,2.914938e+01,1.322579e-03,0.119993,1.1963,0.028444,0.010098,0
26.366509,3.335911e+01,1.322579e-03,0.119993,1.0453,0.016609,0.007082,0
26.366509,3.817681e+01,1.322579e-03,0.119993,0.9134,0.009443,0.004912,0
26.366509,4.369028e+01,1.322579e-03,0.119993,0.7982,0.005224,0.003372,0
26.366509,5.000000e+01,1.322579e-03,0.119993,0.6974,0.002811,0.002293,0
29.763514,1.000000e+00,1.482923e-03,0.120001,44.1370,467.538195,14.771386,0
29.763514,1.144419e+00,1.482923e-03,0.120001,38.5672,366.869077,11.273250,0
29.763514,1.309696e+00,1.482923e-03,0.120001,33.7002,285.202635,8.597075,0
29.763514,1.498841e+00,1.482923e-03,0.120001,29.4474,216.534740,6.564948,0
29.763514,1.715302e+00,1.482923e-03,0.120001,25.7313,159.291567,5.006815,0
29.763514,1.963025e+00,1.482923e-03,0.120001,22.4842,113.187346,3.820973,0
29.763514,2.246524e+00,1.482923e-03,0.120001,19.6468,77.708364,2.913390,0
29.763514,2.570965e+00,1.482923e-03,0.120001,17.1675,51.727678,2.220138,0
29.763514,2.942262e+00,1.482923e-03,0.120001,15.0010,33.661213,1.691201,0
29.763514,3.367182e+00,1.482923e-03,0.120001,13.1080,21.730832,1.287398,0
29.763514,3.853468e+00,1.482923e-03,0.120001,11.4538,14.188149,0.979136,0
29.763514,4.409983e+00,1.482923e-03,0.120001,10.0084,9.513465,0.744248,0
29.763514,5.046869e+00,1.482923e-03,0.120001,8.7454,6.566406,0.564882,0
29.763514,5.775735e+00,1.482923e-03,0.120001,7.6418,4.618684,0.428295,1
29.763514,6.609862e+00,1.482923e-03,0.120001,6.6774,3.266458,0.324219,1
29.763514,7.564454e+00,1.482923e-03,0.120001,5.8348,2.300500,0.244973,1
29.763514,8.656907e+00,1.482923e-03,0.120001,5.0985,1.606017,0.184679,1
29.763514,9.907132e+00,1.482923e-03,0.120001,4.4551,1.109760,0.138841,1
29.763514,1.133791e+01,1.482923e-03,0.120001,3.8929,0.758846,0.104034,1
29.763514,1.297533e+01,1.482923e-03,0.120001,3.4016,0.513399,0.077641,1
29.763514,1.484921e+01,1.482923e-03,0.120001,2.9723,0.343476,0.057668,0
29.763514,1.699373e+01,1.482923e-03,0.120001,2.5973,0.226992,0.042593,0
29.763514,1.944795e+01,1.482923e-03,0.120001,2.2695,0.147946,0.031252,0
29.763514,2.225661e+01,1.482923e-03,0.120001,1.9831,0.094902,0.022758,0
29.763514,2.547089e+01,1.482923e-03,0.120001,1.7328,0.059771,0.016431,0
29.763514,2.914938e+01,1.482923e-03,0.120001,1.5142,0.036867,0.011750,0
29.763514,3.335911e+01,1.482923e-03,0.120001,1.3231,0.022215,0.008316,0
29.763514,3.817681e+01,1.482923e-03,0.120001,1.1561,0.013048,0.005822,0
29.763514,4.369028e+01,1.482923e-03,0.120001,1.0102,0.007459,0.004031,0
29.763514,5.000000e+01,1.482923e-03,0.120001,0.8827,0.004145,0.002763,0
33.598183,1.000000e+00,1.664436e-03,0.119994,55.9220,431.275017,16.089241,0
33.598183,1.144419e+00,1.664436e-03,0.119994,48.8650,333.800486,12.267849,0
33.598183,1.309696e+00,1.664436e-03,0.119994,42.6985,262.285132,9.362338,0
33.598183,1.498841e+00,1.664436e-03,0.119994,37.3102,204.832330,7.146153,0
33.598183,1.715302e+00,1.664436e-03,0.119994,32.6019,156.412869,5.449793,0
33.598183,1.963025e+00,1.664436e-03,0.119994,28.4877,115.709652,4.157200,0
33.598183,2.246524e+00,1.664436e-03,0.119994,24.8927,82.614746,3.168730,0
33.598183,2.570965e+00,1.664436e-03,0.119994,21.7514,56.931493,2.415903,0
33.598183,2.942262e+00,1.664436e-03,0.119994,19.0065,37.987978,1.841968,0
33.598183,3.367182e+00,1.664436e-03,0.119994,16.6080,24.733112,1.402252,0
33.598183,3.853468e+00,1.664436e-03,0.119994,14.5121,15.941125,1.067392,0
33.598183,4.409983e+00,1.664436e-03,0.119994,12.6808,10.377056,0.811797,0
33.598183,5.046869e+00,1.664436e-03,0.119994,11.0805,6.940739,0.617027,0
33.598183,5.775735e+00,1.664436e-03,0.119994,9.6822,4.788152,0.468332,1
33.598183,6.609862e+00,1.664436e-03,0.119994,8.4604,3.372946,0.355088,1
33.598183,7.564454e+00,1.664436e-03,0.119994,7.3927,2.391962,0.268799,1
33.598183,8.656907e+00,1.664436e-03,0.119994,6.4598,1.690172,0.203092,1
33.598183,9.907132e+00,1.664436e-03,0.119994,5.6446,1.184181,0.153093,1
33.598183,1.133791e+01,1.664436e-03,0.119994,4.9323,0.821437,0.115078,1
33.598183,1.297533e+01,1.664436e-03,0.119994,4.3099,0.564055,0.086208,1
33.598183,1.484921e+01,1.664436e-03,0.119994,3.7660,0.383373,0.064315,0
33.598183,1.699373e+01,1.664436e-03,0.119994,3.2907,0.257787,0.047746,0
