m_chi_GeV,m_phi_MeV,alpha,omega_h2,lambda,sigma_m_30,sigma_m_1000,sidm_viable
10.000000,1.000000e+00,5.585257e-04,0.120000,5.5853,342.679997,6.788408,0
10.000000,1.144419e+00,5.585257e-04,0.120000,4.8804,228.163948,5.173523,0
10.000000,1.309696e+00,5.585257e-04,0.120000,4.2645,154.396204,3.942766,0
10.000000,1.498841e+00,5.585257e-04,0.120000,3.7264,105.840452,3.000201,0
10.000000,1.715302e+00,5.585257e-04,0.120000,3.2561,72.941277,2.279687,0
10.000000,1.963025e+00,5.585257e-04,0.120000,2.8452,50.136655,1.729692,0
10.000000,2.246524e+00,5.585257e-04,0.120000,2.4862,34.176663,1.310574,0
10.000000,2.570965e+00,5.585257e-04,0.120000,2.1724,23.033592,0.990999,0
10.000000,2.942262e+00,5.585257e-04,0.120000,1.8983,15.328424,0.747743,0
10.000000,3.367182e+00,5.585257e-04,0.120000,1.6587,10.068109,0.562787,0
10.000000,3.853468e+00,5.585257e-04,0.120000,1.4494,6.525328,0.422273,1
10.000000,4.409983e+00,5.585257e-04,0.120000,1.2665,4.171459,0.315669,1
10.000000,5.046869e+00,5.585257e-04,0.120000,1.1067,2.628594,0.234935,1
10.000000,5.775735e+00,5.585257e-04,0.120000,0.9670,1.631254,0.173930,1
10.000000,6.609862e+00,5.585257e-04,0.120000,0.8450,0.995890,0.127970,1
10.000000,7.564454e+00,5.585257e-04,0.120000,0.7384,0.597409,0.093478,1
10.000000,8.656907e+00,5.585257e-04,0.120000,0.6452,0.351695,0.067723,0
10.000000,9.907132e+00,5.585257e-04,0.120000,0.5638,0.202947,0.048613,0
10.000000,1.133791e+01,5.585257e-04,0.120000,0.4926,0.114677,0.034547,0
10.000000,1.297533e+01,5.585257e-04,0.120000,0.4305,0.063401,0.024292,0
10.000000,1.484921e+01,5.585257e-04,0.120000,0.3761,0.034279,0.016898,0
10.000000,1.699373e+01,5.585257e-04,0.120000,0.3287,0.018123,0.011633,0
10.000000,1.944795e+01,5.585257e-04,0.120000,0.2872,0.009371,0.007931,0
10.000000,2.225661e+01,5.585257e-04,0.120000,0.2509,0.004743,0.005360,0
10.000000,2.547089e+01,5.585257e-04,0.120000,0.2193,0.002352,0.003594,0
10.000000,2.914938e+01,5.585257e-04,0.120000,0.1916,0.001145,0.002391,0
10.000000,3.335911e+01,5.585257e-04,0.120000,0.1674,0.000548,0.001578,0
10.000000,3.817681e+01,5.585257e-04,0.120000,0.1463,0.000258,0.001031,0
10.000000,4.369028e+01,5.585257e-04,0.120000,0.1278,0.000120,0.000666,0
10.000000,5.000000e+01,5.585257e-04,0.120000,0.1117,0.000056,0.000425,0
11.288379,1.000000e+00,6.176711e-04,0.119998,6.9725,384.596418,7.324188,0
11.288379,1.144419e+00,6.176711e-04,0.119998,6.0926,252.461027,5.597030,0
11.288379,1.309696e+00,6.176711e-04,0.119998,5.3238,167.886273,4.267716,0
11.288379,1.498841e+00,6.176711e-04,0.119998,4.6519,113.618238,3.247707,0
11.288379,1.715302e+00,6.176711e-04,0.119998,4.0649,78.008181,2.470673,0
11.288379,1.963025e+00,6.176711e-04,0.119998,3.5519,53.903144,1.876840,0
11.288379,2.246524e+00,6.176711e-04,0.119998,3.1037,37.172899,1.424017,0
11.288379,2.570965e+00,6.176711e-04,0.119998,2.7120,25.432135,1.078323,0
11.288379,2.942262e+00,6.176711e-04,0.119998,2.3698,17.206742,0.815089,0
11.288379,3.367182e+00,6.176711e-04,0.119998,2.0707,11.497635,0.614779,0
11.288379,3.853468e+00,6.176711e-04,0.119998,1.8094,7.584347,0.462464,1
11.288379,4.409983e+00,6.176711e-04,0.119998,1.5811,4.937468,0.346795,1
11.288379,5.046869e+00,6.176711e-04,0.119998,1.3816,3.170809,0.259068,1
11.288379,5.775735e+00,6.176711e-04,0.119998,1.2072,2.007247,0.192656,1
11.288379,6.609862e+00,6.176711e-04,0.119998,1.0549,1.251319,0.142498,1
11.288379,7.564454e+00,6.176711e-04,0.119998,0.9217,0.767283,0.104732,1
11.288379,8.656907e+00,6.176711e-04,0.119998,0.8054,0.462164,0.076413,0
11.288379,9.907132e+00,6.176711e-04,0.119998,0.7038,0.273092,0.055286,0
11.288379,1.133791e+01,6.176711e-04,0.119998,0.6150,0.158105,0.039629,0
11.288379,1.297533e+01,6.176711e-04,0.119998,0.5374,0.089585,0.028119,0
11.288379,1.484921e+01,6.176711e-04,0.119998,0.4696,0.049637,0.019741,0
11.288379,1.699373e+01,6.176711e-04,0.119998,0.4103,0.026882,0.013710,0
11.288379,1.944795e+01,6.176711e-04,0.119998,0.3585,0.014227,0.009424,0
11.288379,2.225661e+01,6.176711e-04,0.119998,0.3133,0.007362,0.006416,0
11.288379,2.547089e+01,6.176711e-04,0.119998,0.2737,0.003727,0.004332,0
11.288379,2.914938e+01,6.176711e-04,0.119998,0.2392,0.001848,0.002902,0
11.288379,3.335911e+01,6.176711e-04,0.119998,0.2090,0.000899,0.001929,0
11.288379,3.817681e+01,6.176711e-04,0.119998,0.1826,0.000430,0.001272,0
11.288379,4.369028e+01,6.176711e-04,0.119998,0.1596,0.000203,0.000830,0
11.288379,5.000000e+01,6.176711e-04,0.119998,0.1395,0.000095,0.000536,0
12.742750,1.000000e+00,6.849467e-04,0.119994,8.7281,434.411045,7.958984,0
12.742750,1.144419e+00,6.849467e-04,0.119994,7.6267,284.047708,6.074484,0
12.742750,1.309696e+00,6.849467e-04,0.119994,6.6642,186.086176,4.632802,0
12.742750,1.498841e+00,6.849467e-04,0.119994,5.8232,123.561176,3.531641,0
12.742750,1.715302e+00,6.849467e-04,0.119994,5.0884,83.608631,2.689164,0
12.742750,1.963025e+00,6.849467e-04,0.119994,4.4463,57.485673,2.043624,0
12.742750,2.246524e+00,6.849467e-04,0.119994,3.8852,39.826475,1.552027,0
12.742750,2.570965e+00,6.849467e-04,0.119994,3.3949,27.556868,1.177211,0
12.742750,2.942262e+00,6.849467e-04,0.119994,2.9665,18.923394,0.891151,0
12.742750,3.367182e+00,6.849467e-04,0.119994,2.5921,12.854038,0.673358,0
12.742750,3.853468e+00,6.849467e-04,0.119994,2.2650,8.625317,0.507657,0
12.742750,4.409983e+00,6.849467e-04,0.119994,1.9792,5.714905,0.381685,1
12.742750,5.046869e+00,6.849467e-04,0.119994,1.7294,3.737731,0.286045,1
12.742750,5.775735e+00,6.849467e-04,0.119994,1.5112,2.411869,0.213534,1
12.742750,6.609862e+00,6.849467e-04,0.119994,1.3205,1.534258,0.158662,1
12.742750,7.564454e+00,6.849467e-04,0.119994,1.1538,0.961108,0.117242,1
12.742750,8.656907e+00,6.849467e-04,0.119994,1.0082,0.592121,0.086075,1
12.742750,9.907132e+00,6.849467e-04,0.119994,0.8810,0.358257,0.062723,0
12.742750,1.133791e+01,6.849467e-04,0.119994,0.7698,0.212568,0.045319,0
12.742750,1.297533e+01,6.849467e-04,0.119994,0.6727,0.123517,0.032436,0
12.742750,1.484921e+01,6.849467e-04,0.119994,0.5878,0.070206,0.022979,0
12.742750,1.699373e+01,6.849467e-04,0.119994,0.5136,0.038999,0.016106,0
12.742750,1.944795e+01,6.849467e-04,0.119994,0.4488,0.021162,0.011168,0
12.742750,2.225661e+01,6.849467e-04,0.119994,0.3922,0.011216,0.007665,0
12.742750,2.547089e+01,6.849467e-04,0.119994,0.3427,0.005808,0.005212,0
12.742750,2.914938e+01,6.849467e-04,0.119994,0.2994,0.002942,0.003514,0
12.742750,3.335911e+01,6.849467e-04,0.119994,0.2616,0.001459,0.002352,0
12.742750,3.817681e+01,6.849467e-04,0.119994,0.2286,0.000710,0.001562,0
12.742750,4.369028e+01,6.849467e-04,0.119994,0.1998,0.000340,0.001029,0
12.742750,5.000000e+01,6.849467e-04,0.119994,0.1746,0.000160,0.000672,0
14.384499,1.000000e+00,7.612297e-04,0.120001,10.9499,486.186067,8.652380,0
14.384499,1.144419e+00,7.612297e-04,0.120001,9.5681,321.295372,6.611233,0
