chi2,chi2_dof,m_chi_GeV,m_phi_MeV,alpha,lambda,is_relic,omega_h2,sigma_m_12,sigma_m_30,sigma_m_40,sigma_m_50,sigma_m_55,sigma_m_60,sigma_m_250,sigma_m_280,sigma_m_1000,sigma_m_1100,sigma_m_1200,sigma_m_4700
33.4022,3.3402,21.209509,17.722610,1.333217e-02,15.9553,0,,1.288876e+00,1.308806e+00,1.296701e+00,1.280762e+00,1.271566e+00,1.261623e+00,1.366176e+00,1.419894e+00,9.358586e-01,8.689594e-01,8.102100e-01,1.864394e-01
33.4250,3.3425,5.179475,42.781479,1.402470e-01,16.9794,0,,2.078967e-01,5.098311e-01,6.445268e-01,7.433918e-01,7.810993e-01,8.123492e-01,9.582988e-01,9.565037e-01,8.503385e-01,8.372739e-01,8.289253e-01,1.055458e+00
33.4464,3.3446,21.209509,10.216981,3.976859e-03,8.2556,0,,2.498320e+00,2.479272e+00,2.421822e+00,2.352265e+00,2.315631e+00,2.279638e+00,2.348359e+00,2.289134e+00,8.358607e-01,7.432504e-01,6.645530e-01,6.894426e-02
33.4554,3.3455,21.209509,14.218234,7.860888e-03,11.7262,0,,1.643820e+00,1.659829e+00,1.638017e+00,1.609797e+00,1.593737e+00,1.576641e+00,1.713253e+00,1.738183e+00,9.199473e-01,8.424010e-01,7.746694e-01,1.244160e-01
33.4786,3.3479,100.000000,0.241395,4.938671e-06,2.0459,0,,6.261788e+00,1.020142e+00,5.691213e-01,3.600025e-01,2.965294e-01,2.480228e-01,1.333820e-02,1.061532e-02,6.841831e-04,5.353272e-04,4.241754e-04,6.146059e-06
33.4863,3.3486,86.851137,0.269506,5.186350e-06,1.6714,0,,6.270009e+00,1.044012e+00,5.832266e-01,3.703116e-01,3.045443e-01,2.554470e-01,1.369163e-02,1.087082e-02,7.963974e-04,6.282479e-04,5.043443e-04,8.890198e-06
33.4994,3.3499,100.000000,0.335932,7.002274e-06,2.0844,0,,6.277940e+00,1.062260e+00,5.966388e-01,3.789942e-01,3.128888e-01,2.615872e-01,1.401608e-02,1.114138e-02,8.397121e-04,6.655293e-04,5.361209e-04,1.052023e-05
33.5575,3.3557,86.851137,0.650575,1.409053e-05,1.8811,0,,6.347980e+00,1.270947e+00,7.317294e-01,4.731657e-01,3.921972e-01,3.298704e-01,1.803121e-02,1.432266e-02,1.068316e-03,8.809205e-04,7.393452e-04,2.998053e-05
33.6134,3.3613,37.275937,4.232476,7.240734e-04,6.3770,0,,6.409913e+00,5.777681e+00,5.958228e+00,5.993573e+00,5.940316e+00,5.849358e+00,1.772547e+00,1.514250e+00,1.687376e-01,1.403473e-01,1.184158e-01,7.453297e-03
33.6353,3.3635,10.481131,5.890030,1.182361e-03,2.1040,0,,3.539456e+00,4.223959e+00,4.226766e+00,4.173269e+00,4.134700e+00,4.090747e+00,2.755725e+00,2.616927e+00,6.693483e-01,5.739612e-01,4.966928e-01,3.829319e-02
