alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
1.121606e-03,1.237042e-04,9.067,9.5054,0.510068,0.473461,0.524751,0.424469,0.230949,0.067626,0.020084
1.131499e-03,1.226227e-04,9.227,9.5892,0.513179,0.477080,0.529365,0.428301,0.233288,0.068571,0.020413
1.141479e-03,1.215506e-04,9.391,9.6738,0.516299,0.480724,0.534010,0.432152,0.235638,0.069527,0.020747
1.151547e-03,1.204878e-04,9.557,9.7591,0.519431,0.484392,0.538685,0.436021,0.238000,0.070493,0.021086
1.161704e-03,1.194344e-04,9.727,9.8452,0.522573,0.488084,0.543391,0.439908,0.240372,0.071469,0.021431
1.171951e-03,1.183901e-04,9.899,9.9320,0.525725,0.491802,0.548128,0.443813,0.242756,0.072455,0.021780
1.182288e-03,1.173550e-04,10.074,10.0196,0.528888,0.495544,0.552895,0.447737,0.245151,0.073451,0.022134
1.192716e-03,1.163290e-04,10.253,10.1080,0.532062,0.499311,0.557694,0.451678,0.247556,0.074458,0.022494
1.203236e-03,1.153119e-04,10.435,10.1972,0.535246,0.503104,0.562523,0.455638,0.249971,0.075474,0.022859
1.213849e-03,1.143037e-04,10.620,10.2871,0.538441,0.506922,0.567383,0.459614,0.252397,0.076501,0.023230
1.224555e-03,1.133043e-04,10.808,10.3778,0.541646,0.510765,0.572274,0.463609,0.254833,0.077538,0.023606
1.235356e-03,1.123137e-04,10.999,10.4694,0.544862,0.514634,0.577196,0.467620,0.257279,0.078586,0.023987
1.246252e-03,1.113317e-04,11.194,10.5617,0.548088,0.518529,0.582149,0.471648,0.259735,0.079644,0.024375
1.257245e-03,1.103583e-04,11.392,10.6549,0.551325,0.522451,0.587133,0.475694,0.262201,0.080712,0.024767
1.268334e-03,1.093934e-04,11.594,10.7488,0.554573,0.526398,0.592149,0.479756,0.264675,0.081790,0.025166
1.279521e-03,1.084370e-04,11.800,10.8437,0.557831,0.530372,0.597195,0.483835,0.267159,0.082878,0.025570
1.290807e-03,1.074889e-04,12.009,10.9393,0.561100,0.534372,0.602273,0.487930,0.269652,0.083977,0.025980
1.302192e-03,1.065491e-04,12.222,11.0358,0.564379,0.538400,0.607382,0.492041,0.272154,0.085086,0.026396
1.313678e-03,1.056175e-04,12.438,11.1331,0.567668,0.542454,0.612523,0.496168,0.274665,0.086205,0.026818
1.325265e-03,1.046941e-04,12.658,11.2313,0.570969,0.546536,0.617694,0.500311,0.277184,0.087335,0.027246
1.336954e-03,1.037787e-04,12.883,11.3304,0.574279,0.550644,0.622897,0.504470,0.279711,0.088475,0.027680
1.348746e-03,1.028714e-04,13.111,11.4303,0.577601,0.554781,0.628132,0.508644,0.282246,0.089625,0.028120
1.360643e-03,1.019720e-04,13.343,11.5311,0.580932,0.558945,0.633398,0.512833,0.284789,0.090785,0.028567
1.372644e-03,1.010804e-04,13.580,11.6328,0.584275,0.563136,0.638695,0.517038,0.287339,0.091955,0.029019
1.384751e-03,1.001966e-04,13.820,11.7355,0.587628,0.567356,0.644023,0.521257,0.289897,0.093136,0.029479
1.396965e-03,9.932061e-05,14.065,11.8390,0.590991,0.571604,0.649383,0.525491,0.292463,0.094326,0.029944
1.409287e-03,9.845223e-05,14.314,11.9434,0.594365,0.575881,0.654775,0.529739,0.295035,0.095527,0.030416
1.421717e-03,9.759144e-05,14.568,12.0487,0.597749,0.580185,0.660198,0.534001,0.297614,0.096738,0.030895
1.434257e-03,9.673819e-05,14.826,12.1550,0.601144,0.584519,0.665652,0.538277,0.300200,0.097958,0.031380
1.446907e-03,9.589239e-05,15.089,12.2622,0.604550,0.588882,0.671138,0.542567,0.302792,0.099189,0.031872
1.459669e-03,9.505398e-05,15.356,12.3704,0.607965,0.593273,0.676655,0.546871,0.305390,0.100430,0.032370
1.472544e-03,9.422291e-05,15.628,12.4795,0.611392,0.597694,0.682204,0.551188,0.307994,0.101681,0.032875
1.485532e-03,9.339910e-05,15.905,12.5896,0.614829,0.602145,0.687784,0.555518,0.310604,0.102941,0.033388
1.498635e-03,9.258250e-05,16.187,12.7006,0.618276,0.606625,0.693395,0.559861,0.313220,0.104211,0.033907
1.511854e-03,9.177303e-05,16.474,12.8126,0.621734,0.611134,0.699038,0.564216,0.315840,0.105492,0.034433
1.525189e-03,9.097065e-05,16.766,12.9256,0.625202,0.615674,0.704713,0.568584,0.318466,0.106781,0.034966
1.538641e-03,9.017528e-05,17.063,13.0396,0.628681,0.620244,0.710418,0.572964,0.321097,0.108081,0.035506
1.552213e-03,8.938686e-05,17.365,13.1547,0.632171,0.624844,0.716155,0.577356,0.323732,0.109390,0.036054
1.565903e-03,8.860533e-05,17.673,13.2707,0.635670,0.629475,0.721924,0.581760,0.326372,0.110708,0.036608
1.579715e-03,8.783064e-05,17.986,13.3877,0.639181,0.634136,0.727723,0.586175,0.329017,0.112036,0.037170
1.593649e-03,8.706272e-05,18.305,13.5058,0.642701,0.638828,0.733554,0.590601,0.331665,0.113374,0.037740
1.607705e-03,8.630152e-05,18.629,13.6249,0.646232,0.643551,0.739417,0.595038,0.334317,0.114720,0.038316
1.621886e-03,8.554697e-05,18.959,13.7451,0.649774,0.648305,0.745310,0.599486,0.336973,0.116076,0.038900
1.636191e-03,8.479902e-05,19.295,13.8664,0.653326,0.653091,0.751235,0.603945,0.339632,0.117442,0.039492
1.650623e-03,8.405761e-05,19.637,13.9887,0.656889,0.657908,0.757190,0.608414,0.342294,0.118816,0.040091
1.665182e-03,8.332268e-05,19.985,14.1120,0.660461,0.662757,0.763177,0.612892,0.344959,0.120199,0.040698
1.679869e-03,8.259417e-05,20.339,14.2365,0.664045,0.667637,0.769195,0.617381,0.347628,0.121591,0.041313
1.694686e-03,8.187204e-05,20.699,14.3621,0.667639,0.672550,0.775244,0.621878,0.350299,0.122993,0.041935
1.709634e-03,8.115622e-05,21.066,14.4888,0.671243,0.677495,0.781324,0.626385,0.352972,0.124402,0.042565
1.724713e-03,8.044665e-05,21.439,14.6166,0.674857,0.682472,0.787435,0.630901,0.355647,0.125821,0.043203
1.739926e-03,7.974329e-05,21.819,14.7455,0.678482,0.687482,0.793577,0.635426,0.358325,0.127248,0.043849
1.755272e-03,7.904608e-05,22.206,14.8755,0.682118,0.692524,0.799749,0.639959,0.361004,0.128684,0.044502
1.770754e-03,7.835497e-05,22.599,15.0067,0.685764,0.697600,0.805952,0.644501,0.363685,0.130128,0.045164
1.786373e-03,7.766990e-05,23.000,15.1391,0.689420,0.702708,0.812186,0.649050,0.366368,0.131580,0.045834
1.802129e-03,7.699082e-05,23.407,15.2726,0.693086,0.707849,0.818451,0.653607,0.369051,0.133041,0.046512
1.818024e-03,7.631768e-05,23.822,15.4073,0.696763,0.713024,0.824746,0.658171,0.371736,0.134510,0.047198
1.834060e-03,7.565042e-05,24.244,15.5432,0.700451,0.718233,0.831072,0.662742,0.374422,0.135986,0.047892
1.850237e-03,7.498899e-05,24.673,15.6803,0.704148,0.723475,0.837428,0.667321,0.377108,0.137471,0.048594
1.866557e-03,7.433335e-05,25.111,15.8186,0.707857,0.728750,0.843814,0.671906,0.379796,0.138963,0.049305
1.883020e-03,7.368344e-05,25.556,15.9582,0.711575,0.734060,0.850230,0.676497,0.382483,0.140464,0.050024
1.899629e-03,7.303921e-05,26.008,16.0989,0.715304,0.739404,0.856677,0.681094,0.385171,0.141971,0.050751
1.916384e-03,7.240062e-05,26.469,16.2409,0.719043,0.744782,0.863154,0.685697,0.387859,0.143487,0.051486
1.933287e-03,7.176761e-05,26.938,16.3842,0.722792,0.750195,0.869661,0.690306,0.390547,0.145009,0.052230
1.950339e-03,7.114013e-05,27.415,16.5287,0.726552,0.755642,0.876198,0.694920,0.393235,0.146539,0.052983
1.967542e-03,7.051814e-05,27.901,16.6745,0.730322,0.761124,0.882764,0.699539,0.395922,0.148076,0.053744
1.984896e-03,6.990159e-05,28.396,16.8215,0.734103,0.766641,0.889361,0.704163,0.398609,0.149620,0.054513
2.002404e-03,6.929043e-05,28.899,16.9699,0.737893,0.772193,0.895987,0.708791,0.401295,0.151171,0.055291
2.020065e-03,6.868461e-05,29.411,17.1196,0.741694,0.777780,0.902643,0.713423,0.403981,0.152729,0.056078
2.037883e-03,6.808409e-05,29.932,17.2706,0.745506,0.783402,0.909328,0.718060,0.406666,0.154294,0.056873
2.055858e-03,6.748882e-05,30.462,17.4229,0.749327,0.789060,0.916042,0.722700,0.409350,0.155865,0.057677
2.073991e-03,6.689875e-05,31.002,17.5766,0.753159,0.794754,0.922786,0.727343,0.412033,0.157443,0.058489
2.092284e-03,6.631385e-05,31.551,17.7316,0.757001,0.800483,0.929559,0.731990,0.414714,0.159027,0.059310
2.110739e-03,6.573405e-05,32.110,17.8880,0.760854,0.806248,0.936361,0.736639,0.417395,0.160618,0.060140
2.129356e-03,6.515933e-05,32.679,18.0458,0.764716,0.812049,0.943192,0.741292,0.420074,0.162214,0.060979
2.148137e-03,6.458963e-05,33.258,18.2050,0.768589,0.817886,0.950052,0.745946,0.422751,0.163817,0.061826
2.167085e-03,6.402491e-05,33.848,18.3656,0.772472,0.823760,0.956940,0.750603,0.425427,0.165425,0.062682
2.186199e-03,6.346513e-05,34.447,18.5275,0.776366,0.829670,0.963857,0.755261,0.428101,0.167040,0.063546
2.205482e-03,6.291024e-05,35.058,18.6910,0.780269,0.835616,0.970803,0.759921,0.430774,0.168660,0.064420
2.224935e-03,6.236021e-05,35.679,18.8558,0.784183,0.841600,0.977777,0.764582,0.433445,0.170286,0.065302
2.244559e-03,6.181498e-05,36.311,19.0221,0.788107,0.847620,0.984779,0.769245,0.436114,0.171917,0.066193
2.264357e-03,6.127452e-05,36.954,19.1899,0.792041,0.853676,0.991809,0.773908,0.438782,0.173554,0.067093
2.284329e-03,6.073879e-05,37.609,19.3592,0.795986,0.859770,0.998868,0.778571,0.441447,0.175196,0.068001
2.304478e-03,6.020774e-05,38.275,19.5299,0.799940,0.865901,1.005954,0.783235,0.444110,0.176844,0.068919
2.324804e-03,5.968133e-05,38.954,19.7022,0.803905,0.872070,1.013068,0.787899,0.446772,0.178496,0.069845
2.345309e-03,5.915953e-05,39.644,19.8760,0.807880,0.878275,1.020210,0.792563,0.449432,0.180154,0.070780
2.365996e-03,5.864229e-05,40.346,20.0513,0.811865,0.884518,1.027379,0.797226,0.452089,0.181816,0.071723
2.386864e-03,5.812957e-05,41.061,20.2281,0.815861,0.890799,1.034575,0.801889,0.454745,0.183483,0.072676
2.407917e-03,5.762133e-05,41.789,20.4066,0.819866,0.897118,1.041799,0.806550,0.457398,0.185155,0.073637
2.429156e-03,5.711754e-05,42.529,20.5865,0.823881,0.903474,1.049050,0.811211,0.460050,0.186832,0.074607
2.450582e-03,5.661815e-05,43.283,20.7681,0.827907,0.909868,1.056328,0.815869,0.462699,0.188513,0.075585
2.472196e-03,5.612313e-05,44.050,20.9513,0.831943,0.916300,1.063632,0.820527,0.465347,0.190199,0.076573
2.494002e-03,5.563243e-05,44.830,21.1361,0.835989,0.922771,1.070963,0.825182,0.467992,0.191889,0.077569
2.516000e-03,5.514603e-05,45.624,21.3225,0.840045,0.929279,1.078321,0.829835,0.470636,0.193584,0.078573
2.538192e-03,5.466388e-05,46.433,21.5106,0.844111,0.935826,1.085705,0.834486,0.473278,0.195283,0.079587
2.560579e-03,5.418594e-05,47.255,21.7003,0.848187,0.942411,1.093115,0.839134,0.475918,0.196986,0.080609
2.583164e-03,5.371219e-05,48.093,21.8917,0.852273,0.949035,1.100552,0.843779,0.478556,0.198693,0.081639
2.605949e-03,5.324257e-05,48.945,22.0848,0.856369,0.955697,1.108014,0.848421,0.481192,0.200404,0.082678
2.628934e-03,5.277706e-05,49.812,22.2796,0.860476,0.962398,1.115502,0.853059,0.483827,0.202119,0.083726
2.652122e-03,5.231562e-05,50.695,22.4761,0.864592,0.969137,1.123016,0.857695,0.486460,0.203838,0.084782
2.675514e-03,5.185822e-05,51.593,22.6744,0.868719,0.975916,1.130555,0.862326,0.489091,0.205561,0.085847
2.699113e-03,5.140481e-05,52.507,22.8744,0.872855,0.982733,1.138120,0.866953,0.491721,0.207288,0.086920
2.722920e-03,5.095537e-05,53.437,23.0761,0.877001,0.989589,1.145709,0.871577,0.494350,0.209018,0.088001
2.746937e-03,5.050986e-05,54.384,23.2797,0.881158,0.996484,1.153324,0.876195,0.496978,0.210752,0.089091
2.771166e-03,5.006825e-05,55.348,23.4850,0.885324,1.003419,1.160963,0.880809,0.499604,0.212490,0.090189
2.795608e-03,4.963049e-05,56.328,23.6921,0.889501,1.010392,1.168627,0.885419,0.502229,0.214231,0.091295
2.820266e-03,4.919656e-05,57.326,23.9011,0.893687,1.017405,1.176316,0.890023,0.504854,0.215976,0.092410
2.845142e-03,4.876643e-05,58.342,24.1119,0.897883,1.024457,1.184029,0.894622,0.507477,0.217725,0.093533
2.870237e-03,4.834005e-05,59.376,24.3246,0.902090,1.031548,1.191766,0.899216,0.510100,0.219477,0.094664
2.895553e-03,4.791741e-05,60.428,24.5392,0.906306,1.038679,1.199527,0.903804,0.512722,0.221232,0.095803
2.921093e-03,4.749846e-05,61.499,24.7556,0.910532,1.045849,1.207312,0.908386,0.515344,0.222991,0.096949
2.946858e-03,4.708317e-05,62.588,24.9740,0.914768,1.053058,1.215120,0.912963,0.517965,0.224753,0.098104
2.972850e-03,4.667152e-05,63.697,25.1942,0.919014,1.060307,1.222952,0.917533,0.520586,0.226518,0.099267
2.999071e-03,4.626346e-05,64.826,25.4165,0.923270,1.067596,1.230808,0.922097,0.523207,0.228287,0.100438
3.025524e-03,4.585897e-05,65.975,25.6406,0.927536,1.074924,1.238686,0.926654,0.525828,0.230059,0.101616
3.052210e-03,4.545802e-05,67.143,25.8668,0.931812,1.082292,1.246588,0.931205,0.528450,0.231834,0.102802
3.079131e-03,4.506057e-05,68.333,26.0949,0.936097,1.089700,1.254512,0.935748,0.531072,0.233612,0.103996
3.106290e-03,4.466660e-05,69.544,26.3251,0.940392,1.097147,1.262459,0.940285,0.533694,0.235393,0.105197
3.133688e-03,4.427607e-05,70.776,26.5573,0.944698,1.104634,1.270428,0.944815,0.536317,0.237178,0.106406
3.161328e-03,4.388896e-05,72.030,26.7915,0.949013,1.112161,1.278419,0.949337,0.538942,0.238966,0.107622
3.189212e-03,4.350523e-05,73.306,27.0279,0.953338,1.119728,1.286433,0.953852,0.541567,0.240756,0.108846
3.217342e-03,4.312485e-05,74.605,27.2662,0.957673,1.127334,1.294468,0.958360,0.544193,0.242550,0.110077
3.245720e-03,4.274781e-05,75.927,27.5067,0.962017,1.134981,1.302525,0.962859,0.546821,0.244346,0.111315
3.274348e-03,4.237405e-05,77.272,27.7494,0.966371,1.142667,1.310604,0.967351,0.549450,0.246146,0.112561
3.303229e-03,4.200357e-05,78.642,27.9941,0.970736,1.150393,1.318704,0.971835,0.552081,0.247948,0.113813
3.332364e-03,4.163633e-05,80.035,28.2410,0.975110,1.158159,1.326825,0.976310,0.554713,0.249754,0.115073
3.361756e-03,4.127229e-05,81.453,28.4901,0.979493,1.165965,1.334967,0.980778,0.557348,0.251562,0.116340
3.391408e-03,4.091144e-05,82.896,28.7414,0.983887,1.173811,1.343129,0.985237,0.559985,0.253372,0.117613
3.421321e-03,4.055375e-05,84.365,28.9949,0.988290,1.181697,1.351312,0.989688,0.562624,0.255186,0.118893
3.451498e-03,4.019918e-05,85.860,29.2507,0.992703,1.189622,1.359516,0.994130,0.565266,0.257001,0.120180
3.481942e-03,3.984771e-05,87.381,29.5087,0.997125,1.197588,1.367740,0.998563,0.567911,0.258820,0.121474
3.512653e-03,3.949932e-05,88.929,29.7689,1.001558,1.205593,1.375984,1.002988,0.570558,0.260641,0.122774
3.543636e-03,3.915397e-05,90.505,30.0315,1.006000,1.213639,1.384247,1.007404,0.573208,0.262464,0.124080
3.574892e-03,3.881164e-05,92.109,30.2964,1.010451,1.221724,1.392530,1.011810,0.575862,0.264290,0.125393
3.606423e-03,3.847230e-05,93.741,30.5636,1.014913,1.229849,1.400833,1.016208,0.578518,0.266117,0.126713
3.638233e-03,3.813593e-05,95.402,30.8332,1.019384,1.238014,1.409155,1.020597,0.581178,0.267947,0.128038
3.670323e-03,3.780250e-05,97.092,31.1052,1.023865,1.246219,1.417495,1.024977,0.583842,0.269779,0.129370
3.702697e-03,3.747199e-05,98.812,31.3795,1.028355,1.254463,1.425855,1.029347,0.586509,0.271612,0.130708
3.735356e-03,3.714436e-05,100.563,31.6563,1.032855,1.262748,1.434233,1.033708,0.589180,0.273447,0.132052
3.768302e-03,3.681960e-05,102.345,31.9355,1.037365,1.271072,1.442629,1.038060,0.591855,0.275284,0.133402
3.801540e-03,3.649768e-05,104.158,32.2172,1.041884,1.279436,1.451044,1.042402,0.594534,0.277122,0.134757
3.835071e-03,3.617858e-05,106.004,32.5014,1.046413,1.287840,1.459476,1.046735,0.597218,0.278962,0.136118
3.868897e-03,3.586226e-05,107.882,32.7880,1.050951,1.296283,1.467927,1.051058,0.599905,0.280802,0.137485
3.903022e-03,3.554871e-05,109.794,33.0772,1.055499,1.304766,1.476395,1.055372,0.602597,0.282643,0.138858
3.937448e-03,3.523790e-05,111.739,33.3690,1.060057,1.313289,1.484880,1.059676,0.605293,0.284485,0.140236
3.972177e-03,3.492981e-05,113.719,33.6633,1.064624,1.321851,1.493382,1.063971,0.607993,0.286327,0.141619
4.007213e-03,3.462442e-05,115.734,33.9602,1.069200,1.330453,1.501901,1.068256,0.610698,0.288169,0.143008
4.042558e-03,3.432169e-05,117.784,34.2598,1.073787,1.339094,1.510438,1.072532,0.613408,0.290011,0.144402
4.078214e-03,3.402161e-05,119.871,34.5619,1.078382,1.347774,1.518990,1.076798,0.616122,0.291853,0.145801
4.114185e-03,3.372415e-05,121.995,34.8668,1.082987,1.356495,1.527559,1.081054,0.618840,0.293694,0.147205
4.150473e-03,3.342930e-05,124.157,35.1743,1.087602,1.365254,1.536144,1.085301,0.621564,0.295534,0.148614
4.187082e-03,3.313702e-05,126.357,35.4846,1.092226,1.374053,1.544745,1.089538,0.624292,0.297373,0.150028
4.224013e-03,3.284729e-05,128.595,35.7976,1.096860,1.382891,1.553361,1.093765,0.627024,0.299210,0.151447
4.261270e-03,3.256011e-05,130.874,36.1133,1.101503,1.391768,1.561993,1.097983,0.629761,0.301045,0.152870
4.298856e-03,3.227543e-05,133.193,36.4318,1.106156,1.400684,1.570640,1.102191,0.632503,0.302878,0.154297
4.336773e-03,3.199324e-05,135.553,36.7532,1.110817,1.409640,1.579302,1.106390,0.635249,0.304708,0.155730
4.375024e-03,3.171351e-05,137.955,37.0773,1.115489,1.418634,1.587979,1.110580,0.637999,0.306535,0.157166
4.413613e-03,3.143624e-05,140.399,37.4044,1.120170,1.427667,1.596670,1.114759,0.640754,0.308359,0.158607
4.452543e-03,3.116139e-05,142.887,37.7343,1.124860,1.436740,1.605376,1.118930,0.643512,0.310178,0.160052
4.491815e-03,3.088894e-05,145.418,38.0671,1.129560,1.445851,1.614096,1.123091,0.646275,0.311993,0.161501
4.531435e-03,3.061887e-05,147.995,38.4029,1.134269,1.455000,1.622830,1.127243,0.649042,0.313802,0.162953
4.571403e-03,3.035116e-05,150.617,38.7416,1.138987,1.464189,1.631577,1.131385,0.651812,0.315607,0.164410
4.611724e-03,3.008580e-05,153.286,39.0833,1.143715,1.473416,1.640338,1.135519,0.654586,0.317405,0.165870
4.652401e-03,2.982275e-05,156.002,39.4280,1.148452,1.482681,1.649112,1.139643,0.657363,0.319196,0.167334
4.693436e-03,2.956201e-05,158.766,39.7758,1.153198,1.491986,1.657899,1.143758,0.660144,0.320981,0.168801
4.734834e-03,2.930354e-05,161.579,40.1267,1.157954,1.501328,1.666699,1.147865,0.662927,0.322757,0.170271
4.776596e-03,2.904734e-05,164.442,40.4806,1.162719,1.510709,1.675512,1.151962,0.665713,0.324525,0.171745
4.818727e-03,2.879337e-05,167.355,40.8376,1.167493,1.520128,1.684336,1.156051,0.668501,0.326285,0.173221
4.861230e-03,2.854162e-05,170.321,41.1978,1.172277,1.529585,1.693173,1.160131,0.671291,0.328034,0.174700
4.904107e-03,2.829208e-05,173.339,41.5612,1.177069,1.539080,1.702022,1.164202,0.674083,0.329773,0.176182
