alpha_s,alpha_p,alpha_s_over_alpha_p,lambda,sigma_m_10,sigma_m_30,sigma_m_50,sigma_m_100,sigma_m_200,sigma_m_500,sigma_m_1000
2.840021e-02,4.885436e-06,5813.238,240.6854,2.315241,4.072174,3.417785,1.899286,0.256607,0.207026,0.160579
2.865070e-02,4.842722e-06,5916.240,242.8083,2.321906,4.087354,3.425258,1.900751,0.260436,0.209182,0.159281
2.890341e-02,4.800381e-06,6021.066,244.9499,2.328583,4.102552,3.432720,1.902142,0.264341,0.218324,0.158038
2.915835e-02,4.758411e-06,6127.749,247.1104,2.335273,4.117766,3.440173,1.903458,0.268318,0.219936,0.156853
2.941553e-02,4.716807e-06,6236.323,249.2900,2.341976,4.132996,3.447615,1.904698,0.272365,0.221603,0.155732
2.967499e-02,4.675567e-06,6346.820,251.4888,2.348692,4.148243,3.455048,1.905861,0.462932,0.223320,0.154679
2.993673e-02,4.634688e-06,6459.276,253.7070,2.355420,4.163505,3.462472,1.906945,0.461403,0.225083,0.153696
3.020078e-02,4.594166e-06,6573.724,255.9448,2.362162,4.178782,3.469886,1.907950,0.459956,0.226888,0.152790
3.046716e-02,4.553999e-06,6690.199,258.2023,2.368917,4.194076,3.477291,1.908875,0.458589,0.228731,0.151963
3.073589e-02,4.514182e-06,6808.739,260.4797,2.375685,4.209384,3.484686,1.909718,0.457302,0.230607,0.151219
3.100699e-02,4.474714e-06,6929.379,262.7772,2.382467,4.224707,3.492073,1.910479,0.456096,0.232513,0.150563
3.128048e-02,4.435591e-06,7052.156,265.0950,2.389261,4.240046,3.499451,1.911156,0.454970,0.234443,0.149996
3.155638e-02,4.396810e-06,7177.109,267.4332,2.396070,4.255398,3.506820,1.911749,0.453923,0.236394,0.149522
3.183472e-02,4.358368e-06,7304.275,269.7921,2.402892,4.270766,3.514180,1.912256,0.452955,0.238363,0.149143
3.211551e-02,4.320262e-06,7433.695,272.1717,2.409728,4.286147,3.521532,1.912677,0.452065,0.240345,0.148862
3.239878e-02,4.282489e-06,7565.408,274.5723,2.416578,4.301542,3.528876,1.913010,0.451253,0.242338,0.148680
3.268454e-02,4.245046e-06,7699.455,276.9941,2.423442,4.316951,3.536211,1.913255,0.450518,0.244336,0.148599
3.297283e-02,4.207931e-06,7835.877,279.4373,2.430320,4.332373,3.543538,1.913410,0.449859,0.246338,0.148618
3.326366e-02,4.171141e-06,7974.716,281.9020,2.437213,4.347809,3.550857,1.913475,0.449276,0.248340,0.148740
3.355705e-02,4.134672e-06,8116.015,284.3885,2.444119,4.363258,3.558169,1.913449,0.448768,0.250339,0.148962
3.385304e-02,4.098521e-06,8259.817,286.8969,2.451041,4.378719,3.565472,1.913330,0.448333,0.252332,0.149285
3.415163e-02,4.062687e-06,8406.168,289.4274,2.457977,4.394193,3.572768,1.913119,0.447971,0.254317,0.149707
3.445286e-02,4.027167e-06,8555.111,291.9802,2.464927,4.409679,3.580057,1.912813,0.447681,0.256292,0.150227
3.475674e-02,3.991956e-06,8706.694,294.5556,2.471893,4.425177,3.587338,1.912413,0.447463,0.258254,0.150842
3.506331e-02,3.957054e-06,8860.963,297.1536,2.478874,4.440687,3.594612,1.911916,0.447314,0.260202,0.151550
