v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
1591.5159,3.295822e-02,-1.8164,1.529688e-01,-1.3058
1615.3535,3.207906e-02,-1.8208,1.500176e-01,-1.3114
1639.5482,3.122129e-02,-1.8250,1.471190e-01,-1.3203
1664.1053,3.038473e-02,-1.8292,1.442424e-01,-1.3329
1689.0302,2.956854e-02,-1.8336,1.414024e-01,-1.3408
1714.3284,2.877249e-02,-1.8377,1.386049e-01,-1.3501
1740.0056,2.799619e-02,-1.8417,1.358383e-01,-1.3610
1766.0673,2.723922e-02,-1.8457,1.331080e-01,-1.3653
1792.5194,2.650118e-02,-1.8495,1.304342e-01,-1.3745
1819.3677,2.578168e-02,-1.8533,1.277776e-01,-1.3870
1846.6181,2.508031e-02,-1.8570,1.251643e-01,-1.3966
1874.2767,2.439670e-02,-1.8607,1.225802e-01,-1.4081
1902.3495,2.373044e-02,-1.8642,1.200320e-01,-1.4111
1930.8428,2.308117e-02,-1.8677,1.175433e-01,-1.4204
1959.7629,2.244851e-02,-1.8686,1.150679e-01,-1.4341
1989.1161,2.183372e-02,-1.8717,1.126364e-01,-1.4438
2018.9090,2.123332e-02,-1.8772,1.102325e-01,-1.4561
2049.1482,2.064844e-02,-1.8804,1.078639e-01,-1.4573
2079.8402,2.007873e-02,-1.8835,1.055580e-01,-1.4667
2110.9920,1.952383e-02,-1.8866,1.032610e-01,-1.4817
2142.6103,1.898340e-02,-1.8896,1.010085e-01,-1.4915
2174.7023,1.845711e-02,-1.8926,9.878175e-02,-1.4941
2207.2748,1.794461e-02,-1.8956,9.661935e-02,-1.5035
2240.3353,1.744559e-02,-1.8985,9.446309e-02,-1.5194
2273.8910,1.695972e-02,-1.8994,9.235140e-02,-1.5293
2307.9492,1.648763e-02,-1.9020,9.026400e-02,-1.5307
2342.5176,1.602719e-02,-1.9065,8.824249e-02,-1.5399
2377.6037,1.557897e-02,-1.9093,8.622421e-02,-1.5570
2413.2153,1.514268e-02,-1.9120,8.425047e-02,-1.5668
2449.3604,1.471802e-02,-1.9146,8.229952e-02,-1.5667
2486.0468,1.430470e-02,-1.9173,8.041573e-02,-1.5759
2523.2827,1.390243e-02,-1.9199,7.853222e-02,-1.5941
2561.0763,1.351095e-02,-1.9226,7.669304e-02,-1.6038
2599.4360,1.312998e-02,-1.9143,7.487507e-02,-1.6021
2638.3703,1.276339e-02,-1.9158,7.312525e-02,-1.6111
2677.8877,1.240293e-02,-1.9282,7.137276e-02,-1.6307
2717.9969,1.205221e-02,-1.9307,6.966421e-02,-1.6403
2758.7070,1.171097e-02,-1.9331,6.797519e-02,-1.6368
2800.0268,1.137899e-02,-1.9356,6.635504e-02,-1.6391
2841.9655,1.105601e-02,-1.9380,6.474171e-02,-1.6666
2884.5323,1.074181e-02,-1.9405,6.314691e-02,-1.6618
2927.7367,1.043615e-02,-1.9371,6.162038e-02,-1.6635
2971.5882,1.014059e-02,-1.9391,6.009952e-02,-1.6925
3016.0965,9.851462e-03,-1.9469,5.859617e-02,-1.6864
3061.2715,9.570225e-03,-1.9494,5.716033e-02,-1.6948
3107.1231,9.296673e-03,-1.9519,5.571644e-02,-1.7178
3153.6615,9.030603e-03,-1.9544,5.431414e-02,-1.7027
3200.8969,8.771815e-03,-1.9570,5.296591e-02,-1.7186
3248.8398,8.520116e-03,-1.9340,5.160842e-02,-1.7425
3297.5008,8.281610e-03,-1.9346,5.029152e-02,-1.7253
3346.8906,8.043842e-03,-1.9607,4.902765e-02,-1.7328
3397.0202,7.812614e-03,-1.9631,4.776598e-02,-1.7668
3447.9006,7.587751e-03,-1.9657,4.651859e-02,-1.7562
3499.5431,7.369081e-03,-1.9682,4.533570e-02,-1.7547
3551.9591,7.156437e-03,-1.9709,4.415382e-02,-1.7905
3605.1602,6.949655e-03,-1.9616,4.298519e-02,-1.7783
3659.1581,6.750977e-03,-1.9634,4.187983e-02,-1.7757
3713.9649,6.555550e-03,-1.9773,4.077447e-02,-1.7822
3769.5925,6.365521e-03,-1.9800,3.971830e-02,-1.7891
3826.0533,6.180743e-03,-1.9829,3.866204e-02,-1.8277
3883.3597,6.001073e-03,-1.9858,3.761746e-02,-1.8131
3941.5245,5.826370e-03,-1.9428,3.663294e-02,-1.8092
4000.5605,5.664232e-03,-1.9427,3.564730e-02,-1.8153
4060.4807,5.499355e-03,-1.9884,3.470806e-02,-1.8219
4121.2984,5.339050e-03,-1.9913,3.376760e-02,-1.8278
4183.0271,5.183191e-03,-1.9943,3.287210e-02,-1.8343
4245.6803,5.031656e-03,-1.9792,3.197525e-02,-1.8766
4309.2719,4.886960e-03,-1.9812,3.108814e-02,-1.8587
4373.8160,4.743809e-03,-2.0013,3.025603e-02,-1.8530
4439.3268,4.604634e-03,-2.0046,2.942163e-02,-1.8585
4505.8189,4.469325e-03,-2.0079,2.862940e-02,-1.8647
4573.3068,4.337775e-03,-1.9472,2.783475e-02,-1.8701
4641.8056,4.217907e-03,-1.9468,2.708088e-02,-1.8762
4711.3304,4.093813e-03,-2.0103,2.632446e-02,-1.8815
4781.8965,3.973174e-03,-2.0137,2.560746e-02,-1.8875
4853.5195,3.855894e-03,-2.0171,2.488778e-02,-1.8926
4926.2154,3.741881e-03,-1.9957,2.420619e-02,-1.8985
5000.0000,3.633741e-03,-1.9726,2.352179e-02,-1.9292
