v_km_s,sigma_m_BP1,eta_BP1,sigma_m_MAP,eta_MAP
12.8786,4.419096e-01,0.3809,1.206617e+00,-0.1454
13.0715,4.443881e-01,0.3715,1.204111e+00,-0.1335
13.2673,4.468186e-01,0.3623,1.201838e+00,-0.1199
13.4660,4.492011e-01,0.3532,1.199827e+00,-0.1046
13.6677,4.515358e-01,0.3442,1.198106e+00,-0.0877
13.8724,4.538226e-01,0.3354,1.196703e+00,-0.0690
14.0802,4.560619e-01,0.3268,1.195650e+00,-0.0486
14.2911,4.582537e-01,0.3183,1.194974e+00,-0.0266
14.5051,4.603982e-01,0.3099,1.194705e+00,-0.0029
14.7224,4.624957e-01,0.3017,1.194872e+00,0.0224
14.9429,4.645464e-01,0.2936,1.195503e+00,0.0492
15.1667,4.665506e-01,0.2856,1.196623e+00,0.0775
15.3939,4.685085e-01,0.2778,1.198259e+00,0.1069
15.6245,4.704204e-01,0.2701,1.200433e+00,0.1375
15.8585,4.722868e-01,0.2626,1.203168e+00,0.1690
16.0960,4.741079e-01,0.2552,1.206480e+00,0.2012
16.3371,4.758841e-01,0.2479,1.210388e+00,0.2340
16.5818,4.776158e-01,0.2408,1.214904e+00,0.2671
16.8302,4.793034e-01,0.2338,1.220038e+00,0.3002
17.0822,4.809473e-01,0.2269,1.225797e+00,0.3332
17.3381,4.825478e-01,0.2201,1.232185e+00,0.3658
17.5978,4.841055e-01,0.2135,1.239203e+00,0.3978
17.8614,4.856207e-01,0.2070,1.246845e+00,0.4289
18.1289,4.870939e-01,0.2006,1.255106e+00,0.4589
18.4004,4.885255e-01,0.1943,1.263976e+00,0.4877
18.6760,4.899161e-01,0.1881,1.273439e+00,0.5150
18.9558,4.912660e-01,0.1821,1.283481e+00,0.5407
19.2397,4.925757e-01,0.1761,1.294079e+00,0.5647
19.5278,4.938457e-01,0.1703,1.305212e+00,0.5867
19.8203,4.950764e-01,0.1646,1.316853e+00,0.6068
20.1172,4.962684e-01,0.1590,1.328976e+00,0.6249
20.4185,4.974220e-01,0.1534,1.341549e+00,0.6409
20.7243,4.985378e-01,0.1480,1.354542e+00,0.6547
21.0347,4.996161e-01,0.1427,1.367921e+00,0.6664
21.3498,5.006575e-01,0.1375,1.381651e+00,0.6761
21.6696,5.016624e-01,0.1323,1.395698e+00,0.6836
21.9941,5.026313e-01,0.1273,1.410024e+00,0.6892
22.3236,5.035645e-01,0.1223,1.424594e+00,0.6928
22.6579,5.044626e-01,0.1174,1.439371e+00,0.6945
